Orthogroup	GQ273492	MN562489
OG0000022	GQ273492.1_00108 hypothetical protein	OM037668.1_00076 hypothetical protein
OG0000023	GQ273492.1_00044 hypothetical protein	OM037668.1_00113 hypothetical protein
OG0000025	GQ273492.1_00064 hypothetical protein	OM037668.1_00024 hypothetical protein
OG0000026	GQ273492.1_00085 hypothetical protein	OM037668.1_00087 hypothetical protein
OG0000027	GQ273492.1_00106 hypothetical protein	OM037668.1_00074 hypothetical protein
OG0000028	GQ273492.1_00047 hypothetical protein	OM037668.1_00110 hypothetical protein
OG0000029	GQ273492.1_00057 hypothetical protein	OM037668.1_00097 hypothetical protein
OG0000030	GQ273492.1_00048 hypothetical protein	OM037668.1_00106 hypothetical protein
OG0000031	GQ273492.1_00001 hypothetical protein	OM037668.1_00030 hypothetical protein
OG0000032	GQ273492.1_00002 hypothetical protein	OM037668.1_00031 hypothetical protein
OG0000033	GQ273492.1_00014 hypothetical protein	OM037668.1_00005 hypothetical protein
OG0000034	GQ273492.1_00018 hypothetical protein	OM037668.1_00047 hypothetical protein
OG0000035	GQ273492.1_00019 hypothetical protein	OM037668.1_00046 hypothetical protein
OG0000036	GQ273492.1_00020 hypothetical protein	OM037668.1_00045 hypothetical protein
OG0000037	GQ273492.1_00023 hypothetical protein	OM037668.1_00040 hypothetical protein
OG0000038	GQ273492.1_00049 hypothetical protein	OM037668.1_00105 hypothetical protein
OG0000039	GQ273492.1_00054 hypothetical protein	OM037668.1_00100 hypothetical protein
OG0000040	GQ273492.1_00055 hypothetical protein	OM037668.1_00099 hypothetical protein
OG0000041	GQ273492.1_00060 hypothetical protein	OM037668.1_00096 hypothetical protein
OG0000042	GQ273492.1_00075 hypothetical protein	OM037668.1_00020 hypothetical protein
OG0000043	GQ273492.1_00078 hypothetical protein	OM037668.1_00019 hypothetical protein
OG0000044	GQ273492.1_00079 hypothetical protein	OM037668.1_00018 hypothetical protein
OG0000045	GQ273492.1_00080 hypothetical protein	OM037668.1_00130 hypothetical protein
OG0000046	GQ273492.1_00086 hypothetical protein	OM037668.1_00086 hypothetical protein
OG0000047	GQ273492.1_00091 hypothetical protein	OM037668.1_00081 hypothetical protein
OG0000048	GQ273492.1_00093 hypothetical protein	OM037668.1_00032 hypothetical protein
OG0000049	GQ273492.1_00096 hypothetical protein	OM037668.1_00033 hypothetical protein
OG0000050	GQ273492.1_00107 hypothetical protein	OM037668.1_00075 hypothetical protein
OG0000051	GQ273492.1_00112 hypothetical protein	OM037668.1_00079 hypothetical protein
OG0000052	GQ273492.1_00116 hypothetical protein	OM037668.1_00091 hypothetical protein
OG0000053	GQ273492.1_00089 hypothetical protein	OM037668.1_00082 hypothetical protein
OG0000055	GQ273492.1_00013 hypothetical protein	OM037668.1_00051 hypothetical protein
OG0000056	GQ273492.1_00024 hypothetical protein	OM037668.1_00048 hypothetical protein
OG0000057	GQ273492.1_00036 hypothetical protein	OM037668.1_00122 hypothetical protein
OG0000058	GQ273492.1_00088 hypothetical protein	OM037668.1_00083 hypothetical protein
OG0000059	GQ273492.1_00094 hypothetical protein	SDDV_ORF050 RING E3 ubiquitin ligase
OG0000060	GQ273492.1_00114 hypothetical protein	OM037668.1_00134 hypothetical protein
OG0000061	GQ273492.1_00120 hypothetical protein	OM037668.1_00028 hypothetical protein
OG0000062	GQ273492.1_00032 hypothetical protein	OM037668.1_00003 hypothetical protein
OG0000064	GQ273492.1_00021 hypothetical protein	OM037668.1_00042 hypothetical protein
OG0000109	GQ273492.1_00061 hypothetical protein	OM037668.1_00095 hypothetical protein
OG0000114	GQ273492.1_00059 hypothetical protein	OM037668.1_00085 hypothetical protein
