Orthogroup	MG570132	MK098185
OG0000063	MG570132.1_00095 hypothetical protein	MK689686.1_00096 hypothetical protein
OG0000065	MG570132.1_00066 hypothetical protein	GQ273492.1_00066 hypothetical protein
OG0000066	MG570132.1_00010 hypothetical protein	MK689686.1_00009 hypothetical protein
OG0000067	MG570132.1_00013 hypothetical protein	MK689686.1_00011 hypothetical protein
OG0000068	MG570132.1_00018 hypothetical protein	MK689686.1_00016 hypothetical protein
OG0000069	MG570132.1_00041 hypothetical protein	MK689686.1_00039 hypothetical protein
OG0000070	MG570132.1_00042 hypothetical protein	MK689686.1_00040 hypothetical protein
OG0000071	MG570132.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein
OG0000072	MG570132.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein
OG0000073	MG570132.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein
OG0000074	MG570132.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein
OG0000075	MG570132.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein
OG0000076	MG570132.1_00062 hypothetical protein	MK689686.1_00061 hypothetical protein
OG0000077	MG570132.1_00067 hypothetical protein	MK689686.1_00067 hypothetical protein
OG0000078	MG570132.1_00074 hypothetical protein	MK689686.1_00075 hypothetical protein
OG0000079	MG570132.1_00081 hypothetical protein	MK689686.1_00082 hypothetical protein
OG0000080	MG570132.1_00082 hypothetical protein	MK689686.1_00083 hypothetical protein
OG0000081	MG570132.1_00097 hypothetical protein	MK689686.1_00098 hypothetical protein
OG0000082	MG570132.1_00099 hypothetical protein	MK689686.1_00100 hypothetical protein
OG0000083	MG570132.1_00115 hypothetical protein	MK689686.1_00117 hypothetical protein
OG0000084	MG570132.1_00065 hypothetical protein	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase
OG0000085	MG570132.1_00105 hypothetical protein	tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor
OG0000086	MG570132.1_00043 hypothetical protein	ORF039_refgen ORF039
OG0000087	MG570132.1_00076 hypothetical protein	MK689686.1_00077 hypothetical protein
OG0000088	MG570132.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein
OG0000089	MG570132.1_00038 hypothetical protein	MK689686.1_00036 hypothetical protein
OG0000090	MG570132.1_00053 hypothetical protein	MK689686.1_00052 hypothetical protein
OG0000091	MG570132.1_00068 hypothetical protein	MK689686.1_00068 hypothetical protein
OG0000092	MG570132.1_00070 hypothetical protein	MK689686.1_00071 hypothetical protein
OG0000093	MG570132.1_00071 hypothetical protein	MK689686.1_00072 hypothetical protein
OG0000094	MG570132.1_00072 hypothetical protein	MK689686.1_00073 hypothetical protein
OG0000095	MG570132.1_00090 hypothetical protein	MK689686.1_00091 hypothetical protein
OG0000096	MG570132.1_00098 hypothetical protein	MK689686.1_00099 hypothetical protein
OG0000097	MG570132.1_00100 hypothetical protein	MK689686.1_00101 hypothetical protein
OG0000098	MG570132.1_00104 hypothetical protein	MK689686.1_00106 hypothetical protein
OG0000099	MG570132.1_00113 hypothetical protein	MK689686.1_00115 hypothetical protein
OG0000100	MG570132.1_00029 hypothetical protein	ORF025_refgen ORF025
OG0000101	MG570132.1_00004 hypothetical protein	MK689686.1_00004 hypothetical protein
OG0000102	MG570132.1_00035 hypothetical protein	MK689686.1_00033 hypothetical protein
OG0000103	MG570132.1_00040 hypothetical protein	MK689686.1_00038 hypothetical protein
OG0000104	MG570132.1_00101 hypothetical protein	MK689686.1_00103 hypothetical protein
OG0000105	MG570132.1_00102 hypothetical protein	MK689686.1_00104 hypothetical protein
OG0000106	MG570132.1_00039 hypothetical protein	MK689686.1_00037 hypothetical protein
OG0000107	MG570132.1_00069 hypothetical protein	MK689686.1_00069 hypothetical protein
OG0000108	MG570132.1_00117 hypothetical protein	MK689686.1_00119 hypothetical protein
OG0000109	MG570132.1_00061 hypothetical protein	DNA-binding protein_refgen DNA-binding protein
OG0000111	MG570132.1_00111 hypothetical protein	MK689686.1_00113 hypothetical protein
OG0000113	MG570132.1_00022 hypothetical protein	MK689686.1_00020 hypothetical protein
OG0000114	MG570132.1_00059 hypothetical protein	MK689686.1_00058 hypothetical protein
OG0000118	MG570132.1_00026 hypothetical protein	laminin-type epidermal growth factor-like protein_refgen laminin-type epidermal growth factor-like protein
OG0000120	MG570132.1_00077 hypothetical protein	MK689686.1_00078 hypothetical protein
OG0000124	MG570132.1_00109 hypothetical protein	MK689686.1_00111 hypothetical protein
