Orthogroup	OL774655.1	KC244182.1
OG0000059	OL774655.1_00002	KC244182.1_00002
OG0000060	OL774655.1_00010	KC244182.1_00010
OG0000061	OL774655.1_00018	KC244182.1_00017
OG0000062	OL774655.1_00092	KC244182.1_00091
OG0000063	OL774655.1_00075	KC244182.1_00072
OG0000064	OL774655.1_00017	KC244182.1_00016
OG0000065	OL774655.1_00042	KC244182.1_00037
OG0000066	OL774655.1_00046	KC244182.1_00041
OG0000067	OL774655.1_00050	KC244182.1_00045
OG0000068	OL774655.1_00070	KC244182.1_00066
OG0000069	OL774655.1_00099	KC244182.1_00098
OG0000070	OL774655.1_00101	KC244182.1_00100
OG0000071	OL774655.1_00116	KC244182.1_00115
OG0000072	OL774655.1_00009	KC244182.1_00009
OG0000073	OL774655.1_00012	KC244182.1_00011
OG0000074	OL774655.1_00016	KC244182.1_00015
OG0000075	OL774655.1_00038	KC244182.1_00033
OG0000076	OL774655.1_00041	KC244182.1_00036
OG0000077	OL774655.1_00044	KC244182.1_00039
OG0000078	OL774655.1_00045	KC244182.1_00040
OG0000079	OL774655.1_00049	KC244182.1_00044
OG0000080	OL774655.1_00054	KC244182.1_00050
OG0000081	OL774655.1_00055	KC244182.1_00051
OG0000082	OL774655.1_00056	KC244182.1_00052
OG0000083	OL774655.1_00065	KC244182.1_00062
OG0000084	OL774655.1_00068	KC244182.1_00065
OG0000085	OL774655.1_00071	KC244182.1_00067
OG0000086	OL774655.1_00072	KC244182.1_00068
OG0000087	OL774655.1_00076	KC244182.1_00073
OG0000088	OL774655.1_00077	KC244182.1_00074
OG0000089	OL774655.1_00085	KC244182.1_00084
OG0000090	OL774655.1_00086	KC244182.1_00085
OG0000091	OL774655.1_00098	KC244182.1_00097
OG0000092	OL774655.1_00102	KC244182.1_00101
OG0000093	OL774655.1_00106	KC244182.1_00105
OG0000094	OL774655.1_00109	KC244182.1_00108
OG0000095	OL774655.1_00110	KC244182.1_00109
OG0000097	OL774655.1_00003	KC244182.1_00003
OG0000098	OL774655.1_00004	KC244182.1_00004
OG0000099	OL774655.1_00043	KC244182.1_00038
OG0000100	OL774655.1_00047	KC244182.1_00042
OG0000101	OL774655.1_00073	KC244182.1_00070
OG0000103	OL774655.1_00103	KC244182.1_00102
OG0000104	OL774655.1_00107	KC244182.1_00106
OG0000105	OL774655.1_00118	KC244182.1_00117
OG0000106	OL774655.1_00032	KC244182.1_00027
OG0000107	OL774655.1_00104	KC244182.1_00103
OG0000108	OL774655.1_00122	KC244182.1_00120
OG0000109	OL774655.1_00074	KC244182.1_00071
OG0000110	OL774655.1_00120	KC244182.1_00119
OG0000111	OL774655.1_00094	KC244182.1_00093
OG0000112	OL774655.1_00081	KC244182.1_00080
OG0000114	OL774655.1_00021	KC244182.1_00021
OG0000118	OL774655.1_00093	KC244182.1_00092
OG0000120	OL774655.1_00105	KC244182.1_00104
OG0000121	OL774655.1_00114	KC244182.1_00113
