Orthogroup	OL774655.1	OP009387.1
OG0000041	OL774655.1_00036	OP009387.1_00032
OG0000042	OL774655.1_00040	OP009387.1_00036
OG0000043	OL774655.1_00052	OP009387.1_00049
OG0000044	OL774655.1_00053	OP009387.1_00050
OG0000045	OL774655.1_00058	OP009387.1_00055
OG0000046	OL774655.1_00059	OP009387.1_00056
OG0000047	OL774655.1_00061	OP009387.1_00058
OG0000048	OL774655.1_00062	OP009387.1_00060
OG0000049	OL774655.1_00063	OP009387.1_00061
OG0000050	OL774655.1_00080	OP009387.1_00079
OG0000051	OL774655.1_00083	OP009387.1_00083
OG0000052	OL774655.1_00084	OP009387.1_00084
OG0000053	OL774655.1_00095	OP009387.1_00094
OG0000054	OL774655.1_00097	OP009387.1_00096
OG0000055	OL774655.1_00100	OP009387.1_00099
OG0000056	OL774655.1_00112	OP009387.1_00111
OG0000057	OL774655.1_00117	OP009387.1_00115
OG0000058	OL774655.1_00119	OP009387.1_00117
OG0000059	OL774655.1_00002	OP009387.1_00002
OG0000060	OL774655.1_00010	OP009387.1_00010
OG0000061	OL774655.1_00018	OP009387.1_00018
OG0000062	OL774655.1_00092	OP009387.1_00092
OG0000063	OL774655.1_00075	OP009387.1_00072
OG0000064	OL774655.1_00017	OP009387.1_00017
OG0000065	OL774655.1_00042	OP009387.1_00038
OG0000066	OL774655.1_00046	OP009387.1_00042
OG0000067	OL774655.1_00050	OP009387.1_00046
OG0000068	OL774655.1_00070	OP009387.1_00067
OG0000069	OL774655.1_00099	OP009387.1_00098
OG0000070	OL774655.1_00101	OP009387.1_00100
OG0000071	OL774655.1_00116	OP009387.1_00114
OG0000072	OL774655.1_00009	OP009387.1_00009
OG0000073	OL774655.1_00012	OP009387.1_00012
OG0000074	OL774655.1_00016	OP009387.1_00016
OG0000075	OL774655.1_00038	OP009387.1_00034
OG0000076	OL774655.1_00041	OP009387.1_00037
OG0000077	OL774655.1_00044	OP009387.1_00040
OG0000078	OL774655.1_00045	OP009387.1_00041
OG0000079	OL774655.1_00049	OP009387.1_00045
OG0000080	OL774655.1_00054	OP009387.1_00051
OG0000081	OL774655.1_00055	OP009387.1_00052
OG0000082	OL774655.1_00056	OP009387.1_00053
OG0000083	OL774655.1_00065	OP009387.1_00063
OG0000084	OL774655.1_00068	OP009387.1_00066
OG0000085	OL774655.1_00071	OP009387.1_00068
OG0000086	OL774655.1_00072	OP009387.1_00069
OG0000087	OL774655.1_00076	OP009387.1_00074
OG0000088	OL774655.1_00077	OP009387.1_00075
OG0000089	OL774655.1_00085	OP009387.1_00085
OG0000090	OL774655.1_00086	OP009387.1_00086
OG0000091	OL774655.1_00098	OP009387.1_00097
OG0000092	OL774655.1_00102	OP009387.1_00101
OG0000093	OL774655.1_00106	OP009387.1_00105
OG0000094	OL774655.1_00109	OP009387.1_00108
OG0000095	OL774655.1_00110	OP009387.1_00109
OG0000096	OL774655.1_00121	OP009387.1_00119
OG0000097	OL774655.1_00003	OP009387.1_00003
OG0000098	OL774655.1_00004	OP009387.1_00004
OG0000099	OL774655.1_00043	OP009387.1_00039
OG0000100	OL774655.1_00047	OP009387.1_00043
OG0000101	OL774655.1_00073	OP009387.1_00070
OG0000103	OL774655.1_00103	OP009387.1_00102
OG0000104	OL774655.1_00107	OP009387.1_00106
OG0000105	OL774655.1_00118	OP009387.1_00116
OG0000106	OL774655.1_00032	OP009387.1_00028
OG0000107	OL774655.1_00104	OP009387.1_00103
OG0000108	OL774655.1_00122	OP009387.1_00120
OG0000109	OL774655.1_00074	OP009387.1_00071
OG0000110	OL774655.1_00120	OP009387.1_00118
OG0000112	OL774655.1_00081	OP009387.1_00081
OG0000114	OL774655.1_00021	OP009387.1_00022
OG0000115	OL774655.1_00011	OP009387.1_00011
OG0000118	OL774655.1_00093	OP009387.1_00093
OG0000120	OL774655.1_00105	OP009387.1_00104
