Orthogroup	MG570131.1	AF371960.1
OG0000071	MG570131.1_00111	AF371960.1_00114
OG0000072	MG570131.1_00010	AF371960.1_00009
OG0000073	MG570131.1_00013	AF371960.1_00012
OG0000074	MG570131.1_00017	AF371960.1_00016
OG0000075	MG570131.1_00035	AF371960.1_00035
OG0000076	MG570131.1_00038	AF371960.1_00038
OG0000077	MG570131.1_00041	AF371960.1_00041
OG0000078	MG570131.1_00042	AF371960.1_00042
OG0000079	MG570131.1_00046	AF371960.1_00046
OG0000080	MG570131.1_00051	AF371960.1_00051
OG0000081	MG570131.1_00052	AF371960.1_00052
OG0000082	MG570131.1_00053	AF371960.1_00053
OG0000083	MG570131.1_00062	AF371960.1_00063
OG0000084	MG570131.1_00065	AF371960.1_00066
OG0000085	MG570131.1_00067	AF371960.1_00069
OG0000086	MG570131.1_00068	AF371960.1_00070
OG0000087	MG570131.1_00071	AF371960.1_00075
OG0000088	MG570131.1_00072	AF371960.1_00076
OG0000089	MG570131.1_00081	AF371960.1_00086
OG0000090	MG570131.1_00082	AF371960.1_00087
OG0000091	MG570131.1_00094	AF371960.1_00098
OG0000092	MG570131.1_00098	AF371960.1_00102
OG0000093	MG570131.1_00101	AF371960.1_00105
OG0000094	MG570131.1_00104	AF371960.1_00108
OG0000095	MG570131.1_00105	AF371960.1_00109
OG0000096	MG570131.1_00116	AF371960.1_00119
OG0000097	MG570131.1_00003	AF371960.1_00003
OG0000098	MG570131.1_00004	AF371960.1_00004
OG0000099	MG570131.1_00040	AF371960.1_00040
OG0000100	MG570131.1_00044	AF371960.1_00044
OG0000101	MG570131.1_00069	AF371960.1_00071
OG0000102	MG570131.1_00076	AF371960.1_00081
OG0000103	MG570131.1_00099	AF371960.1_00103
OG0000104	MG570131.1_00102	AF371960.1_00106
OG0000105	MG570131.1_00113	AF371960.1_00116
OG0000106	MG570131.1_00029	AF371960.1_00029
OG0000107	MG570131.1_00100	AF371960.1_00104
OG0000108	MG570131.1_00117	AF371960.1_00120
OG0000110	MG570131.1_00115	AF371960.1_00118
OG0000115	MG570131.1_00012	AF371960.1_00011
OG0000116	MG570131.1_00054	AF371960.1_00054
OG0000118	MG570131.1_00089	AF371960.1_00094
