Orthogroup	OM037668.1	NC_027778.1
OG0000046	OM037668.1_00097	NC_027778.1_00019
OG0000047	OM037668.1_00085	NC_027778.1_00031
OG0000048	OM037668.1_00096	NC_027778.1_00020
OG0000049	OM037668.1_00020	NC_027778.1_00099
OG0000050	OM037668.1_00018	NC_027778.1_00101
OG0000051	OM037668.1_00130	NC_027778.1_00126
OG0000052	OM037668.1_00081	NC_027778.1_00035
OG0000053	OM037668.1_00032	NC_027778.1_00086
OG0000054	OM037668.1_00033	NC_027778.1_00085
OG0000055	OM037668.1_00075	NC_027778.1_00041
OG0000056	OM037668.1_00079	NC_027778.1_00037
OG0000057	OM037668.1_00134	NC_027778.1_00121
OG0000058	OM037668.1_00031	NC_027778.1_00087
OG0000059	OM037668.1_00054	NC_027778.1_00064
OG0000060	OM037668.1_00047	NC_027778.1_00071
OG0000061	OM037668.1_00083	NC_027778.1_00033
OG0000062	OM037668.1_00064	NC_027778.1_00054
OG0000096	OM037668.1_00091	NC_027778.1_00025
OG0000113	OM037668.1_00042	NC_027778.1_00076
OG0000114	OM037668.1_00053	NC_027778.1_00065
OG0000115	OM037668.1_00101	NC_027778.1_00015
OG0000117	OM037668.1_00082	NC_027778.1_00034
OG0000128	OM037668.1_00131	NC_027778.1_00125
OG0000128	OM037668.1_00066	NC_027778.1_00052
OG0000128	OM037668.1_00132	NC_027778.1_00124
OG0000129	OM037668.1_00062	NC_027778.1_00056
OG0000136	OM037668.1_00126	NC_027778.1_00130
OG0000136	OM037668.1_00067	NC_027778.1_00050
OG0000143	OM037668.1_00121	NC_027778.1_00136
OG0000143	OM037668.1_00128	NC_027778.1_00128
OG0000144	OM037668.1_00015	NC_027778.1_00104
OG0000144	OM037668.1_00071	NC_027778.1_00046
OG0000146	OM037668.1_00001	NC_027778.1_00119
OG0000149	OM037668.1_00068	NC_027778.1_00049
OG0000156	OM037668.1_00036	NC_027778.1_00082
OG0000187	OM037668.1_00022	NC_027778.1_00097
OG0000188	OM037668.1_00017	NC_027778.1_00102
OG0000189	OM037668.1_00023	NC_027778.1_00096
OG0000190	OM037668.1_00088	NC_027778.1_00028
OG0000191	OM037668.1_00063	NC_027778.1_00055
OG0000224	OM037668.1_00129	NC_027778.1_00127
OG0000225	OM037668.1_00114	NC_027778.1_00001
OG0000226	OM037668.1_00112	NC_027778.1_00004
OG0000227	OM037668.1_00111	NC_027778.1_00005
OG0000228	OM037668.1_00109	NC_027778.1_00007
OG0000229	OM037668.1_00108	NC_027778.1_00008
OG0000230	OM037668.1_00107	NC_027778.1_00009
OG0000231	OM037668.1_00104	NC_027778.1_00012
OG0000232	OM037668.1_00103	NC_027778.1_00013
OG0000233	OM037668.1_00102	NC_027778.1_00014
OG0000234	OM037668.1_00094	NC_027778.1_00022
OG0000235	OM037668.1_00093	NC_027778.1_00023
OG0000236	OM037668.1_00092	NC_027778.1_00024
OG0000237	OM037668.1_00072	NC_027778.1_00045
OG0000238	OM037668.1_00070	NC_027778.1_00047
OG0000239	OM037668.1_00069	NC_027778.1_00048
OG0000240	OM037668.1_00065	NC_027778.1_00053
OG0000241	OM037668.1_00061	NC_027778.1_00057
OG0000242	OM037668.1_00060	NC_027778.1_00058
OG0000243	OM037668.1_00059	NC_027778.1_00059
OG0000244	OM037668.1_00058	NC_027778.1_00060
OG0000245	OM037668.1_00055	NC_027778.1_00063
OG0000246	OM037668.1_00052	NC_027778.1_00066
OG0000247	OM037668.1_00049	NC_027778.1_00069
OG0000248	OM037668.1_00044	NC_027778.1_00074
OG0000249	OM037668.1_00039	NC_027778.1_00079
OG0000250	OM037668.1_00037	NC_027778.1_00081
OG0000251	OM037668.1_00034	NC_027778.1_00084
OG0000252	OM037668.1_00029	NC_027778.1_00089
OG0000253	OM037668.1_00027	NC_027778.1_00091
OG0000254	OM037668.1_00026	NC_027778.1_00092
OG0000255	OM037668.1_00025	NC_027778.1_00093
OG0000256	OM037668.1_00016	NC_027778.1_00103
OG0000257	OM037668.1_00014	NC_027778.1_00105
OG0000258	OM037668.1_00012	NC_027778.1_00107
OG0000259	OM037668.1_00010	NC_027778.1_00109
OG0000260	OM037668.1_00008	NC_027778.1_00112
OG0000261	OM037668.1_00007	NC_027778.1_00113
OG0000262	OM037668.1_00002	NC_027778.1_00118
