Orthogroup	AF371960.1	MW139932.1
OG0000056	AF371960.1_00111	MW139932.1_00112
OG0000057	AF371960.1_00115	MW139932.1_00117
OG0000058	AF371960.1_00117	MW139932.1_00119
OG0000059	AF371960.1_00002	MW139932.1_00002
OG0000060	AF371960.1_00010	MW139932.1_00010
OG0000061	AF371960.1_00018	MW139932.1_00018
OG0000062	AF371960.1_00093	MW139932.1_00092
OG0000063	AF371960.1_00073	MW139932.1_00074
OG0000064	AF371960.1_00017	MW139932.1_00017
OG0000065	AF371960.1_00039	MW139932.1_00041
OG0000066	AF371960.1_00043	MW139932.1_00045
OG0000067	AF371960.1_00047	MW139932.1_00049
OG0000068	AF371960.1_00068	MW139932.1_00069
OG0000069	AF371960.1_00099	MW139932.1_00099
OG0000070	AF371960.1_00101	MW139932.1_00101
OG0000071	AF371960.1_00114	MW139932.1_00116
OG0000072	AF371960.1_00009	MW139932.1_00009
OG0000073	AF371960.1_00012	MW139932.1_00012
OG0000074	AF371960.1_00016	MW139932.1_00016
OG0000075	AF371960.1_00035	MW139932.1_00037
OG0000076	AF371960.1_00038	MW139932.1_00040
OG0000077	AF371960.1_00041	MW139932.1_00043
OG0000078	AF371960.1_00042	MW139932.1_00044
OG0000079	AF371960.1_00046	MW139932.1_00048
OG0000080	AF371960.1_00051	MW139932.1_00053
OG0000081	AF371960.1_00052	MW139932.1_00054
OG0000082	AF371960.1_00053	MW139932.1_00055
OG0000083	AF371960.1_00063	MW139932.1_00064
OG0000084	AF371960.1_00066	MW139932.1_00067
OG0000085	AF371960.1_00069	MW139932.1_00070
OG0000086	AF371960.1_00070	MW139932.1_00071
OG0000087	AF371960.1_00075	MW139932.1_00075
OG0000088	AF371960.1_00076	MW139932.1_00076
OG0000089	AF371960.1_00086	MW139932.1_00085
OG0000090	AF371960.1_00087	MW139932.1_00086
OG0000091	AF371960.1_00098	MW139932.1_00098
OG0000092	AF371960.1_00102	MW139932.1_00102
OG0000093	AF371960.1_00105	MW139932.1_00106
OG0000094	AF371960.1_00108	MW139932.1_00109
OG0000095	AF371960.1_00109	MW139932.1_00110
OG0000096	AF371960.1_00119	MW139932.1_00121
OG0000097	AF371960.1_00003	MW139932.1_00003
OG0000098	AF371960.1_00004	MW139932.1_00004
OG0000099	AF371960.1_00040	MW139932.1_00042
OG0000100	AF371960.1_00044	MW139932.1_00046
OG0000101	AF371960.1_00071	MW139932.1_00072
OG0000102	AF371960.1_00081	MW139932.1_00080
OG0000103	AF371960.1_00103	MW139932.1_00103
OG0000104	AF371960.1_00106	MW139932.1_00107
OG0000105	AF371960.1_00116	MW139932.1_00118
OG0000106	AF371960.1_00029	MW139932.1_00031
OG0000107	AF371960.1_00104	MW139932.1_00104
OG0000108	AF371960.1_00120	MW139932.1_00122
OG0000109	AF371960.1_00072	MW139932.1_00073
OG0000110	AF371960.1_00118	MW139932.1_00120
OG0000115	AF371960.1_00011	MW139932.1_00011
OG0000117	AF371960.1_00067	MW139932.1_00068
OG0000118	AF371960.1_00094	MW139932.1_00093
