Orthogroup	MN432490.1	MW139932.1
OG0000068	MN432490.1_00067	MW139932.1_00069
OG0000069	MN432490.1_00100	MW139932.1_00099
OG0000070	MN432490.1_00102	MW139932.1_00101
OG0000071	MN432490.1_00115	MW139932.1_00116
OG0000072	MN432490.1_00009	MW139932.1_00009
OG0000073	MN432490.1_00012	MW139932.1_00012
OG0000074	MN432490.1_00016	MW139932.1_00016
OG0000075	MN432490.1_00036	MW139932.1_00037
OG0000076	MN432490.1_00039	MW139932.1_00040
OG0000077	MN432490.1_00042	MW139932.1_00043
OG0000078	MN432490.1_00043	MW139932.1_00044
OG0000079	MN432490.1_00047	MW139932.1_00048
OG0000080	MN432490.1_00052	MW139932.1_00053
OG0000081	MN432490.1_00053	MW139932.1_00054
OG0000082	MN432490.1_00054	MW139932.1_00055
OG0000083	MN432490.1_00063	MW139932.1_00064
OG0000084	MN432490.1_00066	MW139932.1_00067
OG0000085	MN432490.1_00069	MW139932.1_00070
OG0000086	MN432490.1_00070	MW139932.1_00071
OG0000087	MN432490.1_00075	MW139932.1_00075
OG0000088	MN432490.1_00076	MW139932.1_00076
OG0000089	MN432490.1_00086	MW139932.1_00085
OG0000090	MN432490.1_00087	MW139932.1_00086
OG0000091	MN432490.1_00099	MW139932.1_00098
OG0000092	MN432490.1_00103	MW139932.1_00102
OG0000093	MN432490.1_00106	MW139932.1_00106
OG0000094	MN432490.1_00109	MW139932.1_00109
OG0000095	MN432490.1_00110	MW139932.1_00110
OG0000096	MN432490.1_00120	MW139932.1_00121
OG0000097	MN432490.1_00003	MW139932.1_00003
OG0000098	MN432490.1_00004	MW139932.1_00004
OG0000099	MN432490.1_00041	MW139932.1_00042
OG0000100	MN432490.1_00045	MW139932.1_00046
OG0000101	MN432490.1_00071	MW139932.1_00072
OG0000102	MN432490.1_00081	MW139932.1_00080
OG0000103	MN432490.1_00104	MW139932.1_00103
OG0000104	MN432490.1_00107	MW139932.1_00107
OG0000105	MN432490.1_00117	MW139932.1_00118
OG0000106	MN432490.1_00030	MW139932.1_00031
OG0000107	MN432490.1_00105	MW139932.1_00104
OG0000108	MN432490.1_00121	MW139932.1_00122
OG0000109	MN432490.1_00072	MW139932.1_00073
OG0000110	MN432490.1_00119	MW139932.1_00120
OG0000111	MN432490.1_00095	MW139932.1_00094
OG0000112	MN432490.1_00082	MW139932.1_00081
OG0000114	MN432490.1_00022	MW139932.1_00022
OG0000115	MN432490.1_00011	MW139932.1_00011
OG0000118	MN432490.1_00094	MW139932.1_00093
OG0000143	MN432490.1_00021	MW139932.1_00021
