Orthogroup	MT798582.1	MK689685.1
OG0000068	MT798582.1_00096	MK689685.1_00065
OG0000069	MT798582.1_00108	MK689685.1_00097
OG0000070	MT798582.1_00106	MK689685.1_00099
OG0000071	MT798582.1_00035	MK689685.1_00112
OG0000072	MT798582.1_00017	MK689685.1_00009
OG0000073	MT798582.1_00015	MK689685.1_00012
OG0000074	MT798582.1_00011	MK689685.1_00016
OG0000075	MT798582.1_00072	MK689685.1_00033
OG0000076	MT798582.1_00069	MK689685.1_00036
OG0000077	MT798582.1_00066	MK689685.1_00039
OG0000078	MT798582.1_00065	MK689685.1_00040
OG0000079	MT798582.1_00061	MK689685.1_00044
OG0000080	MT798582.1_00055	MK689685.1_00049
OG0000081	MT798582.1_00054	MK689685.1_00050
OG0000082	MT798582.1_00053	MK689685.1_00051
OG0000083	MT798582.1_00101	MK689685.1_00060
OG0000084	MT798582.1_00098	MK689685.1_00063
OG0000085	MT798582.1_00095	MK689685.1_00066
OG0000086	MT798582.1_00094	MK689685.1_00067
OG0000087	MT798582.1_00090	MK689685.1_00072
OG0000088	MT798582.1_00089	MK689685.1_00073
OG0000089	MT798582.1_00122	MK689685.1_00083
OG0000090	MT798582.1_00121	MK689685.1_00084
OG0000091	MT798582.1_00109	MK689685.1_00096
OG0000092	MT798582.1_00105	MK689685.1_00100
OG0000093	MT798582.1_00044	MK689685.1_00103
OG0000094	MT798582.1_00041	MK689685.1_00106
OG0000095	MT798582.1_00040	MK689685.1_00107
OG0000096	MT798582.1_00030	MK689685.1_00116
OG0000097	MT798582.1_00023	MK689685.1_00003
OG0000098	MT798582.1_00022	MK689685.1_00004
OG0000099	MT798582.1_00067	MK689685.1_00038
OG0000100	MT798582.1_00063	MK689685.1_00042
OG0000101	MT798582.1_00093	MK689685.1_00068
OG0000102	MT798582.1_00085	MK689685.1_00078
OG0000103	MT798582.1_00104	MK689685.1_00101
OG0000104	MT798582.1_00043	MK689685.1_00104
OG0000105	MT798582.1_00033	MK689685.1_00114
OG0000106	MT798582.1_00078	MK689685.1_00027
OG0000107	MT798582.1_00103	MK689685.1_00102
OG0000108	MT798582.1_00029	MK689685.1_00117
OG0000109	MT798582.1_00092	MK689685.1_00069
OG0000111	MT798582.1_00113	MK689685.1_00092
OG0000117	MT798582.1_00097	MK689685.1_00064
OG0000142	MT798582.1_00081	MK689685.1_00025
