Orthogroup	MK098185.1	GQ273492.1
OG0000082	MK098185.1_00055	GQ273492.1_00052
OG0000083	MK098185.1_00063	GQ273492.1_00062
OG0000084	MK098185.1_00066	GQ273492.1_00065
OG0000085	MK098185.1_00069	GQ273492.1_00067
OG0000086	MK098185.1_00070	GQ273492.1_00068
OG0000087	MK098185.1_00074	GQ273492.1_00071
OG0000088	MK098185.1_00075	GQ273492.1_00072
OG0000089	MK098185.1_00084	GQ273492.1_00081
OG0000090	MK098185.1_00085	GQ273492.1_00082
OG0000091	MK098185.1_00097	GQ273492.1_00094
OG0000092	MK098185.1_00101	GQ273492.1_00098
OG0000093	MK098185.1_00105	GQ273492.1_00101
OG0000094	MK098185.1_00108	GQ273492.1_00104
OG0000095	MK098185.1_00109	GQ273492.1_00105
OG0000096	MK098185.1_00120	GQ273492.1_00116
OG0000097	MK098185.1_00003	GQ273492.1_00003
OG0000098	MK098185.1_00004	GQ273492.1_00004
OG0000099	MK098185.1_00042	GQ273492.1_00039
OG0000100	MK098185.1_00046	GQ273492.1_00043
OG0000102	MK098185.1_00079	GQ273492.1_00076
OG0000103	MK098185.1_00102	GQ273492.1_00099
OG0000104	MK098185.1_00106	GQ273492.1_00102
OG0000105	MK098185.1_00117	GQ273492.1_00113
OG0000106	MK098185.1_00031	GQ273492.1_00028
OG0000107	MK098185.1_00103	GQ273492.1_00100
OG0000108	MK098185.1_00121	GQ273492.1_00117
OG0000110	MK098185.1_00119	GQ273492.1_00115
OG0000111	MK098185.1_00093	GQ273492.1_00090
OG0000112	MK098185.1_00080	GQ273492.1_00077
OG0000113	MK098185.1_00021	GQ273492.1_00021
OG0000114	MK098185.1_00011	GQ273492.1_00011
OG0000117	MK098185.1_00092	GQ273492.1_00089
OG0000119	MK098185.1_00113	GQ273492.1_00109
OG0000123	MK098185.1_00028	GQ273492.1_00026
OG0000165	MK098185.1_00026	GQ273492.1_00025
