Orthogroup	MK637631	MN562489
OG0000205	MK637631_00040 hypothetical protein	OM037668.1_00063 hypothetical protein
OG0000237	MK637631_00003 hypothetical protein	OM037668.1_00029 hypothetical protein
OG0000238	MK637631_00005 hypothetical protein	OM037668.1_00025 hypothetical protein
OG0000239	MK637631_00015 hypothetical protein	OM037668.1_00039 hypothetical protein
OG0000240	MK637631_00019 hypothetical protein	OM037668.1_00044 hypothetical protein
OG0000241	MK637631_00026 hypothetical protein	OM037668.1_00055 hypothetical protein
OG0000242	MK637631_00028 hypothetical protein	OM037668.1_00052 hypothetical protein
OG0000243	MK637631_00031 hypothetical protein	OM037668.1_00049 hypothetical protein
OG0000244	MK637631_00050 hypothetical protein	OM037668.1_00007 hypothetical protein
OG0000245	MK637631_00060 hypothetical protein	OM037668.1_00069 hypothetical protein
OG0000246	MK637631_00061 hypothetical protein	OM037668.1_00026 hypothetical protein
OG0000248	MK637631_00069 hypothetical protein	OM037668.1_00012 hypothetical protein
OG0000249	MK637631_00073 hypothetical protein	OM037668.1_00114 hypothetical protein
OG0000250	MK637631_00075 hypothetical protein	OM037668.1_00112 hypothetical protein
OG0000251	MK637631_00076 hypothetical protein	OM037668.1_00111 hypothetical protein
OG0000252	MK637631_00081 hypothetical protein	OM037668.1_00103 hypothetical protein
OG0000253	MK637631_00082 hypothetical protein	OM037668.1_00102 hypothetical protein
OG0000254	MK637631_00092 hypothetical protein	OM037668.1_00058 hypothetical protein
OG0000255	MK637631_00098 hypothetical protein	OM037668.1_00072 hypothetical protein
OG0000256	MK637631_00116 hypothetical protein	OM037668.1_00034 hypothetical protein
OG0000280	MK637631_00072 hypothetical protein	OM037668.1_00115 hypothetical protein
