Orthogroup	OP009387.1	MK098185.1
OG0000052	OP009387.1_00084	MK098185.1_00083
OG0000053	OP009387.1_00094	MK098185.1_00094
OG0000054	OP009387.1_00096	MK098185.1_00096
OG0000055	OP009387.1_00099	MK098185.1_00099
OG0000056	OP009387.1_00111	MK098185.1_00111
OG0000057	OP009387.1_00115	MK098185.1_00116
OG0000058	OP009387.1_00117	MK098185.1_00118
OG0000059	OP009387.1_00002	MK098185.1_00002
OG0000060	OP009387.1_00010	MK098185.1_00010
OG0000061	OP009387.1_00018	MK098185.1_00018
OG0000062	OP009387.1_00092	MK098185.1_00091
OG0000063	OP009387.1_00072	MK098185.1_00073
OG0000064	OP009387.1_00017	MK098185.1_00017
OG0000065	OP009387.1_00038	MK098185.1_00041
OG0000066	OP009387.1_00042	MK098185.1_00045
OG0000067	OP009387.1_00046	MK098185.1_00049
OG0000068	OP009387.1_00067	MK098185.1_00068
OG0000069	OP009387.1_00098	MK098185.1_00098
OG0000070	OP009387.1_00100	MK098185.1_00100
OG0000071	OP009387.1_00114	MK098185.1_00115
OG0000072	OP009387.1_00009	MK098185.1_00009
OG0000073	OP009387.1_00012	MK098185.1_00012
OG0000074	OP009387.1_00016	MK098185.1_00016
OG0000075	OP009387.1_00034	MK098185.1_00037
OG0000076	OP009387.1_00037	MK098185.1_00040
OG0000077	OP009387.1_00040	MK098185.1_00043
OG0000078	OP009387.1_00041	MK098185.1_00044
OG0000079	OP009387.1_00045	MK098185.1_00048
OG0000080	OP009387.1_00051	MK098185.1_00053
OG0000081	OP009387.1_00052	MK098185.1_00054
OG0000082	OP009387.1_00053	MK098185.1_00055
OG0000083	OP009387.1_00063	MK098185.1_00063
OG0000084	OP009387.1_00066	MK098185.1_00066
OG0000085	OP009387.1_00068	MK098185.1_00069
OG0000086	OP009387.1_00069	MK098185.1_00070
OG0000087	OP009387.1_00074	MK098185.1_00074
OG0000088	OP009387.1_00075	MK098185.1_00075
OG0000089	OP009387.1_00085	MK098185.1_00084
OG0000090	OP009387.1_00086	MK098185.1_00085
OG0000091	OP009387.1_00097	MK098185.1_00097
OG0000092	OP009387.1_00101	MK098185.1_00101
OG0000093	OP009387.1_00105	MK098185.1_00105
OG0000094	OP009387.1_00108	MK098185.1_00108
OG0000095	OP009387.1_00109	MK098185.1_00109
OG0000096	OP009387.1_00119	MK098185.1_00120
OG0000097	OP009387.1_00003	MK098185.1_00003
OG0000098	OP009387.1_00004	MK098185.1_00004
OG0000099	OP009387.1_00039	MK098185.1_00042
OG0000100	OP009387.1_00043	MK098185.1_00046
OG0000101	OP009387.1_00070	MK098185.1_00071
OG0000102	OP009387.1_00080	MK098185.1_00079
OG0000103	OP009387.1_00102	MK098185.1_00102
OG0000104	OP009387.1_00106	MK098185.1_00106
OG0000105	OP009387.1_00116	MK098185.1_00117
OG0000106	OP009387.1_00028	MK098185.1_00031
OG0000107	OP009387.1_00103	MK098185.1_00103
OG0000108	OP009387.1_00120	MK098185.1_00121
OG0000109	OP009387.1_00071	MK098185.1_00072
OG0000110	OP009387.1_00118	MK098185.1_00119
OG0000112	OP009387.1_00081	MK098185.1_00080
OG0000114	OP009387.1_00022	MK098185.1_00021
OG0000115	OP009387.1_00011	MK098185.1_00011
OG0000118	OP009387.1_00093	MK098185.1_00092
OG0000120	OP009387.1_00104	MK098185.1_00104
