Orthogroup	MN432490.1	OL774655.1
OG0000107	MN432490.1_00105	OL774655.1_00104
OG0000108	MN432490.1_00121	OL774655.1_00122
OG0000109	MN432490.1_00072	OL774655.1_00074
OG0000110	MN432490.1_00119	OL774655.1_00120
OG0000111	MN432490.1_00095	OL774655.1_00094
OG0000112	MN432490.1_00082	OL774655.1_00081
OG0000113	MN432490.1_00022	OL774655.1_00021
OG0000114	MN432490.1_00011	OL774655.1_00011
OG0000117	MN432490.1_00094	OL774655.1_00093
OG0000123	MN432490.1_00027	OL774655.1_00028
