Orthogroup	OK042108.1	MK098186.1
OG0000094	OK042108.1_00091	MK098186.1_00105
OG0000095	OK042108.1_00090	MK098186.1_00106
OG0000096	OK042108.1_00079	MK098186.1_00117
OG0000097	OK042108.1_00072	MK098186.1_00003
OG0000098	OK042108.1_00071	MK098186.1_00004
OG0000099	OK042108.1_00038	MK098186.1_00039
OG0000100	OK042108.1_00034	MK098186.1_00043
OG0000101	OK042108.1_00006	MK098186.1_00068
OG0000102	OK042108.1_00120	MK098186.1_00076
OG0000103	OK042108.1_00097	MK098186.1_00099
OG0000104	OK042108.1_00093	MK098186.1_00103
OG0000105	OK042108.1_00082	MK098186.1_00114
OG0000107	OK042108.1_00096	MK098186.1_00100
OG0000108	OK042108.1_00078	MK098186.1_00118
OG0000109	OK042108.1_00005	MK098186.1_00069
OG0000110	OK042108.1_00080	MK098186.1_00116
OG0000111	OK042108.1_00106	MK098186.1_00090
OG0000112	OK042108.1_00119	MK098186.1_00077
OG0000114	OK042108.1_00056	MK098186.1_00021
OG0000117	OK042108.1_00010	MK098186.1_00064
OG0000118	OK042108.1_00107	MK098186.1_00089
OG0000120	OK042108.1_00095	MK098186.1_00101
OG0000121	OK042108.1_00086	MK098186.1_00110
OG0000125	OK042108.1_00049	MK098186.1_00027
OG0000127	OK042108.1_00051	MK098186.1_00025
