Orthogroup	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1	Total
OG0000024	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	41
OG0000025	1	0	2	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	2	1	0	1	1	1	1	1	1	1	1	1	1	39
OG0000026	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	39
OG0000027	1	0	1	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	38
OG0000028	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	37
OG0000029	1	0	1	1	2	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	37
OG0000030	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	36
OG0000031	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	36
OG0000032	1	0	1	1	1	2	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	36
OG0000033	1	0	1	1	1	2	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	36
OG0000034	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000035	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000036	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000037	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000038	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000039	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000040	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000041	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000042	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000043	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000044	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000045	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000046	1	0	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000047	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000048	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000049	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000050	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000051	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000052	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000053	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000054	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000055	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000056	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000057	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	35
OG0000058	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	34
OG0000059	1	0	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	34
OG0000060	1	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	34
OG0000061	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	34
OG0000062	1	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	33
OG0000063	1	0	1	3	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	33
OG0000064	1	0	1	2	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	32
OG0000065	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	2	1	1	32
OG0000066	1	0	1	2	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	32
OG0000067	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	2	1	1	1	0	1	1	1	1	1	32
OG0000068	1	0	1	1	1	1	1	0	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	32
OG0000069	1	0	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	32
OG0000070	1	0	1	2	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	32
OG0000071	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	2	1	1	1	0	1	1	1	1	1	32
OG0000072	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000073	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000074	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000075	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000076	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000077	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000078	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000079	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000080	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000081	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000082	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000083	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000084	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000085	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000086	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000087	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000088	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000089	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000090	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000091	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000092	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000093	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000094	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000095	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000096	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	31
OG0000097	1	0	1	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	30
OG0000098	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	30
OG0000099	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	30
OG0000100	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	30
OG0000101	1	0	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	30
OG0000102	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	30
OG0000103	1	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	30
OG0000104	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	30
OG0000105	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	30
OG0000106	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	29
OG0000107	1	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	29
OG0000108	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	29
OG0000109	1	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	28
OG0000110	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	28
OG0000111	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	28
OG0000112	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	27
OG0000113	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	26
OG0000114	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	0	0	1	1	1	25
OG0000115	1	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	25
OG0000116	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	0	24
OG0000117	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	0	24
OG0000118	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	22
OG0000119	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	1	1	1	0	1	22
OG0000120	0	1	0	0	0	0	0	1	2	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	20
OG0000121	0	0	0	0	0	0	0	7	8	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
OG0000122	0	0	0	0	0	0	0	1	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
OG0000123	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	14
OG0000124	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	1	1	0	1	13
OG0000125	0	0	0	0	0	0	0	4	4	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
OG0000126	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	0	12
OG0000127	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
OG0000128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	12
OG0000129	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	11
OG0000130	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	11
OG0000131	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	1	0	1	0	1	11
OG0000132	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
OG0000133	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
OG0000134	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
OG0000135	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	9
OG0000136	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	9
OG0000137	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9
OG0000138	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9
