Orthogroup	OK042109.1	ON075463.1
OG0000061	OK042109.1_00058	ON075463.1_00017
OG0000062	OK042109.1_00109	ON075463.1_00088
OG0000063	OK042109.1_00005	ON075463.1_00070
OG0000064	OK042109.1_00059	ON075463.1_00016
OG0000065	OK042109.1_00039	ON075463.1_00037
OG0000066	OK042109.1_00035	ON075463.1_00041
OG0000067	OK042109.1_00031	ON075463.1_00045
OG0000068	OK042109.1_00010	ON075463.1_00065
OG0000069	OK042109.1_00102	ON075463.1_00095
OG0000070	OK042109.1_00100	ON075463.1_00097
OG0000071	OK042109.1_00085	ON075463.1_00112
OG0000072	OK042109.1_00067	ON075463.1_00009
OG0000073	OK042109.1_00064	ON075463.1_00011
OG0000074	OK042109.1_00060	ON075463.1_00015
OG0000075	OK042109.1_00043	ON075463.1_00033
OG0000076	OK042109.1_00040	ON075463.1_00036
OG0000077	OK042109.1_00037	ON075463.1_00039
OG0000078	OK042109.1_00036	ON075463.1_00040
OG0000079	OK042109.1_00032	ON075463.1_00044
OG0000080	OK042109.1_00026	ON075463.1_00049
OG0000081	OK042109.1_00025	ON075463.1_00050
OG0000082	OK042109.1_00024	ON075463.1_00051
OG0000083	OK042109.1_00014	ON075463.1_00060
OG0000084	OK042109.1_00012	ON075463.1_00063
OG0000085	OK042109.1_00009	ON075463.1_00066
OG0000086	OK042109.1_00008	ON075463.1_00067
OG0000087	OK042109.1_00004	ON075463.1_00071
OG0000088	OK042109.1_00003	ON075463.1_00072
OG0000089	OK042109.1_00116	ON075463.1_00081
OG0000090	OK042109.1_00115	ON075463.1_00082
OG0000091	OK042109.1_00103	ON075463.1_00094
OG0000092	OK042109.1_00099	ON075463.1_00098
OG0000093	OK042109.1_00095	ON075463.1_00102
OG0000094	OK042109.1_00092	ON075463.1_00105
OG0000095	OK042109.1_00091	ON075463.1_00106
OG0000097	OK042109.1_00073	ON075463.1_00003
OG0000098	OK042109.1_00072	ON075463.1_00004
OG0000099	OK042109.1_00038	ON075463.1_00038
OG0000100	OK042109.1_00034	ON075463.1_00042
OG0000101	OK042109.1_00007	ON075463.1_00068
OG0000102	OK042109.1_00121	ON075463.1_00076
OG0000103	OK042109.1_00098	ON075463.1_00099
OG0000104	OK042109.1_00094	ON075463.1_00103
OG0000105	OK042109.1_00083	ON075463.1_00114
OG0000106	OK042109.1_00049	ON075463.1_00027
OG0000107	OK042109.1_00097	ON075463.1_00100
OG0000108	OK042109.1_00079	ON075463.1_00117
OG0000109	OK042109.1_00006	ON075463.1_00069
OG0000110	OK042109.1_00081	ON075463.1_00116
OG0000111	OK042109.1_00107	ON075463.1_00090
OG0000112	OK042109.1_00120	ON075463.1_00077
OG0000116	OK042109.1_00023	ON075463.1_00052
OG0000117	OK042109.1_00011	ON075463.1_00064
OG0000120	OK042109.1_00096	ON075463.1_00101
OG0000121	OK042109.1_00087	ON075463.1_00110
