Orthogroup	AY521625	KX643370
OG0000150	AY521625.1_00018 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00149 hypothetical protein
OG0000153	AY521625.1_00126 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00090 hypothetical protein
OG0000167	AY521625.1_00005 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00060 hypothetical protein
OG0000168	AY521625.1_00011 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00059 hypothetical protein
OG0000169	AY521625.1_00140 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00080 hypothetical protein
OG0000195	AY521625.1_00066 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00021 hypothetical protein
OG0000197	AY521625.1_00097 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00064 hypothetical protein, Lymph_LDV3_KX643370_00014 hypothetical protein, Lymph_LDV3_KX643370_00128 hypothetical protein
OG0000218	AY521625.1_00023 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00106 hypothetical protein
OG0000219	AY521625.1_00057 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00005 hypothetical protein
OG0000220	AY521625.1_00061 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00046 hypothetical protein
OG0000221	AY521625.1_00094 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00054 hypothetical protein
OG0000222	AY521625.1_00116 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00146 hypothetical protein
OG0000223	AY521625.1_00128 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00102 hypothetical protein
OG0000241	AY521625.1_00010 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00037 hypothetical protein
OG0000242	AY521625.1_00043 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00151 hypothetical protein
OG0000243	AY521625.1_00055 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00148 hypothetical protein
