Orthogroup	HF920637.1	AF303741.1
OG0000164	HF920637.1_00013	AF303741.1_00009
OG0000165	HF920637.1_00116	AF303741.1_00147, AF303741.1_00049, AF303741.1_00078, AF303741.1_00083
OG0000166	HF920637.1_00056	AF303741.1_00056
OG0000167	HF920637.1_00140	AF303741.1_00068, AF303741.1_00067
OG0000168	HF920637.1_00095	AF303741.1_00076
OG0000169	HF920637.1_00049	AF303741.1_00087
OG0000170	HF920637.1_00120	AF303741.1_00091
OG0000171	HF920637.1_00045	AF303741.1_00096
OG0000174	HF920637.1_00067	AF303741.1_00179
OG0000175	HF920637.1_00069	AF303741.1_00181
OG0000184	HF920637.1_00122	AF303741.1_00141, AF303741.1_00142
OG0000184	HF920637.1_00062	AF303741.1_00001
OG0000185	HF920637.1_00020	AF303741.1_00003
OG0000186	HF920637.1_00139	AF303741.1_00004
OG0000187	HF920637.1_00100	AF303741.1_00015
OG0000188	HF920637.1_00212	AF303741.1_00017
OG0000189	HF920637.1_00047	AF303741.1_00085
OG0000190	HF920637.1_00048	AF303741.1_00086
OG0000192	HF920637.1_00085	AF303741.1_00112
OG0000193	HF920637.1_00019	AF303741.1_00122
OG0000194	HF920637.1_00193	AF303741.1_00136
OG0000195	HF920637.1_00043	AF303741.1_00146
OG0000196	HF920637.1_00160	AF303741.1_00148
OG0000197	HF920637.1_00192	AF303741.1_00150
OG0000198	HF920637.1_00070	AF303741.1_00151
OG0000199	HF920637.1_00194	AF303741.1_00161
OG0000200	HF920637.1_00133, HF920637.1_00142, HF920637.1_00136	AF303741.1_00174
OG0000201	HF920637.1_00035	AF303741.1_00177
OG0000202	HF920637.1_00009	AF303741.1_00184
OG0000203	HF920637.1_00149	AF303741.1_00193
OG0000204	HF920637.1_00005	AF303741.1_00197
OG0000214	HF920637.1_00215	AF303741.1_00008
OG0000215	HF920637.1_00065, HF920637.1_00115, HF920637.1_00177	AF303741.1_00012
OG0000216	HF920637.1_00211	AF303741.1_00018
OG0000217	HF920637.1_00008, HF920637.1_00200, HF920637.1_00083	AF303741.1_00024
OG0000218	HF920637.1_00188	AF303741.1_00042
OG0000219	HF920637.1_00187	AF303741.1_00044
OG0000220	HF920637.1_00074	AF303741.1_00064
OG0000222	HF920637.1_00204	AF303741.1_00107
OG0000223	HF920637.1_00124	AF303741.1_00120
OG0000224	HF920637.1_00144	AF303741.1_00124
OG0000225	HF920637.1_00167	AF303741.1_00135
OG0000226	HF920637.1_00040	AF303741.1_00159
OG0000227	HF920637.1_00195	AF303741.1_00160
OG0000228	HF920637.1_00012	AF303741.1_00175
OG0000229	HF920637.1_00022	AF303741.1_00203
OG0000230	HF920637.1_00021	AF303741.1_00204
OG0000282	HF920637.1_00053	AF303741.1_00053
OG0000283	HF920637.1_00090	AF303741.1_00077
OG0000284	HF920637.1_00174	AF303741.1_00093
OG0000287	HF920637.1_00063	AF303741.1_00201
OG0000288	HF920637.1_00064	AF303741.1_00202
OG0000311	HF920637.1_00214	AF303741.1_00010
OG0000312	HF920637.1_00154	AF303741.1_00014
OG0000314	HF920637.1_00155	AF303741.1_00020
OG0000315	HF920637.1_00131	AF303741.1_00025
OG0000316	HF920637.1_00107	AF303741.1_00027
OG0000317	HF920637.1_00103	AF303741.1_00034
OG0000318	HF920637.1_00191	AF303741.1_00040
OG0000320	HF920637.1_00186	AF303741.1_00045
OG0000322	HF920637.1_00179	AF303741.1_00050
OG0000323	HF920637.1_00055	AF303741.1_00052
OG0000324	HF920637.1_00050	AF303741.1_00055
OG0000325	HF920637.1_00082	AF303741.1_00060
OG0000326	HF920637.1_00081	AF303741.1_00061
OG0000328	HF920637.1_00104	AF303741.1_00092
OG0000329	HF920637.1_00046	AF303741.1_00097
OG0000330	HF920637.1_00171	AF303741.1_00098
OG0000331	HF920637.1_00088	AF303741.1_00102
OG0000332	HF920637.1_00018	AF303741.1_00106
OG0000334	HF920637.1_00006	AF303741.1_00113
OG0000335	HF920637.1_00126	AF303741.1_00118
OG0000336	HF920637.1_00125	AF303741.1_00119
OG0000337	HF920637.1_00135	AF303741.1_00131
OG0000338	HF920637.1_00207	AF303741.1_00139
OG0000339	HF920637.1_00202	AF303741.1_00140
OG0000340	HF920637.1_00209	AF303741.1_00143
OG0000341	HF920637.1_00032	AF303741.1_00155
OG0000342	HF920637.1_00023	AF303741.1_00163
OG0000343	HF920637.1_00002	AF303741.1_00166
OG0000344	HF920637.1_00185	AF303741.1_00167
OG0000345	HF920637.1_00134	AF303741.1_00172
OG0000348	HF920637.1_00173	AF303741.1_00187
OG0000349	HF920637.1_00203	AF303741.1_00190
OG0000350	HF920637.1_00030	AF303741.1_00196
OG0000351	HF920637.1_00007	AF303741.1_00198
OG0000352	HF920637.1_00076	AF303741.1_00199
