Orthogroup	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MT128666	MT128667	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	occupancy	num_values_present
OG0000026	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	GQ273492.1_00043 hypothetical protein	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	MG570131.1_00044 hypothetical protein	MG570132.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	OQ475017.1_00043 OQ475017.1 - hypothetical protein translation	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	100	3
OG0000027	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	GQ273492.1_00044 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	MG570131.1_00045 hypothetical protein	MG570132.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	100	3
OG0000028	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	GQ273492.1_00045 hypothetical protein	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	MG570131.1_00046 hypothetical protein	MG570132.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	OQ475017.1_00045 OQ475017.1 - hypothetical protein translation	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	100	3
OG0000029	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	GQ273492.1_00046 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	MG570131.1_00047 hypothetical protein	MG570132.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	OQ475017.1_00046 OQ475017.1 - hypothetical protein translation	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	100	3
OG0000030	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	GQ273492.1_00047 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	MG570131.1_00048 hypothetical protein	MG570132.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	OQ475017.1_00047 OQ475017.1 - hypothetical protein translation	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	100	3
OG0000031	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	ORF045_ref_gen ORF045	ORF045_ref_gen ORF045	GQ273492.1_00048 hypothetical protein	ORF045_ref_gen ORF045	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	MG570131.1_00049 hypothetical protein	MG570132.1_00049 hypothetical protein	ORF045_refgen ORF045	ORF045_refgen ORF045	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	ORF045_refgen ORF045	ORF045_refgen ORF045	ORF045_refgen ORF045	ORF045_refgen ORF045	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	OQ475017.1_00048 OQ475017.1 - hypothetical protein translation	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	100	3
OG0000032	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	GQ273492.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	MG570131.1_00050 hypothetical protein	MG570132.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	OQ475017.1_00049 OQ475017.1 - hypothetical protein translation	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	100	3
OG0000033	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	GQ273492.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	MG570131.1_00051 hypothetical protein	MG570132.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	OQ475017.1_00050 OQ475017.1 - hypothetical protein translation	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	100	3
OG0000034	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	AF371960.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	GQ273492.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	AF371960.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	MG570131.1_00052 hypothetical protein	MG570132.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	AF371960.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	AF371960.1_00052 hypothetical protein	MK689686.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	OQ475017.1_00051 OQ475017.1 - hypothetical protein translation	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	AF371960.1_00052 hypothetical protein	100	3
OG0000035	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	MK689686.1_00052 hypothetical protein	AF371960.1_00053 hypothetical protein	MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	GQ273492.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	AF371960.1_00053 hypothetical protein	MK689686.1_00052 hypothetical protein	MG570131.1_00053 hypothetical protein	MG570132.1_00053 hypothetical protein	MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	AF371960.1_00053 hypothetical protein	MK689686.1_00052 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	MK689686.1_00052 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	MK689686.1_00052 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	MK689686.1_00052 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	AF371960.1_00053 hypothetical protein	MK689686.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	OQ475017.1_00052 OQ475017.1 - hypothetical protein translation	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	AF371960.1_00053 hypothetical protein	100	3
OG0000036	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	MK689686.1_00054 hypothetical protein	AF371960.1_00055 hypothetical protein	MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	GQ273492.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	AF371960.1_00055 hypothetical protein	MK689686.1_00054 hypothetical protein	MG570131.1_00055 hypothetical protein	MG570132.1_00055 hypothetical protein	MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	AF371960.1_00055 hypothetical protein	MK689686.1_00054 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	MK689686.1_00054 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	MK689686.1_00054 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	MK689686.1_00054 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	AF371960.1_00055 hypothetical protein	MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	OQ475017.1_00054 OQ475017.1 - hypothetical protein translation	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	100	3
OG0000037	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	MK689686.1_00055 hypothetical protein	AF371960.1_00056 hypothetical protein	MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	GQ273492.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	AF371960.1_00056 hypothetical protein	MK689686.1_00055 hypothetical protein	MG570131.1_00056 hypothetical protein	MG570132.1_00056 hypothetical protein	MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	AF371960.1_00056 hypothetical protein	MK689686.1_00055 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	MK689686.1_00055 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	MK689686.1_00055 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	MK689686.1_00055 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	AF371960.1_00056 hypothetical protein	MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	OQ475017.1_00055 OQ475017.1 - hypothetical protein translation	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	100	3
