Orthogroup	MT798582.1	OL774653.1
OG0000055	MT798582.1_00107	OL774653.1_00118
OG0000056	MT798582.1_00038	OL774653.1_00005
OG0000057	MT798582.1_00034	OL774653.1_00010
OG0000058	MT798582.1_00032	OL774653.1_00012
OG0000059	MT798582.1_00024	OL774653.1_00020
OG0000060	MT798582.1_00016	OL774653.1_00028
OG0000061	MT798582.1_00009	OL774653.1_00035
OG0000062	MT798582.1_00115	OL774653.1_00109
OG0000063	MT798582.1_00091	OL774653.1_00091
OG0000064	MT798582.1_00010	OL774653.1_00034
OG0000065	MT798582.1_00068	OL774653.1_00059
OG0000066	MT798582.1_00064	OL774653.1_00063
OG0000067	MT798582.1_00060	OL774653.1_00067
OG0000068	MT798582.1_00096	OL774653.1_00086
OG0000069	MT798582.1_00108	OL774653.1_00117
OG0000070	MT798582.1_00106	OL774653.1_00119
OG0000071	MT798582.1_00035	OL774653.1_00009
OG0000072	MT798582.1_00017	OL774653.1_00027
OG0000073	MT798582.1_00015	OL774653.1_00029
OG0000074	MT798582.1_00011	OL774653.1_00033
OG0000075	MT798582.1_00072	OL774653.1_00055
OG0000076	MT798582.1_00069	OL774653.1_00058
OG0000077	MT798582.1_00066	OL774653.1_00061
OG0000078	MT798582.1_00065	OL774653.1_00062
OG0000079	MT798582.1_00061	OL774653.1_00066
OG0000080	MT798582.1_00055	OL774653.1_00071
OG0000081	MT798582.1_00054	OL774653.1_00072
OG0000082	MT798582.1_00053	OL774653.1_00073
OG0000083	MT798582.1_00101	OL774653.1_00081
OG0000084	MT798582.1_00098	OL774653.1_00084
OG0000085	MT798582.1_00095	OL774653.1_00087
OG0000086	MT798582.1_00094	OL774653.1_00088
OG0000087	MT798582.1_00090	OL774653.1_00092
OG0000088	MT798582.1_00089	OL774653.1_00093
OG0000089	MT798582.1_00122	OL774653.1_00102
OG0000090	MT798582.1_00121	OL774653.1_00103
OG0000091	MT798582.1_00109	OL774653.1_00116
OG0000092	MT798582.1_00105	OL774653.1_00120
OG0000093	MT798582.1_00044	OL774653.1_00124
OG0000094	MT798582.1_00041	OL774653.1_00002
OG0000095	MT798582.1_00040	OL774653.1_00003
OG0000096	MT798582.1_00030	OL774653.1_00014
OG0000097	MT798582.1_00023	OL774653.1_00021
OG0000098	MT798582.1_00022	OL774653.1_00022
OG0000099	MT798582.1_00067	OL774653.1_00060
OG0000100	MT798582.1_00063	OL774653.1_00064
OG0000101	MT798582.1_00093	OL774653.1_00089
OG0000102	MT798582.1_00085	OL774653.1_00097
OG0000103	MT798582.1_00104	OL774653.1_00121
OG0000105	MT798582.1_00033	OL774653.1_00011
OG0000106	MT798582.1_00078	OL774653.1_00049
OG0000107	MT798582.1_00103	OL774653.1_00122
OG0000108	MT798582.1_00029	OL774653.1_00015
OG0000109	MT798582.1_00092	OL774653.1_00090
OG0000110	MT798582.1_00031	OL774653.1_00013
OG0000111	MT798582.1_00113	OL774653.1_00112
OG0000114	MT798582.1_00005	OL774653.1_00038
OG0000117	MT798582.1_00097	OL774653.1_00085
OG0000124	MT798582.1_00083	OL774653.1_00045
OG0000131	MT798582.1_00114	OL774653.1_00110
OG0000142	MT798582.1_00081	OL774653.1_00046
