Orthogroup	HF920637	AF303741
OG0000022	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation	AF303741.1_00154 FAD-linked sulfhydryl oxidase
OG0000023	HF920637.1_00121 HF920637.1 - hypothetical protein translation	AF303741.1_00132 hypothetical protein
OG0000026	HF920637.1_00156 HF920637.1 - hypothetical protein translation	AF303741.1_00051 Dual specificity protein phosphatase H1
OG0000064	HF920637.1_00158 HF920637.1 - hypothetical protein translation, HF920637.1_00208 HF920637.1 - hypothetical protein translation, HF920637.1_00130 HF920637.1 - hypothetical protein translation	AF303741.1_00173 hypothetical protein
OG0000064	HF920637.1_00102 HF920637.1 - hypothetical protein translation	AF303741.1_00095 hypothetical protein
OG0000064	HF920637.1_00206 HF920637.1 - hypothetical protein translation, HF920637.1_00184 HF920637.1 - hypothetical protein translation, HF920637.1_00034 HF920637.1 - hypothetical protein translation	AF303741.1_00066 hypothetical protein, AF303741.1_00007 hypothetical protein
OG0000064	HF920637.1_00096 HF920637.1 - hypothetical protein translation	AF303741.1_00094 hypothetical protein, AF303741.1_00109 hypothetical protein
OG0000114	HF920637.1_00018 HF920637.1 - hypothetical protein translation	AF303741.1_00106 hypothetical protein
OG0000114	HF920637.1_00138 HF920637.1 - hypothetical protein translation	AF303741.1_00170 hypothetical protein
OG0000121	HF920637.1_00198 HF920637.1 - hypothetical protein translation	AF303741.1_00178 hypothetical protein
OG0000121	HF920637.1_00147 HF920637.1 - hypothetical protein translation, HF920637.1_00218 HF920637.1 - hypothetical protein translation	AF303741.1_00121 hypothetical protein
OG0000121	HF920637.1_00029 HF920637.1 - hypothetical protein translation	AF303741.1_00195 hypothetical protein
OG0000129	HF920637.1_00057 HF920637.1 - hypothetical protein translation	AF303741.1_00130 hypothetical protein
OG0000129	HF920637.1_00216 HF920637.1 - hypothetical protein translation	AF303741.1_00089 hypothetical protein
OG0000130	HF920637.1_00219 HF920637.1 - hypothetical protein translation	AF303741.1_00126 hypothetical protein
OG0000133	HF920637.1_00105 HF920637.1 - Ribonucleoside-diphosphate reductase large subunit translation	AF303741.1_00031 hypothetical protein
OG0000134	HF920637.1_00181 HF920637.1 - hypothetical protein translation	AF303741.1_00100 hypothetical protein, AF303741.1_00162 hypothetical protein
OG0000135	HF920637.1_00123 HF920637.1 - Thymidylate synthase translation	AF303741.1_00101 Thymidylate synthase
OG0000138	HF920637.1_00060 HF920637.1 - putative helicase D10 translation	AF303741.1_00072 hypothetical protein
OG0000139	HF920637.1_00014 HF920637.1 - hypothetical protein translation	AF303741.1_00157 hypothetical protein
OG0000140	HF920637.1_00169 HF920637.1 - hypothetical protein translation	AF303741.1_00185 hypothetical protein
OG0000144	HF920637.1_00151 HF920637.1 - hypothetical protein translation	AF303741.1_00070 hypothetical protein
OG0000145	HF920637.1_00011 HF920637.1 - hypothetical protein translation	AF303741.1_00145 hypothetical protein
OG0000145	HF920637.1_00180 HF920637.1 - hypothetical protein translation	AF303741.1_00090 hypothetical protein
OG0000146	HF920637.1_00168 HF920637.1 - hypothetical protein translation	AF303741.1_00183 hypothetical protein
OG0000147	HF920637.1_00150 HF920637.1 - hypothetical protein translation	AF303741.1_00192 hypothetical protein
OG0000155	HF920637.1_00116 HF920637.1 - hypothetical protein translation	AF303741.1_00147 hypothetical protein, AF303741.1_00049 hypothetical protein, AF303741.1_00078 hypothetical protein, AF303741.1_00083 hypothetical protein
OG0000156	HF920637.1_00056 HF920637.1 - hypothetical protein translation	AF303741.1_00056 hypothetical protein
OG0000157	HF920637.1_00140 HF920637.1 - hypothetical protein translation	AF303741.1_00068 hypothetical protein, AF303741.1_00067 hypothetical protein
OG0000158	HF920637.1_00095 HF920637.1 - hypothetical protein translation	AF303741.1_00076 hypothetical protein
OG0000159	HF920637.1_00049 HF920637.1 - hypothetical protein translation	AF303741.1_00087 hypothetical protein
OG0000160	HF920637.1_00120 HF920637.1 - DNA ligase translation	AF303741.1_00091 DNA ligase
OG0000161	HF920637.1_00045 HF920637.1 - hypothetical protein translation	AF303741.1_00096 hypothetical protein
OG0000163	HF920637.1_00148 HF920637.1 - hypothetical protein translation, HF920637.1_00077 HF920637.1 - hypothetical protein translation	AF303741.1_00169 hypothetical protein
OG0000164	HF920637.1_00067 HF920637.1 - hypothetical protein translation	AF303741.1_00179 hypothetical protein
OG0000165	HF920637.1_00069 HF920637.1 - hypothetical protein translation	AF303741.1_00181 hypothetical protein
OG0000166	HF920637.1_00071 HF920637.1 - hypothetical protein translation	AF303741.1_00182 hypothetical protein
OG0000172	HF920637.1_00122 HF920637.1 - hypothetical protein translation	AF303741.1_00142 hypothetical protein, AF303741.1_00141 hypothetical protein
OG0000172	HF920637.1_00062 HF920637.1 - hypothetical protein translation	AF303741.1_00001 hypothetical protein
OG0000173	HF920637.1_00020 HF920637.1 - hypothetical protein translation	AF303741.1_00003 hypothetical protein
OG0000174	HF920637.1_00139 HF920637.1 - hypothetical protein translation	AF303741.1_00004 hypothetical protein
OG0000175	HF920637.1_00013 HF920637.1 - hypothetical protein translation	AF303741.1_00009 hypothetical protein
OG0000176	HF920637.1_00100 HF920637.1 - DNA topoisomerase 2 translation	AF303741.1_00015 DNA topoisomerase 2
OG0000177	HF920637.1_00212 HF920637.1 - hypothetical protein translation	AF303741.1_00017 hypothetical protein
OG0000178	HF920637.1_00047 HF920637.1 - hypothetical protein translation	AF303741.1_00085 hypothetical protein
OG0000179	HF920637.1_00048 HF920637.1 - hypothetical protein translation	AF303741.1_00086 hypothetical protein
OG0000181	HF920637.1_00085 HF920637.1 - hypothetical protein translation	AF303741.1_00112 hypothetical protein
OG0000183	HF920637.1_00019 HF920637.1 - hypothetical protein translation	AF303741.1_00122 hypothetical protein
OG0000184	HF920637.1_00193 HF920637.1 - hypothetical protein translation	AF303741.1_00136 hypothetical protein
OG0000185	HF920637.1_00043 HF920637.1 - hypothetical protein translation	AF303741.1_00146 hypothetical protein
OG0000186	HF920637.1_00160 HF920637.1 - hypothetical protein translation	AF303741.1_00148 hypothetical protein
OG0000187	HF920637.1_00192 HF920637.1 - hypothetical protein translation	AF303741.1_00150 hypothetical protein
OG0000188	HF920637.1_00070 HF920637.1 - hypothetical protein translation	AF303741.1_00151 hypothetical protein
OG0000189	HF920637.1_00194 HF920637.1 - hypothetical protein translation	AF303741.1_00161 hypothetical protein
OG0000190	HF920637.1_00136 HF920637.1 - hypothetical protein translation, HF920637.1_00133 HF920637.1 - hypothetical protein translation, HF920637.1_00142 HF920637.1 - hypothetical protein translation	AF303741.1_00174 hypothetical protein
OG0000191	HF920637.1_00035 HF920637.1 - hypothetical protein translation	AF303741.1_00177 hypothetical protein
OG0000192	HF920637.1_00009 HF920637.1 - hypothetical protein translation	AF303741.1_00184 hypothetical protein
OG0000193	HF920637.1_00149 HF920637.1 - hypothetical protein translation	AF303741.1_00193 hypothetical protein
OG0000194	HF920637.1_00005 HF920637.1 - hypothetical protein translation	AF303741.1_00197 hypothetical protein
OG0000200	HF920637.1_00215 HF920637.1 - hypothetical protein translation	AF303741.1_00008 hypothetical protein
OG0000201	HF920637.1_00177 HF920637.1 - hypothetical protein translation, HF920637.1_00065 HF920637.1 - hypothetical protein translation, HF920637.1_00115 HF920637.1 - hypothetical protein translation	AF303741.1_00012 hypothetical protein
OG0000202	HF920637.1_00211 HF920637.1 - hypothetical protein translation	AF303741.1_00018 hypothetical protein
OG0000203	HF920637.1_00083 HF920637.1 - hypothetical protein translation, HF920637.1_00008 HF920637.1 - hypothetical protein translation, HF920637.1_00200 HF920637.1 - hypothetical protein translation	AF303741.1_00024 hypothetical protein
OG0000204	HF920637.1_00188 HF920637.1 - hypothetical protein translation	AF303741.1_00042 hypothetical protein
OG0000205	HF920637.1_00187 HF920637.1 - hypothetical protein translation	AF303741.1_00044 hypothetical protein
OG0000206	HF920637.1_00074 HF920637.1 - hypothetical protein translation	AF303741.1_00064 hypothetical protein
OG0000208	HF920637.1_00204 HF920637.1 - hypothetical protein translation	AF303741.1_00107 hypothetical protein
OG0000209	HF920637.1_00124 HF920637.1 - hypothetical protein translation	AF303741.1_00120 hypothetical protein
OG0000210	HF920637.1_00144 HF920637.1 - hypothetical protein translation	AF303741.1_00124 hypothetical protein
OG0000211	HF920637.1_00167 HF920637.1 - hypothetical protein translation	AF303741.1_00135 hypothetical protein
OG0000212	HF920637.1_00040 HF920637.1 - hypothetical protein translation	AF303741.1_00159 hypothetical protein
OG0000213	HF920637.1_00195 HF920637.1 - hypothetical protein translation	AF303741.1_00160 hypothetical protein
OG0000214	HF920637.1_00012 HF920637.1 - hypothetical protein translation	AF303741.1_00175 hypothetical protein
OG0000215	HF920637.1_00022 HF920637.1 - hypothetical protein translation	AF303741.1_00203 hypothetical protein
OG0000216	HF920637.1_00021 HF920637.1 - hypothetical protein translation	AF303741.1_00204 hypothetical protein
OG0000233	HF920637.1_00053 HF920637.1 - hypothetical protein translation	AF303741.1_00053 hypothetical protein
OG0000234	HF920637.1_00090 HF920637.1 - hypothetical protein translation	AF303741.1_00077 hypothetical protein
OG0000235	HF920637.1_00174 HF920637.1 - hypothetical protein translation	AF303741.1_00093 hypothetical protein
OG0000238	HF920637.1_00203 HF920637.1 - hypothetical protein translation	AF303741.1_00190 hypothetical protein
OG0000239	HF920637.1_00063 HF920637.1 - hypothetical protein translation	AF303741.1_00201 hypothetical protein
OG0000240	HF920637.1_00064 HF920637.1 - hypothetical protein translation	AF303741.1_00202 hypothetical protein
OG0000296	HF920637.1_00214 HF920637.1 - hypothetical protein translation	AF303741.1_00010 hypothetical protein
OG0000297	HF920637.1_00154 HF920637.1 - hypothetical protein translation	AF303741.1_00014 hypothetical protein
OG0000299	HF920637.1_00155 HF920637.1 - hypothetical protein translation	AF303741.1_00020 hypothetical protein
OG0000300	HF920637.1_00131 HF920637.1 - hypothetical protein translation	AF303741.1_00025 hypothetical protein
OG0000301	HF920637.1_00107 HF920637.1 - hypothetical protein translation	AF303741.1_00027 hypothetical protein
OG0000302	HF920637.1_00103 HF920637.1 - hypothetical protein translation	AF303741.1_00034 hypothetical protein
OG0000303	HF920637.1_00191 HF920637.1 - hypothetical protein translation	AF303741.1_00040 hypothetical protein
OG0000305	HF920637.1_00186 HF920637.1 - hypothetical protein translation	AF303741.1_00045 hypothetical protein
OG0000307	HF920637.1_00179 HF920637.1 - hypothetical protein translation	AF303741.1_00050 hypothetical protein
OG0000308	HF920637.1_00055 HF920637.1 - hypothetical protein translation	AF303741.1_00052 hypothetical protein
OG0000309	HF920637.1_00050 HF920637.1 - hypothetical protein translation	AF303741.1_00055 hypothetical protein
OG0000310	HF920637.1_00082 HF920637.1 - hypothetical protein translation	AF303741.1_00060 hypothetical protein
OG0000311	HF920637.1_00081 HF920637.1 - hypothetical protein translation	AF303741.1_00061 hypothetical protein
OG0000313	HF920637.1_00104 HF920637.1 - hypothetical protein translation	AF303741.1_00092 hypothetical protein
OG0000314	HF920637.1_00046 HF920637.1 - hypothetical protein translation	AF303741.1_00097 hypothetical protein
OG0000315	HF920637.1_00171 HF920637.1 - hypothetical protein translation	AF303741.1_00098 hypothetical protein
OG0000316	HF920637.1_00088 HF920637.1 - hypothetical protein translation	AF303741.1_00102 hypothetical protein
OG0000318	HF920637.1_00006 HF920637.1 - hypothetical protein translation	AF303741.1_00113 hypothetical protein
OG0000319	HF920637.1_00126 HF920637.1 - hypothetical protein translation	AF303741.1_00118 hypothetical protein
OG0000320	HF920637.1_00125 HF920637.1 - hypothetical protein translation	AF303741.1_00119 hypothetical protein
OG0000321	HF920637.1_00135 HF920637.1 - hypothetical protein translation	AF303741.1_00131 hypothetical protein
OG0000322	HF920637.1_00207 HF920637.1 - hypothetical protein translation	AF303741.1_00139 hypothetical protein
OG0000323	HF920637.1_00202 HF920637.1 - hypothetical protein translation	AF303741.1_00140 hypothetical protein
OG0000324	HF920637.1_00209 HF920637.1 - hypothetical protein translation	AF303741.1_00143 hypothetical protein
OG0000325	HF920637.1_00032 HF920637.1 - hypothetical protein translation	AF303741.1_00155 hypothetical protein
OG0000326	HF920637.1_00023 HF920637.1 - hypothetical protein translation	AF303741.1_00163 hypothetical protein
OG0000327	HF920637.1_00002 HF920637.1 - hypothetical protein translation	AF303741.1_00166 hypothetical protein
OG0000328	HF920637.1_00185 HF920637.1 - hypothetical protein translation	AF303741.1_00167 hypothetical protein
OG0000329	HF920637.1_00134 HF920637.1 - hypothetical protein translation	AF303741.1_00172 hypothetical protein
OG0000332	HF920637.1_00173 HF920637.1 - hypothetical protein translation	AF303741.1_00187 hypothetical protein
OG0000333	HF920637.1_00030 HF920637.1 - hypothetical protein translation	AF303741.1_00196 hypothetical protein
OG0000334	HF920637.1_00007 HF920637.1 - hypothetical protein translation	AF303741.1_00198 hypothetical protein
OG0000335	HF920637.1_00076 HF920637.1 - hypothetical protein translation	AF303741.1_00199 hypothetical protein
