Orthogroup	HF920633	HF920637
OG0000187	HF920633.1_00131 hypothetical protein	HF920637.1_00019 HF920637.1 - hypothetical protein translation
OG0000188	HF920633.1_00120 hypothetical protein	HF920637.1_00193 HF920637.1 - hypothetical protein translation
OG0000189	HF920633.1_00146 hypothetical protein	HF920637.1_00043 HF920637.1 - hypothetical protein translation
OG0000190	HF920633.1_00056 hypothetical protein	HF920637.1_00160 HF920637.1 - hypothetical protein translation
OG0000191	HF920633.1_00123 hypothetical protein	HF920637.1_00192 HF920637.1 - hypothetical protein translation
OG0000192	HF920633.1_00050 hypothetical protein	HF920637.1_00070 HF920637.1 - hypothetical protein translation
OG0000193	HF920633.1_00098 hypothetical protein	HF920637.1_00194 HF920637.1 - hypothetical protein translation
OG0000195	HF920633.1_00035 hypothetical protein	HF920637.1_00035 HF920637.1 - hypothetical protein translation
OG0000196	HF920633.1_00029 hypothetical protein	HF920637.1_00009 HF920637.1 - hypothetical protein translation
OG0000197	HF920633.1_00121 hypothetical protein	HF920637.1_00149 HF920637.1 - hypothetical protein translation
OG0000198	HF920633.1_00125 hypothetical protein	HF920637.1_00005 HF920637.1 - hypothetical protein translation
OG0000202	HF920633.1_00139 hypothetical protein	HF920637.1_00024 HF920637.1 - hypothetical protein translation
OG0000206	HF920633.1_00101 hypothetical protein	HF920637.1_00215 HF920637.1 - hypothetical protein translation
OG0000208	HF920633.1_00008 hypothetical protein	HF920637.1_00211 HF920637.1 - hypothetical protein translation
OG0000210	HF920633.1_00063 hypothetical protein	HF920637.1_00188 HF920637.1 - hypothetical protein translation
OG0000211	HF920633.1_00160 hypothetical protein	HF920637.1_00187 HF920637.1 - hypothetical protein translation
OG0000212	HF920633.1_00061 hypothetical protein	HF920637.1_00074 HF920637.1 - hypothetical protein translation
OG0000214	HF920633.1_00023 hypothetical protein	HF920637.1_00204 HF920637.1 - hypothetical protein translation
OG0000215	HF920633.1_00102 hypothetical protein	HF920637.1_00124 HF920637.1 - hypothetical protein translation
OG0000216	HF920633.1_00074 hypothetical protein	HF920637.1_00144 HF920637.1 - hypothetical protein translation
OG0000217	HF920633.1_00087 hypothetical protein	HF920637.1_00167 HF920637.1 - hypothetical protein translation
OG0000218	HF920633.1_00041 hypothetical protein	HF920637.1_00040 HF920637.1 - hypothetical protein translation
OG0000219	HF920633.1_00013 hypothetical protein	HF920637.1_00195 HF920637.1 - hypothetical protein translation
OG0000220	HF920633.1_00113 hypothetical protein	HF920637.1_00012 HF920637.1 - hypothetical protein translation
OG0000221	HF920633.1_00037 hypothetical protein	HF920637.1_00022 HF920637.1 - hypothetical protein translation
OG0000222	HF920633.1_00155 hypothetical protein	HF920637.1_00021 HF920637.1 - hypothetical protein translation
OG0000378	HF920633.1_00112 hypothetical protein	HF920637.1_00170 HF920637.1 - hypothetical protein translation
OG0000381	HF920633.1_00137 hypothetical protein	HF920637.1_00027 HF920637.1 - hypothetical protein translation
