Orthogroup	AF371960.1	AY532606.1
OG0000047	AF371960.1_00060	AY532606.1_00059
OG0000048	AF371960.1_00061	AY532606.1_00061
OG0000049	AF371960.1_00080	AY532606.1_00080
OG0000050	AF371960.1_00083	AY532606.1_00084
OG0000051	AF371960.1_00084	AY532606.1_00085
OG0000052	AF371960.1_00095	AY532606.1_00097
OG0000053	AF371960.1_00097	AY532606.1_00100
OG0000054	AF371960.1_00100	AY532606.1_00103
OG0000055	AF371960.1_00111	AY532606.1_00115
OG0000056	AF371960.1_00115	AY532606.1_00122
OG0000057	AF371960.1_00117	AY532606.1_00124
OG0000059	AF371960.1_00010	AY532606.1_00009
OG0000060	AF371960.1_00018	AY532606.1_00017
OG0000061	AF371960.1_00093	AY532606.1_00094
OG0000062	AF371960.1_00027	AY532606.1_00026
OG0000063	AF371960.1_00073	AY532606.1_00075
OG0000064	AF371960.1_00017	AY532606.1_00016
OG0000065	AF371960.1_00039	AY532606.1_00038
OG0000066	AF371960.1_00043	AY532606.1_00043
OG0000067	AF371960.1_00047	AY532606.1_00046
OG0000068	AF371960.1_00068	AY532606.1_00069
OG0000069	AF371960.1_00099	AY532606.1_00102
OG0000070	AF371960.1_00101	AY532606.1_00104
OG0000071	AF371960.1_00114	AY532606.1_00121
OG0000072	AF371960.1_00009	AY532606.1_00008
OG0000073	AF371960.1_00012	AY532606.1_00011
OG0000074	AF371960.1_00016	AY532606.1_00015
OG0000075	AF371960.1_00035	AY532606.1_00034
OG0000076	AF371960.1_00038	AY532606.1_00037
OG0000077	AF371960.1_00041	AY532606.1_00040
OG0000078	AF371960.1_00042	AY532606.1_00042
OG0000079	AF371960.1_00046	AY532606.1_00045
OG0000080	AF371960.1_00051	AY532606.1_00051
OG0000081	AF371960.1_00052	AY532606.1_00052
OG0000082	AF371960.1_00053	AY532606.1_00053
OG0000083	AF371960.1_00063	AY532606.1_00063
OG0000084	AF371960.1_00066	AY532606.1_00067
OG0000085	AF371960.1_00069	AY532606.1_00070
OG0000086	AF371960.1_00070	AY532606.1_00071
OG0000087	AF371960.1_00075	AY532606.1_00076
OG0000088	AF371960.1_00076	AY532606.1_00077
OG0000089	AF371960.1_00086	AY532606.1_00086
OG0000090	AF371960.1_00087	AY532606.1_00087
OG0000091	AF371960.1_00098	AY532606.1_00101
OG0000092	AF371960.1_00102	AY532606.1_00105
OG0000093	AF371960.1_00105	AY532606.1_00109
OG0000094	AF371960.1_00108	AY532606.1_00112
OG0000095	AF371960.1_00109	AY532606.1_00113
OG0000097	AF371960.1_00003	AY532606.1_00002
OG0000098	AF371960.1_00004	AY532606.1_00003
OG0000099	AF371960.1_00040	AY532606.1_00039
OG0000101	AF371960.1_00071	AY532606.1_00073
OG0000102	AF371960.1_00081	AY532606.1_00081
OG0000103	AF371960.1_00103	AY532606.1_00106
OG0000104	AF371960.1_00106	AY532606.1_00110
OG0000105	AF371960.1_00116	AY532606.1_00123
OG0000106	AF371960.1_00029	AY532606.1_00028
OG0000107	AF371960.1_00104	AY532606.1_00107
OG0000109	AF371960.1_00072	AY532606.1_00074
OG0000114	AF371960.1_00011	AY532606.1_00010
OG0000115	AF371960.1_00054	AY532606.1_00054
OG0000116	AF371960.1_00067	AY532606.1_00068
OG0000117	AF371960.1_00094	AY532606.1_00095
OG0000123	AF371960.1_00026	AY532606.1_00024
