Orthogroup	Chlor_AMIV_KF938901.1	Chlor_IIV22_HF920633.1
OG0000154	Chlor_AMIV_KF938901.1_00106	Chlor_IIV22_HF920633.1_00036
OG0000155	Chlor_AMIV_KF938901.1_00112	Chlor_IIV22_HF920633.1_00088
OG0000156	Chlor_AMIV_KF938901.1_00118	Chlor_IIV22_HF920633.1_00106
OG0000164	Chlor_AMIV_KF938901.1_00105	Chlor_IIV22_HF920633.1_00031
OG0000164	Chlor_AMIV_KF938901.1_00006	Chlor_IIV22_HF920633.1_00161
OG0000165	Chlor_AMIV_KF938901.1_00009	Chlor_IIV22_HF920633.1_00034
OG0000166	Chlor_AMIV_KF938901.1_00017	Chlor_IIV22_HF920633.1_00171
OG0000167	Chlor_AMIV_KF938901.1_00075	Chlor_IIV22_HF920633.1_00039
OG0000168	Chlor_AMIV_KF938901.1_00101	Chlor_IIV22_HF920633.1_00144
OG0000169	Chlor_AMIV_KF938901.1_00102	Chlor_IIV22_HF920633.1_00134
OG0000170	Chlor_AMIV_KF938901.1_00103	Chlor_IIV22_HF920633.1_00082
OG0000171	Chlor_AMIV_KF938901.1_00117	Chlor_IIV22_HF920633.1_00105
OG0000172	Chlor_AMIV_KF938901.1_00121	Chlor_IIV22_HF920633.1_00177
OG0000173	Chlor_AMIV_KF938901.1_00128	Chlor_IIV22_HF920633.1_00169
OG0000174	Chlor_AMIV_KF938901.1_00150	Chlor_IIV22_HF920633.1_00046
OG0000184	Chlor_AMIV_KF938901.1_00008	Chlor_IIV22_HF920633.1_00029
OG0000185	Chlor_AMIV_KF938901.1_00010	Chlor_IIV22_HF920633.1_00035
OG0000186	Chlor_AMIV_KF938901.1_00014	Chlor_IIV22_HF920633.1_00165
OG0000187	Chlor_AMIV_KF938901.1_00063	Chlor_IIV22_HF920633.1_00131
OG0000188	Chlor_AMIV_KF938901.1_00070	Chlor_IIV22_HF920633.1_00056
OG0000189	Chlor_AMIV_KF938901.1_00073	Chlor_IIV22_HF920633.1_00032
OG0000190	Chlor_AMIV_KF938901.1_00077	Chlor_IIV22_HF920633.1_00050
OG0000191	Chlor_AMIV_KF938901.1_00079	Chlor_IIV22_HF920633.1_00098
OG0000192	Chlor_AMIV_KF938901.1_00099	Chlor_IIV22_HF920633.1_00020, Chlor_IIV22_HF920633.1_00021
OG0000193	Chlor_AMIV_KF938901.1_00100	Chlor_IIV22_HF920633.1_00103
OG0000194	Chlor_AMIV_KF938901.1_00113	Chlor_IIV22_HF920633.1_00121
OG0000195	Chlor_AMIV_KF938901.1_00116	Chlor_IIV22_HF920633.1_00128
OG0000196	Chlor_AMIV_KF938901.1_00133	Chlor_IIV22_HF920633.1_00110
OG0000197	Chlor_AMIV_KF938901.1_00134	Chlor_IIV22_HF920633.1_00120
OG0000198	Chlor_AMIV_KF938901.1_00137	Chlor_IIV22_HF920633.1_00139
OG0000199	Chlor_AMIV_KF938901.1_00139	Chlor_IIV22_HF920633.1_00146
OG0000200	Chlor_AMIV_KF938901.1_00141	Chlor_IIV22_HF920633.1_00149
OG0000201	Chlor_AMIV_KF938901.1_00146	Chlor_IIV22_HF920633.1_00123
OG0000202	Chlor_AMIV_KF938901.1_00148	Chlor_IIV22_HF920633.1_00125
OG0000203	Chlor_AMIV_KF938901.1_00152	Chlor_IIV22_HF920633.1_00022
OG0000214	Chlor_AMIV_KF938901.1_00029	Chlor_IIV22_HF920633.1_00018
OG0000215	Chlor_AMIV_KF938901.1_00035	Chlor_IIV22_HF920633.1_00013
OG0000216	Chlor_AMIV_KF938901.1_00045	Chlor_IIV22_HF920633.1_00074
OG0000217	Chlor_AMIV_KF938901.1_00057	Chlor_IIV22_HF920633.1_00063
OG0000218	Chlor_AMIV_KF938901.1_00062	Chlor_IIV22_HF920633.1_00113
OG0000219	Chlor_AMIV_KF938901.1_00082	Chlor_IIV22_HF920633.1_00160
OG0000220	Chlor_AMIV_KF938901.1_00090	Chlor_IIV22_HF920633.1_00087
OG0000221	Chlor_AMIV_KF938901.1_00098	Chlor_IIV22_HF920633.1_00023
OG0000222	Chlor_AMIV_KF938901.1_00107	Chlor_IIV22_HF920633.1_00037
OG0000223	Chlor_AMIV_KF938901.1_00109	Chlor_IIV22_HF920633.1_00061
OG0000224	Chlor_AMIV_KF938901.1_00130	Chlor_IIV22_HF920633.1_00008
OG0000225	Chlor_AMIV_KF938901.1_00136	Chlor_IIV22_HF920633.1_00102
OG0000226	Chlor_AMIV_KF938901.1_00154	Chlor_IIV22_HF920633.1_00155
OG0000227	Chlor_AMIV_KF938901.1_00155	Chlor_IIV22_HF920633.1_00041
OG0000281	Chlor_AMIV_KF938901.1_00013	Chlor_IIV22_HF920633.1_00164
OG0000284	Chlor_AMIV_KF938901.1_00018	Chlor_IIV22_HF920633.1_00070
OG0000285	Chlor_AMIV_KF938901.1_00032, Chlor_AMIV_KF938901.1_00034	Chlor_IIV22_HF920633.1_00012
OG0000286	Chlor_AMIV_KF938901.1_00038	Chlor_IIV22_HF920633.1_00016
OG0000287	Chlor_AMIV_KF938901.1_00040	Chlor_IIV22_HF920633.1_00167
OG0000288	Chlor_AMIV_KF938901.1_00050	Chlor_IIV22_HF920633.1_00060
OG0000289	Chlor_AMIV_KF938901.1_00083	Chlor_IIV22_HF920633.1_00159
OG0000310	Chlor_AMIV_KF938901.1_00002	Chlor_IIV22_HF920633.1_00095
OG0000311	Chlor_AMIV_KF938901.1_00003	Chlor_IIV22_HF920633.1_00151
OG0000312	Chlor_AMIV_KF938901.1_00004	Chlor_IIV22_HF920633.1_00049
OG0000313	Chlor_AMIV_KF938901.1_00011	Chlor_IIV22_HF920633.1_00052
OG0000314	Chlor_AMIV_KF938901.1_00026	Chlor_IIV22_HF920633.1_00005
OG0000315	Chlor_AMIV_KF938901.1_00028	Chlor_IIV22_HF920633.1_00006
OG0000316	Chlor_AMIV_KF938901.1_00037	Chlor_IIV22_HF920633.1_00015
OG0000317	Chlor_AMIV_KF938901.1_00041	Chlor_IIV22_HF920633.1_00045
OG0000318	Chlor_AMIV_KF938901.1_00042	Chlor_IIV22_HF920633.1_00078
OG0000319	Chlor_AMIV_KF938901.1_00051	Chlor_IIV22_HF920633.1_00090
OG0000320	Chlor_AMIV_KF938901.1_00059	Chlor_IIV22_HF920633.1_00066
OG0000321	Chlor_AMIV_KF938901.1_00061	Chlor_IIV22_HF920633.1_00141
OG0000322	Chlor_AMIV_KF938901.1_00068	Chlor_IIV22_HF920633.1_00048
OG0000323	Chlor_AMIV_KF938901.1_00071	Chlor_IIV22_HF920633.1_00142
OG0000324	Chlor_AMIV_KF938901.1_00078	Chlor_IIV22_HF920633.1_00051
OG0000325	Chlor_AMIV_KF938901.1_00087	Chlor_IIV22_HF920633.1_00136
OG0000326	Chlor_AMIV_KF938901.1_00088	Chlor_IIV22_HF920633.1_00162
OG0000327	Chlor_AMIV_KF938901.1_00096	Chlor_IIV22_HF920633.1_00089
OG0000328	Chlor_AMIV_KF938901.1_00110	Chlor_IIV22_HF920633.1_00042
OG0000329	Chlor_AMIV_KF938901.1_00129	Chlor_IIV22_HF920633.1_00157
OG0000330	Chlor_AMIV_KF938901.1_00132	Chlor_IIV22_HF920633.1_00111
OG0000331	Chlor_AMIV_KF938901.1_00144	Chlor_IIV22_HF920633.1_00115
OG0000332	Chlor_AMIV_KF938901.1_00149	Chlor_IIV22_HF920633.1_00033
