Orthogroup	Chlor_AMIV_KF938901.1	Irido_IIV6_AF303741.1
OG0000155	Chlor_AMIV_KF938901.1_00112	Irido_IIV6_AF303741.1_00145, Irido_IIV6_AF303741.1_00090
OG0000156	Chlor_AMIV_KF938901.1_00118	Irido_IIV6_AF303741.1_00192
OG0000164	Chlor_AMIV_KF938901.1_00105, Chlor_AMIV_KF938901.1_00006	Irido_IIV6_AF303741.1_00181
OG0000167	Chlor_AMIV_KF938901.1_00075	Irido_IIV6_AF303741.1_00068, Irido_IIV6_AF303741.1_00067
OG0000168	Chlor_AMIV_KF938901.1_00101	Irido_IIV6_AF303741.1_00105
OG0000169	Chlor_AMIV_KF938901.1_00102	Irido_IIV6_AF303741.1_00056
OG0000170	Chlor_AMIV_KF938901.1_00103	Irido_IIV6_AF303741.1_00087
OG0000171	Chlor_AMIV_KF938901.1_00117	Irido_IIV6_AF303741.1_00076
OG0000172	Chlor_AMIV_KF938901.1_00121	Irido_IIV6_AF303741.1_00096
OG0000173	Chlor_AMIV_KF938901.1_00128	Irido_IIV6_AF303741.1_00091
OG0000174	Chlor_AMIV_KF938901.1_00150	Irido_IIV6_AF303741.1_00179
OG0000184	Chlor_AMIV_KF938901.1_00008	Irido_IIV6_AF303741.1_00184
OG0000185	Chlor_AMIV_KF938901.1_00010	Irido_IIV6_AF303741.1_00177
OG0000186	Chlor_AMIV_KF938901.1_00014	Irido_IIV6_AF303741.1_00017
OG0000187	Chlor_AMIV_KF938901.1_00063	Irido_IIV6_AF303741.1_00122
OG0000188	Chlor_AMIV_KF938901.1_00070	Irido_IIV6_AF303741.1_00148
OG0000189	Chlor_AMIV_KF938901.1_00073	Irido_IIV6_AF303741.1_00104
OG0000190	Chlor_AMIV_KF938901.1_00077	Irido_IIV6_AF303741.1_00151
OG0000191	Chlor_AMIV_KF938901.1_00079	Irido_IIV6_AF303741.1_00161
OG0000192	Chlor_AMIV_KF938901.1_00099	Irido_IIV6_AF303741.1_00086
OG0000193	Chlor_AMIV_KF938901.1_00100	Irido_IIV6_AF303741.1_00085
OG0000194	Chlor_AMIV_KF938901.1_00113	Irido_IIV6_AF303741.1_00193
OG0000195	Chlor_AMIV_KF938901.1_00116	Irido_IIV6_AF303741.1_00003
OG0000196	Chlor_AMIV_KF938901.1_00133	Irido_IIV6_AF303741.1_00004
OG0000197	Chlor_AMIV_KF938901.1_00134	Irido_IIV6_AF303741.1_00136
OG0000199	Chlor_AMIV_KF938901.1_00139	Irido_IIV6_AF303741.1_00146
OG0000200	Chlor_AMIV_KF938901.1_00141	Irido_IIV6_AF303741.1_00015
OG0000201	Chlor_AMIV_KF938901.1_00146	Irido_IIV6_AF303741.1_00150
OG0000202	Chlor_AMIV_KF938901.1_00148	Irido_IIV6_AF303741.1_00197
OG0000203	Chlor_AMIV_KF938901.1_00152	Irido_IIV6_AF303741.1_00112
OG0000214	Chlor_AMIV_KF938901.1_00029	Irido_IIV6_AF303741.1_00074
OG0000215	Chlor_AMIV_KF938901.1_00035	Irido_IIV6_AF303741.1_00160
OG0000216	Chlor_AMIV_KF938901.1_00045	Irido_IIV6_AF303741.1_00124
OG0000217	Chlor_AMIV_KF938901.1_00057	Irido_IIV6_AF303741.1_00042
OG0000218	Chlor_AMIV_KF938901.1_00062	Irido_IIV6_AF303741.1_00175
OG0000219	Chlor_AMIV_KF938901.1_00082	Irido_IIV6_AF303741.1_00044
OG0000220	Chlor_AMIV_KF938901.1_00090	Irido_IIV6_AF303741.1_00135
OG0000221	Chlor_AMIV_KF938901.1_00098	Irido_IIV6_AF303741.1_00107
OG0000222	Chlor_AMIV_KF938901.1_00107	Irido_IIV6_AF303741.1_00203
OG0000223	Chlor_AMIV_KF938901.1_00109	Irido_IIV6_AF303741.1_00064
OG0000224	Chlor_AMIV_KF938901.1_00130	Irido_IIV6_AF303741.1_00018
OG0000225	Chlor_AMIV_KF938901.1_00136	Irido_IIV6_AF303741.1_00120
OG0000226	Chlor_AMIV_KF938901.1_00154	Irido_IIV6_AF303741.1_00204
OG0000227	Chlor_AMIV_KF938901.1_00155	Irido_IIV6_AF303741.1_00159
OG0000282	Chlor_AMIV_KF938901.1_00015	Irido_IIV6_AF303741.1_00053
OG0000283	Chlor_AMIV_KF938901.1_00016	Irido_IIV6_AF303741.1_00093
OG0000284	Chlor_AMIV_KF938901.1_00018	Irido_IIV6_AF303741.1_00115
OG0000286	Chlor_AMIV_KF938901.1_00038	Irido_IIV6_AF303741.1_00028
OG0000287	Chlor_AMIV_KF938901.1_00040	Irido_IIV6_AF303741.1_00116
OG0000290	Chlor_AMIV_KF938901.1_00122	Irido_IIV6_AF303741.1_00201
