Orthogroup	OM037668.1	MN562489.1
OG0000228	OM037668.1_00109	MN562489.1_00027
OG0000229	OM037668.1_00108	MN562489.1_00028
OG0000230	OM037668.1_00107	MN562489.1_00029
OG0000231	OM037668.1_00104	MN562489.1_00032
OG0000232	OM037668.1_00103	MN562489.1_00033
OG0000233	OM037668.1_00102	MN562489.1_00034
OG0000234	OM037668.1_00094	MN562489.1_00042
OG0000235	OM037668.1_00093	MN562489.1_00043
OG0000236	OM037668.1_00092	MN562489.1_00044
OG0000237	OM037668.1_00072	MN562489.1_00065
OG0000238	OM037668.1_00070	MN562489.1_00067
OG0000239	OM037668.1_00069	MN562489.1_00068
OG0000240	OM037668.1_00065	MN562489.1_00072
OG0000241	OM037668.1_00061	MN562489.1_00076
OG0000242	OM037668.1_00060	MN562489.1_00077
OG0000243	OM037668.1_00059	MN562489.1_00078
OG0000244	OM037668.1_00058	MN562489.1_00079
OG0000245	OM037668.1_00055	MN562489.1_00082
OG0000246	OM037668.1_00052	MN562489.1_00085
OG0000247	OM037668.1_00049	MN562489.1_00088
OG0000248	OM037668.1_00044	MN562489.1_00093
OG0000249	OM037668.1_00039	MN562489.1_00098
OG0000250	OM037668.1_00037	MN562489.1_00100
OG0000251	OM037668.1_00034	MN562489.1_00103
OG0000252	OM037668.1_00029	MN562489.1_00108
OG0000253	OM037668.1_00027	MN562489.1_00110
OG0000254	OM037668.1_00026	MN562489.1_00111
OG0000255	OM037668.1_00025	MN562489.1_00112
OG0000256	OM037668.1_00016	MN562489.1_00121
OG0000257	OM037668.1_00014	MN562489.1_00123
OG0000258	OM037668.1_00012	MN562489.1_00125
OG0000259	OM037668.1_00010	MN562489.1_00127
OG0000260	OM037668.1_00008	MN562489.1_00129
OG0000261	OM037668.1_00007	MN562489.1_00130
OG0000262	OM037668.1_00002	MN562489.1_00135
OG0000290	OM037668.1_00120	MN562489.1_00015
OG0000291	OM037668.1_00119	MN562489.1_00016
OG0000292	OM037668.1_00118	MN562489.1_00017
OG0000293	OM037668.1_00117	MN562489.1_00018
OG0000294	OM037668.1_00116	MN562489.1_00019
OG0000295	OM037668.1_00115	MN562489.1_00020
