Orthogroup	AB104413	KT781098
OG0000045	MK689686.1_00072 hypothetical protein	AF371960.1_00075 hypothetical protein
OG0000046	MK689686.1_00073 hypothetical protein	AF371960.1_00076 hypothetical protein
OG0000047	MK689686.1_00075 hypothetical protein	AF371960.1_00079 hypothetical protein
OG0000048	MK689686.1_00076 hypothetical protein	AF371960.1_00080 hypothetical protein
OG0000049	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein
OG0000050	MK689686.1_00079 hypothetical protein	AF371960.1_00082 hypothetical protein
OG0000051	MK689686.1_00080 hypothetical protein	AF371960.1_00083 hypothetical protein
OG0000052	MK689686.1_00081 hypothetical protein	AF371960.1_00084 hypothetical protein
OG0000053	MK689686.1_00082 hypothetical protein	AF371960.1_00086 hypothetical protein
OG0000054	MK689686.1_00083 hypothetical protein	AF371960.1_00087 hypothetical protein
OG0000055	MK689686.1_00084 hypothetical protein	AF371960.1_00088 hypothetical protein
OG0000056	MK689686.1_00085 hypothetical protein	AF371960.1_00089 hypothetical protein
OG0000057	MK689686.1_00086 hypothetical protein	AF371960.1_00090 hypothetical protein
OG0000058	MK689686.1_00087 hypothetical protein	AF371960.1_00091 hypothetical protein
OG0000059	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein
OG0000060	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein
OG0000061	MK689686.1_00093 hypothetical protein	AF371960.1_00096 hypothetical protein
OG0000062	MK689686.1_00094 hypothetical protein	AF371960.1_00097 hypothetical protein
OG0000063	MK689686.1_00095 hypothetical protein	AF371960.1_00098 hypothetical protein
OG0000064	MK689686.1_00096 hypothetical protein	AF371960.1_00099 hypothetical protein
OG0000065	MK689686.1_00097 hypothetical protein	AF371960.1_00100 hypothetical protein
OG0000066	MK689686.1_00098 hypothetical protein	AF371960.1_00101 hypothetical protein
OG0000067	MK689686.1_00099 hypothetical protein	AF371960.1_00102 hypothetical protein
OG0000068	MK689686.1_00100 hypothetical protein	AF371960.1_00103 hypothetical protein
OG0000069	MK689686.1_00101 hypothetical protein	AF371960.1_00104 hypothetical protein
OG0000070	MK689686.1_00105 hypothetical protein	AF371960.1_00107 hypothetical protein
OG0000071	MK689686.1_00106 hypothetical protein	AF371960.1_00108 hypothetical protein
OG0000072	MK689686.1_00108 hypothetical protein	AF371960.1_00110 hypothetical protein
OG0000073	MK689686.1_00109 hypothetical protein	AF371960.1_00111 hypothetical protein
OG0000074	MK689686.1_00110 hypothetical protein	AF371960.1_00112 hypothetical protein
OG0000075	MK689686.1_00112 hypothetical protein	AF371960.1_00113 hypothetical protein
OG0000076	MK689686.1_00114 hypothetical protein	AF371960.1_00115 hypothetical protein
OG0000077	MK689686.1_00115 hypothetical protein	AF371960.1_00116 hypothetical protein
OG0000078	MK689686.1_00116 hypothetical protein	AF371960.1_00117 hypothetical protein
OG0000079	MK689686.1_00118 hypothetical protein	AF371960.1_00119 hypothetical protein
OG0000080	MK689686.1_00120 hypothetical protein	AF371960.1_00121 hypothetical protein
OG0000081	MK689686.1_00121 hypothetical protein	AF371960.1_00122 hypothetical protein
OG0000082	GQ273492.1_00066 hypothetical protein	ORF066L_refgen ORF066L
OG0000083	MK689686.1_00103 hypothetical protein	ORF106L_refgen ORF106L
OG0000084	transmembrane amino acid transporter protein_refgen transmembrane amino acid transporter protein	AF371960.1_00001 hypothetical protein
OG0000085	MK689686.1_00004 hypothetical protein	AF371960.1_00004 hypothetical protein
OG0000086	MK689686.1_00006 hypothetical protein	AF371960.1_00006 hypothetical protein
OG0000087	MK689686.1_00023 hypothetical protein	AF371960.1_00023 hypothetical protein
OG0000088	ORF025_refgen ORF025	AF371960.1_00029 hypothetical protein
OG0000089	MK689686.1_00031 hypothetical protein	AF371960.1_00033 hypothetical protein
OG0000090	MK689686.1_00033 hypothetical protein	AF371960.1_00035 hypothetical protein
OG0000091	MK689686.1_00034 DNA-directed RNA polymerase subunit 2	AF371960.1_00036 DNA-directed RNA polymerase subunit 2
OG0000092	MK689686.1_00036 hypothetical protein	AF371960.1_00038 hypothetical protein
OG0000093	MK689686.1_00038 hypothetical protein	MK689686.1_00038 hypothetical protein
OG0000094	ORF038_refgen ORF039	AF371960.1_00043 hypothetical protein
OG0000095	MK689686.1_00068 hypothetical protein	MK689686.1_00068 hypothetical protein
OG0000096	MK689686.1_00071 hypothetical protein	AF371960.1_00073 hypothetical protein
OG0000097	MK689686.1_00074 hypothetical protein	AF371960.1_00078 hypothetical protein
OG0000098	MK689686.1_00089 hypothetical protein	AF371960.1_00093 hypothetical protein
OG0000099	putative RNA binding protein_refgen putative RNA binding protein	AF371960.1_00094 hypothetical protein
OG0000100	MK689686.1_00104 hypothetical protein	AF371960.1_00106 hypothetical protein
OG0000101	tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor	AF371960.1_00109 hypothetical protein
OG0000102	MK689686.1_00117 hypothetical protein	AF371960.1_00118 hypothetical protein
OG0000103	MK689686.1_00122 hypothetical protein	AF371960.1_00123 hypothetical protein
OG0000104	MK689686.1_00010 hypothetical protein	AF371960.1_00010 hypothetical protein
OG0000105	MK689686.1_00069 hypothetical protein	MK689686.1_00069 hypothetical protein
OG0000106	ORF018_refgen ORF018	ORF018L_refgen ORF018L
OG0000107	MK689686.1_00037 hypothetical protein	AF371960.1_00039 hypothetical protein
OG0000108	MK689686.1_00070 hypothetical protein	MK689686.1_00070 hypothetical protein
OG0000109	MK689686.1_00119 hypothetical protein	AF371960.1_00120 hypothetical protein
OG0000110	ORF070_refgen ORF070	AF371960.1_00077 hypothetical protein
OG0000111	MK689686.1_00113 hypothetical protein	AF371960.1_00114 hypothetical protein
OG0000112	MK689686.1_00020 hypothetical protein	MK689686.1_00020 hypothetical protein
OG0000113	DNA-binding protein_refgen DNA-binding protein	AF371960.1_00062 hypothetical protein
OG0000114	MK689686.1_00058 hypothetical protein	AF371960.1_00060 hypothetical protein
OG0000115	GQ273492.1_00016 hypothetical protein	AF371960.1_00016 hypothetical protein
OG0000117	laminin-type epidermal growth factor-like protein_refgen laminin-type epidermal growth factor-like protein	ORF023R_refgen ORF023R
