Orthogroup	MK689685.1	AY779031.1
OG0000084	MK689685.1_00063	AY779031.1_00070
OG0000085	MK689685.1_00066	AY779031.1_00073
OG0000086	MK689685.1_00067	AY779031.1_00076
OG0000087	MK689685.1_00072	AY779031.1_00081
OG0000088	MK689685.1_00073	AY779031.1_00082
OG0000089	MK689685.1_00083	AY779031.1_00092
OG0000090	MK689685.1_00084	AY779031.1_00093
OG0000091	MK689685.1_00096	AY779031.1_00105
OG0000092	MK689685.1_00100	AY779031.1_00112
OG0000093	MK689685.1_00103	AY779031.1_00114
OG0000094	MK689685.1_00106	AY779031.1_00117
OG0000095	MK689685.1_00107	AY779031.1_00118
OG0000097	MK689685.1_00003	AY779031.1_00003
OG0000098	MK689685.1_00004	AY779031.1_00004
OG0000099	MK689685.1_00038	AY779031.1_00043
OG0000100	MK689685.1_00042	AY779031.1_00048
OG0000101	MK689685.1_00068	AY779031.1_00077
OG0000102	MK689685.1_00078	AY779031.1_00087
OG0000104	MK689685.1_00104	AY779031.1_00115
OG0000105	MK689685.1_00114	AY779031.1_00126
OG0000106	MK689685.1_00027	AY779031.1_00032
OG0000109	MK689685.1_00069	AY779031.1_00079
OG0000111	MK689685.1_00092	AY779031.1_00101
OG0000114	MK689685.1_00011	AY779031.1_00011
OG0000116	MK689685.1_00064	AY779031.1_00071
OG0000117	MK689685.1_00091	AY779031.1_00100
OG0000139	MK689685.1_00025	AY779031.1_00029
OG0000325	MK689685.1_00026	AY779031.1_00031
