Orthogroup	AF303741	HF920637
OG0000140	AF303741.1_00072 hypothetical protein	HF920637.1_00060 HF920637.1 - putative helicase D10 translation
OG0000141	AF303741.1_00157 hypothetical protein	HF920637.1_00014 HF920637.1 - hypothetical protein translation
OG0000142	AF303741.1_00185 hypothetical protein	HF920637.1_00169 HF920637.1 - hypothetical protein translation
OG0000146	AF303741.1_00070 hypothetical protein	HF920637.1_00151 HF920637.1 - hypothetical protein translation
OG0000147	AF303741.1_00145 hypothetical protein	HF920637.1_00011 HF920637.1 - hypothetical protein translation
OG0000147	AF303741.1_00090 hypothetical protein	HF920637.1_00180 HF920637.1 - hypothetical protein translation
OG0000148	AF303741.1_00183 hypothetical protein	HF920637.1_00168 HF920637.1 - hypothetical protein translation
OG0000149	AF303741.1_00192 hypothetical protein	HF920637.1_00150 HF920637.1 - hypothetical protein translation
OG0000158	AF303741.1_00147 hypothetical protein, AF303741.1_00049 hypothetical protein, AF303741.1_00078 hypothetical protein, AF303741.1_00083 hypothetical protein	HF920637.1_00116 HF920637.1 - hypothetical protein translation
OG0000159	AF303741.1_00056 hypothetical protein	HF920637.1_00056 HF920637.1 - hypothetical protein translation
OG0000160	AF303741.1_00068 hypothetical protein, AF303741.1_00067 hypothetical protein	HF920637.1_00140 HF920637.1 - hypothetical protein translation
OG0000161	AF303741.1_00076 hypothetical protein	HF920637.1_00095 HF920637.1 - hypothetical protein translation
OG0000162	AF303741.1_00087 hypothetical protein	HF920637.1_00049 HF920637.1 - hypothetical protein translation
OG0000163	AF303741.1_00091 DNA ligase	HF920637.1_00120 HF920637.1 - DNA ligase translation
OG0000164	AF303741.1_00096 hypothetical protein	HF920637.1_00045 HF920637.1 - hypothetical protein translation
OG0000166	AF303741.1_00169 hypothetical protein	HF920637.1_00148 HF920637.1 - hypothetical protein translation, HF920637.1_00077 HF920637.1 - hypothetical protein translation
OG0000167	AF303741.1_00179 hypothetical protein	HF920637.1_00067 HF920637.1 - hypothetical protein translation
OG0000168	AF303741.1_00181 hypothetical protein	HF920637.1_00069 HF920637.1 - hypothetical protein translation
OG0000169	AF303741.1_00182 hypothetical protein	HF920637.1_00071 HF920637.1 - hypothetical protein translation
OG0000174	AF303741.1_00142 hypothetical protein, AF303741.1_00141 hypothetical protein	HF920637.1_00122 HF920637.1 - hypothetical protein translation
OG0000174	AF303741.1_00001 hypothetical protein	HF920637.1_00062 HF920637.1 - hypothetical protein translation
OG0000175	AF303741.1_00003 hypothetical protein	HF920637.1_00020 HF920637.1 - hypothetical protein translation
OG0000176	AF303741.1_00004 hypothetical protein	HF920637.1_00139 HF920637.1 - hypothetical protein translation
OG0000177	AF303741.1_00009 hypothetical protein	HF920637.1_00013 HF920637.1 - hypothetical protein translation
OG0000178	AF303741.1_00015 DNA topoisomerase 2	HF920637.1_00100 HF920637.1 - DNA topoisomerase 2 translation
OG0000179	AF303741.1_00017 hypothetical protein	HF920637.1_00212 HF920637.1 - hypothetical protein translation
OG0000180	AF303741.1_00085 hypothetical protein	HF920637.1_00047 HF920637.1 - hypothetical protein translation
OG0000181	AF303741.1_00086 hypothetical protein	HF920637.1_00048 HF920637.1 - hypothetical protein translation
OG0000183	AF303741.1_00112 hypothetical protein	HF920637.1_00085 HF920637.1 - hypothetical protein translation
OG0000185	AF303741.1_00122 hypothetical protein	HF920637.1_00019 HF920637.1 - hypothetical protein translation
OG0000186	AF303741.1_00136 hypothetical protein	HF920637.1_00193 HF920637.1 - hypothetical protein translation
OG0000187	AF303741.1_00146 hypothetical protein	HF920637.1_00043 HF920637.1 - hypothetical protein translation
OG0000188	AF303741.1_00148 hypothetical protein	HF920637.1_00160 HF920637.1 - hypothetical protein translation
OG0000189	AF303741.1_00150 hypothetical protein	HF920637.1_00192 HF920637.1 - hypothetical protein translation
OG0000190	AF303741.1_00151 hypothetical protein	HF920637.1_00070 HF920637.1 - hypothetical protein translation
OG0000191	AF303741.1_00161 hypothetical protein	HF920637.1_00194 HF920637.1 - hypothetical protein translation
OG0000192	AF303741.1_00174 hypothetical protein	HF920637.1_00136 HF920637.1 - hypothetical protein translation, HF920637.1_00133 HF920637.1 - hypothetical protein translation, HF920637.1_00142 HF920637.1 - hypothetical protein translation
OG0000193	AF303741.1_00177 hypothetical protein	HF920637.1_00035 HF920637.1 - hypothetical protein translation
OG0000194	AF303741.1_00184 hypothetical protein	HF920637.1_00009 HF920637.1 - hypothetical protein translation
OG0000195	AF303741.1_00193 hypothetical protein	HF920637.1_00149 HF920637.1 - hypothetical protein translation
OG0000196	AF303741.1_00197 hypothetical protein	HF920637.1_00005 HF920637.1 - hypothetical protein translation
OG0000202	AF303741.1_00008 hypothetical protein	HF920637.1_00215 HF920637.1 - hypothetical protein translation
OG0000203	AF303741.1_00012 hypothetical protein	HF920637.1_00177 HF920637.1 - hypothetical protein translation, HF920637.1_00065 HF920637.1 - hypothetical protein translation, HF920637.1_00115 HF920637.1 - hypothetical protein translation
OG0000204	AF303741.1_00018 hypothetical protein	HF920637.1_00211 HF920637.1 - hypothetical protein translation
OG0000205	AF303741.1_00024 hypothetical protein	HF920637.1_00083 HF920637.1 - hypothetical protein translation, HF920637.1_00008 HF920637.1 - hypothetical protein translation, HF920637.1_00200 HF920637.1 - hypothetical protein translation
OG0000206	AF303741.1_00042 hypothetical protein	HF920637.1_00188 HF920637.1 - hypothetical protein translation
OG0000207	AF303741.1_00044 hypothetical protein	HF920637.1_00187 HF920637.1 - hypothetical protein translation
OG0000208	AF303741.1_00064 hypothetical protein	HF920637.1_00074 HF920637.1 - hypothetical protein translation
OG0000210	AF303741.1_00107 hypothetical protein	HF920637.1_00204 HF920637.1 - hypothetical protein translation
OG0000211	AF303741.1_00120 hypothetical protein	HF920637.1_00124 HF920637.1 - hypothetical protein translation
OG0000212	AF303741.1_00124 hypothetical protein	HF920637.1_00144 HF920637.1 - hypothetical protein translation
OG0000213	AF303741.1_00135 hypothetical protein	HF920637.1_00167 HF920637.1 - hypothetical protein translation
OG0000214	AF303741.1_00159 hypothetical protein	HF920637.1_00040 HF920637.1 - hypothetical protein translation
OG0000215	AF303741.1_00160 hypothetical protein	HF920637.1_00195 HF920637.1 - hypothetical protein translation
OG0000216	AF303741.1_00175 hypothetical protein	HF920637.1_00012 HF920637.1 - hypothetical protein translation
OG0000217	AF303741.1_00203 hypothetical protein	HF920637.1_00022 HF920637.1 - hypothetical protein translation
OG0000218	AF303741.1_00204 hypothetical protein	HF920637.1_00021 HF920637.1 - hypothetical protein translation
OG0000235	AF303741.1_00053 hypothetical protein	HF920637.1_00053 HF920637.1 - hypothetical protein translation
OG0000236	AF303741.1_00077 hypothetical protein	HF920637.1_00090 HF920637.1 - hypothetical protein translation
OG0000237	AF303741.1_00093 hypothetical protein	HF920637.1_00174 HF920637.1 - hypothetical protein translation
OG0000240	AF303741.1_00190 hypothetical protein	HF920637.1_00203 HF920637.1 - hypothetical protein translation
OG0000241	AF303741.1_00201 hypothetical protein	HF920637.1_00063 HF920637.1 - hypothetical protein translation
OG0000242	AF303741.1_00202 hypothetical protein	HF920637.1_00064 HF920637.1 - hypothetical protein translation
OG0000302	AF303741.1_00010 hypothetical protein	HF920637.1_00214 HF920637.1 - hypothetical protein translation
OG0000303	AF303741.1_00014 hypothetical protein	HF920637.1_00154 HF920637.1 - hypothetical protein translation
OG0000305	AF303741.1_00020 hypothetical protein	HF920637.1_00155 HF920637.1 - hypothetical protein translation
OG0000306	AF303741.1_00025 hypothetical protein	HF920637.1_00131 HF920637.1 - hypothetical protein translation
OG0000307	AF303741.1_00027 hypothetical protein	HF920637.1_00107 HF920637.1 - hypothetical protein translation
OG0000308	AF303741.1_00034 hypothetical protein	HF920637.1_00103 HF920637.1 - hypothetical protein translation
OG0000309	AF303741.1_00040 hypothetical protein	HF920637.1_00191 HF920637.1 - hypothetical protein translation
OG0000311	AF303741.1_00045 hypothetical protein	HF920637.1_00186 HF920637.1 - hypothetical protein translation
OG0000313	AF303741.1_00050 hypothetical protein	HF920637.1_00179 HF920637.1 - hypothetical protein translation
OG0000314	AF303741.1_00052 hypothetical protein	HF920637.1_00055 HF920637.1 - hypothetical protein translation
OG0000315	AF303741.1_00055 hypothetical protein	HF920637.1_00050 HF920637.1 - hypothetical protein translation
OG0000316	AF303741.1_00060 hypothetical protein	HF920637.1_00082 HF920637.1 - hypothetical protein translation
OG0000317	AF303741.1_00061 hypothetical protein	HF920637.1_00081 HF920637.1 - hypothetical protein translation
OG0000319	AF303741.1_00092 hypothetical protein	HF920637.1_00104 HF920637.1 - hypothetical protein translation
OG0000320	AF303741.1_00097 hypothetical protein	HF920637.1_00046 HF920637.1 - hypothetical protein translation
OG0000321	AF303741.1_00098 hypothetical protein	HF920637.1_00171 HF920637.1 - hypothetical protein translation
OG0000322	AF303741.1_00102 hypothetical protein	HF920637.1_00088 HF920637.1 - hypothetical protein translation
OG0000323	AF303741.1_00106 hypothetical protein	HF920637.1_00018 HF920637.1 - hypothetical protein translation
OG0000325	AF303741.1_00113 hypothetical protein	HF920637.1_00006 HF920637.1 - hypothetical protein translation
OG0000326	AF303741.1_00118 hypothetical protein	HF920637.1_00126 HF920637.1 - hypothetical protein translation
OG0000327	AF303741.1_00119 hypothetical protein	HF920637.1_00125 HF920637.1 - hypothetical protein translation
OG0000328	AF303741.1_00131 hypothetical protein	HF920637.1_00135 HF920637.1 - hypothetical protein translation
OG0000329	AF303741.1_00139 hypothetical protein	HF920637.1_00207 HF920637.1 - hypothetical protein translation
OG0000330	AF303741.1_00140 hypothetical protein	HF920637.1_00202 HF920637.1 - hypothetical protein translation
OG0000331	AF303741.1_00143 hypothetical protein	HF920637.1_00209 HF920637.1 - hypothetical protein translation
OG0000332	AF303741.1_00155 hypothetical protein	HF920637.1_00032 HF920637.1 - hypothetical protein translation
OG0000333	AF303741.1_00163 hypothetical protein	HF920637.1_00023 HF920637.1 - hypothetical protein translation
OG0000334	AF303741.1_00166 hypothetical protein	HF920637.1_00002 HF920637.1 - hypothetical protein translation
OG0000335	AF303741.1_00167 hypothetical protein	HF920637.1_00185 HF920637.1 - hypothetical protein translation
OG0000336	AF303741.1_00172 hypothetical protein	HF920637.1_00134 HF920637.1 - hypothetical protein translation
OG0000339	AF303741.1_00187 hypothetical protein	HF920637.1_00173 HF920637.1 - hypothetical protein translation
OG0000340	AF303741.1_00196 hypothetical protein	HF920637.1_00030 HF920637.1 - hypothetical protein translation
OG0000341	AF303741.1_00198 hypothetical protein	HF920637.1_00007 HF920637.1 - hypothetical protein translation
OG0000342	AF303741.1_00199 hypothetical protein	HF920637.1_00076 HF920637.1 - hypothetical protein translation
