Orthogroup	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK637631	MK689685	MK689686	MN432490	MN562489	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174	occupancy
OG0000027	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	MK689686.1_00063 hypothetical protein	AF371960.1_00065 hypothetical protein	MK689686.1_00063 hypothetical protein	MK689686.1_00063 hypothetical protein	MK689686.1_00063 hypothetical protein	GQ273492.1_00064 hypothetical protein	MK689686.1_00063 hypothetical protein	MK689686.1_00063 hypothetical protein	MK689686.1_00063 hypothetical protein	MG570131.1_00064 hypothetical protein	MG570132.1_00064 hypothetical protein	MK689686.1_00063 hypothetical protein	MK689686.1_00063 hypothetical protein	MK689686.1_00063 hypothetical protein	MK637631_00006 hypothetical protein	AF371960.1_00065 hypothetical protein	MK689686.1_00063 hypothetical protein	AF371960.1_00065 hypothetical protein	OM037668.1_00024 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	OM037668.1_00024 hypothetical protein	MK689686.1_00063 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	MK689686.1_00063 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	MK689686.1_00063 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	MK689686.1_00063 hypothetical protein	MK689686.1_00063 hypothetical protein	MK689686.1_00063 hypothetical protein	MK689686.1_00063 hypothetical protein	MK689686.1_00063 hypothetical protein	OM037668.1_00024 hypothetical protein	MK689686.1_00063 hypothetical protein	AF371960.1_00065 hypothetical protein	MK689686.1_00063 hypothetical protein	MK689686.1_00063 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	OQ475017.1_00063 OQ475017.1 - hypothetical protein translation	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	AF371960.1_00065 hypothetical protein	PQ335173_PQ335174_00075 PQ335173_PQ335174 - hypothetical protein translation	100
OG0000028	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	MK689686.1_00076 hypothetical protein	AF371960.1_00080 hypothetical protein	MK689686.1_00076 hypothetical protein	MK689686.1_00076 hypothetical protein	MK689686.1_00076 hypothetical protein	GQ273492.1_00075 hypothetical protein	MK689686.1_00076 hypothetical protein	AF371960.1_00080 hypothetical protein	MK689686.1_00076 hypothetical protein	MG570131.1_00075 hypothetical protein	MG570132.1_00075 hypothetical protein	MK689686.1_00076 hypothetical protein	MK689686.1_00076 hypothetical protein	MK689686.1_00076 hypothetical protein	MK637631_00095 hypothetical protein	AF371960.1_00080 hypothetical protein	MK689686.1_00076 hypothetical protein	AF371960.1_00080 hypothetical protein	OM037668.1_00020 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	OM037668.1_00020 hypothetical protein	MK689686.1_00076 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	MK689686.1_00076 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	MK689686.1_00076 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	MK689686.1_00076 hypothetical protein	MK689686.1_00076 hypothetical protein	MK689686.1_00076 hypothetical protein	MK689686.1_00076 hypothetical protein	MK689686.1_00076 hypothetical protein	OM037668.1_00020 hypothetical protein	MK689686.1_00076 hypothetical protein	AF371960.1_00080 hypothetical protein	MK689686.1_00076 hypothetical protein	MK689686.1_00076 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	OQ475017.1_00075 OQ475017.1 - hypothetical protein translation	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	AF371960.1_00080 hypothetical protein	PQ335173_PQ335174_00066 PQ335173_PQ335174 - hypothetical protein translation	100
OG0000029	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	MK689686.1_00079 hypothetical protein	AF371960.1_00082 hypothetical protein	MK689686.1_00079 hypothetical protein	MK689686.1_00079 hypothetical protein	MK689686.1_00079 hypothetical protein	GQ273492.1_00078 hypothetical protein	MK689686.1_00079 hypothetical protein	AF371960.1_00082 hypothetical protein	MK689686.1_00079 hypothetical protein	MG570131.1_00078 hypothetical protein	MG570132.1_00078 hypothetical protein	MK689686.1_00079 hypothetical protein	MK689686.1_00079 hypothetical protein	MK689686.1_00079 hypothetical protein	MK637631_00096 hypothetical protein	AF371960.1_00082 hypothetical protein	MK689686.1_00079 hypothetical protein	AF371960.1_00082 hypothetical protein	OM037668.1_00019 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	OM037668.1_00019 hypothetical protein	MK689686.1_00079 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	MK689686.1_00079 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	MK689686.1_00079 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	MK689686.1_00079 hypothetical protein	MK689686.1_00079 hypothetical protein	MK689686.1_00079 hypothetical protein	MK689686.1_00079 hypothetical protein	MK689686.1_00079 hypothetical protein	OM037668.1_00019 hypothetical protein	MK689686.1_00079 hypothetical protein	AF371960.1_00082 hypothetical protein	MK689686.1_00079 hypothetical protein	MK689686.1_00079 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	OQ475017.1_00078 OQ475017.1 - hypothetical protein translation	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	AF371960.1_00082 hypothetical protein	PQ335173_PQ335174_00065 PQ335173_PQ335174 - hypothetical protein translation	100
OG0000030	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	MK689686.1_00080 hypothetical protein	AF371960.1_00083 hypothetical protein	MK689686.1_00080 hypothetical protein	MK689686.1_00080 hypothetical protein	MK689686.1_00080 hypothetical protein	GQ273492.1_00079 hypothetical protein	MK689686.1_00080 hypothetical protein	AF371960.1_00083 hypothetical protein	MK689686.1_00080 hypothetical protein	MG570131.1_00079 hypothetical protein	MG570132.1_00079 hypothetical protein	MK689686.1_00080 hypothetical protein	MK689686.1_00080 hypothetical protein	MK689686.1_00080 hypothetical protein	MK637631_00097 hypothetical protein	AF371960.1_00083 hypothetical protein	MK689686.1_00080 hypothetical protein	AF371960.1_00083 hypothetical protein	OM037668.1_00018 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	OM037668.1_00018 hypothetical protein	MK689686.1_00080 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	MK689686.1_00080 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	MK689686.1_00080 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	MK689686.1_00080 hypothetical protein	MK689686.1_00080 hypothetical protein	MK689686.1_00080 hypothetical protein	MK689686.1_00080 hypothetical protein	MK689686.1_00080 hypothetical protein	OM037668.1_00018 hypothetical protein	MK689686.1_00080 hypothetical protein	AF371960.1_00083 hypothetical protein	MK689686.1_00080 hypothetical protein	MK689686.1_00080 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	OQ475017.1_00079 OQ475017.1 - hypothetical protein translation	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	AF371960.1_00083 hypothetical protein	PQ335173_PQ335174_00064 PQ335173_PQ335174 - hypothetical protein translation	100
OG0000031	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	MK689686.1_00081 hypothetical protein	AF371960.1_00084 hypothetical protein	MK689686.1_00081 hypothetical protein	MK689686.1_00081 hypothetical protein	MK689686.1_00081 hypothetical protein	GQ273492.1_00080 hypothetical protein	MK689686.1_00081 hypothetical protein	AF371960.1_00084 hypothetical protein	MK689686.1_00081 hypothetical protein	MG570131.1_00080 hypothetical protein	MG570132.1_00080 hypothetical protein	MK689686.1_00081 hypothetical protein	MK689686.1_00081 hypothetical protein	MK689686.1_00081 hypothetical protein	MK637631_00022 hypothetical protein	AF371960.1_00084 hypothetical protein	MK689686.1_00081 hypothetical protein	AF371960.1_00084 hypothetical protein	OM037668.1_00130 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	OM037668.1_00130 hypothetical protein	MK689686.1_00081 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	MK689686.1_00081 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	MK689686.1_00081 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	MK689686.1_00081 hypothetical protein	MK689686.1_00081 hypothetical protein	MK689686.1_00081 hypothetical protein	MK689686.1_00081 hypothetical protein	MK689686.1_00081 hypothetical protein	OM037668.1_00130 hypothetical protein	MK689686.1_00081 hypothetical protein	AF371960.1_00084 hypothetical protein	MK689686.1_00081 hypothetical protein	MK689686.1_00081 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	OQ475017.1_00080 OQ475017.1 - hypothetical protein translation	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	AF371960.1_00084 hypothetical protein	PQ335173_PQ335174_00063 PQ335173_PQ335174 - hypothetical protein translation	100
OG0000032	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	MK689686.1_00084 hypothetical protein	AF371960.1_00088 hypothetical protein	MK689686.1_00084 hypothetical protein	MK689686.1_00084 hypothetical protein	MK689686.1_00084 hypothetical protein	GQ273492.1_00083 hypothetical protein	MK689686.1_00084 hypothetical protein	AF371960.1_00088 hypothetical protein	MK689686.1_00084 hypothetical protein	MG570131.1_00083 hypothetical protein	MG570132.1_00083 hypothetical protein	MK689686.1_00084 hypothetical protein	MK689686.1_00084 hypothetical protein	MK689686.1_00084 hypothetical protein	MK637631_00011 hypothetical protein	AF371960.1_00088 hypothetical protein	MK689686.1_00084 hypothetical protein	AF371960.1_00088 hypothetical protein	OM037668.1_00090 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	OM037668.1_00090 hypothetical protein	MK689686.1_00084 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	MK689686.1_00084 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	MK689686.1_00084 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	MK689686.1_00084 hypothetical protein	MK689686.1_00084 hypothetical protein	MK689686.1_00084 hypothetical protein	MK689686.1_00084 hypothetical protein	MK689686.1_00084 hypothetical protein	OM037668.1_00090 hypothetical protein	MK689686.1_00084 hypothetical protein	AF371960.1_00088 hypothetical protein	MK689686.1_00084 hypothetical protein	MK689686.1_00084 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	AF371960.1_00088 hypothetical protein	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation	100
OG0000033	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	AF371960.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	MK689686.1_00085 hypothetical protein	MK689686.1_00085 hypothetical protein	GQ273492.1_00084 hypothetical protein	MK689686.1_00085 hypothetical protein	AF371960.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	MG570131.1_00084 hypothetical protein	MG570132.1_00084 hypothetical protein	MK689686.1_00085 hypothetical protein	MK689686.1_00085 hypothetical protein	MK689686.1_00085 hypothetical protein	MK637631_00010 hypothetical protein	AF371960.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	AF371960.1_00089 hypothetical protein	OM037668.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	OM037668.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	MK689686.1_00085 hypothetical protein	MK689686.1_00085 hypothetical protein	MK689686.1_00085 hypothetical protein	MK689686.1_00085 hypothetical protein	OM037668.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	AF371960.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein	MK689686.1_00085 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	AF371960.1_00089 hypothetical protein	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation	100
OG0000034	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	MK689686.1_00086 hypothetical protein	AF371960.1_00090 hypothetical protein	MK689686.1_00086 hypothetical protein	MK689686.1_00086 hypothetical protein	MK689686.1_00086 hypothetical protein	GQ273492.1_00085 hypothetical protein	MK689686.1_00086 hypothetical protein	AF371960.1_00090 hypothetical protein	MK689686.1_00086 hypothetical protein	MG570131.1_00085 hypothetical protein	MG570132.1_00085 hypothetical protein	MK689686.1_00086 hypothetical protein	MK689686.1_00086 hypothetical protein	MK689686.1_00086 hypothetical protein	MK637631_00037 hypothetical protein	AF371960.1_00090 hypothetical protein	MK689686.1_00086 hypothetical protein	AF371960.1_00090 hypothetical protein	OM037668.1_00087 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	OM037668.1_00087 hypothetical protein	MK689686.1_00086 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	MK689686.1_00086 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	MK689686.1_00086 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	MK689686.1_00086 hypothetical protein	MK689686.1_00086 hypothetical protein	MK689686.1_00086 hypothetical protein	MK689686.1_00086 hypothetical protein	MK689686.1_00086 hypothetical protein	OM037668.1_00087 hypothetical protein	MK689686.1_00086 hypothetical protein	AF371960.1_00090 hypothetical protein	MK689686.1_00086 hypothetical protein	MK689686.1_00086 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	AF371960.1_00090 hypothetical protein	PQ335173_PQ335174_00058 PQ335173_PQ335174 - hypothetical protein translation	100
OG0000035	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	MK689686.1_00087 hypothetical protein	AF371960.1_00091 hypothetical protein	MK689686.1_00087 hypothetical protein	MK689686.1_00087 hypothetical protein	MK689686.1_00087 hypothetical protein	GQ273492.1_00086 hypothetical protein	MK689686.1_00087 hypothetical protein	AF371960.1_00091 hypothetical protein	MK689686.1_00087 hypothetical protein	MG570131.1_00086 hypothetical protein	MG570132.1_00086 hypothetical protein	MK689686.1_00087 hypothetical protein	MK689686.1_00087 hypothetical protein	MK689686.1_00087 hypothetical protein	MK637631_00039 hypothetical protein	AF371960.1_00091 hypothetical protein	MK689686.1_00087 hypothetical protein	AF371960.1_00091 hypothetical protein	OM037668.1_00086 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	OM037668.1_00086 hypothetical protein	MK689686.1_00087 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	MK689686.1_00087 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	MK689686.1_00087 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	MK689686.1_00087 hypothetical protein	MK689686.1_00087 hypothetical protein	MK689686.1_00087 hypothetical protein	MK689686.1_00087 hypothetical protein	MK689686.1_00087 hypothetical protein	OM037668.1_00086 hypothetical protein	MK689686.1_00087 hypothetical protein	AF371960.1_00091 hypothetical protein	MK689686.1_00087 hypothetical protein	MK689686.1_00087 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	OQ475017.1_00086 OQ475017.1 - hypothetical protein translation	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	AF371960.1_00091 hypothetical protein	PQ335173_PQ335174_00057 PQ335173_PQ335174 - hypothetical protein translation	100
OG0000036	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	GQ273492.1_00087 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	MG570131.1_00087 hypothetical protein	MG570132.1_00087 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	MK637631_00056 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	OM037668.1_00084 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	OM037668.1_00084 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	OM037668.1_00084 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein	MK689686.1_00088 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	AF371960.1_00092 hypothetical protein	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation	100
OG0000037	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	GQ273492.1_00091 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	MG570131.1_00091 hypothetical protein	MG570132.1_00091 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	MK637631_00111 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	OM037668.1_00081 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	OM037668.1_00081 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	OM037668.1_00081 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	MK689686.1_00092 hypothetical protein	MK689686.1_00092 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	OQ475017.1_00092 OQ475017.1 - hypothetical protein translation	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	AF371960.1_00095 hypothetical protein	PQ335173_PQ335174_00051 PQ335173_PQ335174 - hypothetical protein translation	100
