Orthogroup	Irido_IIV31_HF920637.1	Chlor_IIV22_HF920633.1
OG0000196	Irido_IIV31_HF920637.1_00139	Chlor_IIV22_HF920633.1_00110
OG0000197	Irido_IIV31_HF920637.1_00193	Chlor_IIV22_HF920633.1_00120
OG0000198	Irido_IIV31_HF920637.1_00024	Chlor_IIV22_HF920633.1_00139
OG0000199	Irido_IIV31_HF920637.1_00043	Chlor_IIV22_HF920633.1_00146
OG0000200	Irido_IIV31_HF920637.1_00100	Chlor_IIV22_HF920633.1_00149
OG0000201	Irido_IIV31_HF920637.1_00192	Chlor_IIV22_HF920633.1_00123
OG0000202	Irido_IIV31_HF920637.1_00005	Chlor_IIV22_HF920633.1_00125
OG0000203	Irido_IIV31_HF920637.1_00085	Chlor_IIV22_HF920633.1_00022
OG0000215	Irido_IIV31_HF920637.1_00195	Chlor_IIV22_HF920633.1_00013
OG0000216	Irido_IIV31_HF920637.1_00144	Chlor_IIV22_HF920633.1_00074
OG0000217	Irido_IIV31_HF920637.1_00188	Chlor_IIV22_HF920633.1_00063
OG0000218	Irido_IIV31_HF920637.1_00012	Chlor_IIV22_HF920633.1_00113
OG0000219	Irido_IIV31_HF920637.1_00187	Chlor_IIV22_HF920633.1_00160
OG0000220	Irido_IIV31_HF920637.1_00167	Chlor_IIV22_HF920633.1_00087
OG0000221	Irido_IIV31_HF920637.1_00204	Chlor_IIV22_HF920633.1_00023
OG0000222	Irido_IIV31_HF920637.1_00022	Chlor_IIV22_HF920633.1_00037
OG0000223	Irido_IIV31_HF920637.1_00074	Chlor_IIV22_HF920633.1_00061
OG0000224	Irido_IIV31_HF920637.1_00211	Chlor_IIV22_HF920633.1_00008
OG0000225	Irido_IIV31_HF920637.1_00124	Chlor_IIV22_HF920633.1_00102
OG0000226	Irido_IIV31_HF920637.1_00021	Chlor_IIV22_HF920633.1_00155
OG0000227	Irido_IIV31_HF920637.1_00040	Chlor_IIV22_HF920633.1_00041
OG0000228	Irido_IIV31_HF920637.1_00215	Chlor_IIV22_HF920633.1_00101
OG0000338	Irido_IIV31_HF920637.1_00170	Chlor_IIV22_HF920633.1_00112
OG0000339	Irido_IIV31_HF920637.1_00027	Chlor_IIV22_HF920633.1_00137
