Orthogroup	Irido_IIV31_HF920637.1	Chlor_AMIV_KF938901.1
OG0000164	Irido_IIV31_HF920637.1_00069	Chlor_AMIV_KF938901.1_00105, Chlor_AMIV_KF938901.1_00006
OG0000167	Irido_IIV31_HF920637.1_00140	Chlor_AMIV_KF938901.1_00075
OG0000169	Irido_IIV31_HF920637.1_00056	Chlor_AMIV_KF938901.1_00102
OG0000170	Irido_IIV31_HF920637.1_00049	Chlor_AMIV_KF938901.1_00103
OG0000171	Irido_IIV31_HF920637.1_00095	Chlor_AMIV_KF938901.1_00117
OG0000172	Irido_IIV31_HF920637.1_00045	Chlor_AMIV_KF938901.1_00121
OG0000173	Irido_IIV31_HF920637.1_00120	Chlor_AMIV_KF938901.1_00128
OG0000174	Irido_IIV31_HF920637.1_00067	Chlor_AMIV_KF938901.1_00150
OG0000184	Irido_IIV31_HF920637.1_00009	Chlor_AMIV_KF938901.1_00008
OG0000185	Irido_IIV31_HF920637.1_00035	Chlor_AMIV_KF938901.1_00010
OG0000186	Irido_IIV31_HF920637.1_00212	Chlor_AMIV_KF938901.1_00014
OG0000187	Irido_IIV31_HF920637.1_00019	Chlor_AMIV_KF938901.1_00063
OG0000188	Irido_IIV31_HF920637.1_00160	Chlor_AMIV_KF938901.1_00070
OG0000190	Irido_IIV31_HF920637.1_00070	Chlor_AMIV_KF938901.1_00077
OG0000191	Irido_IIV31_HF920637.1_00194	Chlor_AMIV_KF938901.1_00079
OG0000192	Irido_IIV31_HF920637.1_00048	Chlor_AMIV_KF938901.1_00099
OG0000193	Irido_IIV31_HF920637.1_00047	Chlor_AMIV_KF938901.1_00100
OG0000194	Irido_IIV31_HF920637.1_00149	Chlor_AMIV_KF938901.1_00113
OG0000195	Irido_IIV31_HF920637.1_00020	Chlor_AMIV_KF938901.1_00116
OG0000196	Irido_IIV31_HF920637.1_00139	Chlor_AMIV_KF938901.1_00133
OG0000197	Irido_IIV31_HF920637.1_00193	Chlor_AMIV_KF938901.1_00134
OG0000198	Irido_IIV31_HF920637.1_00024	Chlor_AMIV_KF938901.1_00137
OG0000199	Irido_IIV31_HF920637.1_00043	Chlor_AMIV_KF938901.1_00139
OG0000200	Irido_IIV31_HF920637.1_00100	Chlor_AMIV_KF938901.1_00141
OG0000201	Irido_IIV31_HF920637.1_00192	Chlor_AMIV_KF938901.1_00146
OG0000202	Irido_IIV31_HF920637.1_00005	Chlor_AMIV_KF938901.1_00148
OG0000203	Irido_IIV31_HF920637.1_00085	Chlor_AMIV_KF938901.1_00152
OG0000215	Irido_IIV31_HF920637.1_00195	Chlor_AMIV_KF938901.1_00035
OG0000216	Irido_IIV31_HF920637.1_00144	Chlor_AMIV_KF938901.1_00045
OG0000217	Irido_IIV31_HF920637.1_00188	Chlor_AMIV_KF938901.1_00057
OG0000218	Irido_IIV31_HF920637.1_00012	Chlor_AMIV_KF938901.1_00062
OG0000219	Irido_IIV31_HF920637.1_00187	Chlor_AMIV_KF938901.1_00082
OG0000220	Irido_IIV31_HF920637.1_00167	Chlor_AMIV_KF938901.1_00090
OG0000221	Irido_IIV31_HF920637.1_00204	Chlor_AMIV_KF938901.1_00098
OG0000222	Irido_IIV31_HF920637.1_00022	Chlor_AMIV_KF938901.1_00107
OG0000223	Irido_IIV31_HF920637.1_00074	Chlor_AMIV_KF938901.1_00109
OG0000224	Irido_IIV31_HF920637.1_00211	Chlor_AMIV_KF938901.1_00130
OG0000225	Irido_IIV31_HF920637.1_00124	Chlor_AMIV_KF938901.1_00136
OG0000226	Irido_IIV31_HF920637.1_00021	Chlor_AMIV_KF938901.1_00154
OG0000227	Irido_IIV31_HF920637.1_00040	Chlor_AMIV_KF938901.1_00155
OG0000282	Irido_IIV31_HF920637.1_00053	Chlor_AMIV_KF938901.1_00015
OG0000283	Irido_IIV31_HF920637.1_00174	Chlor_AMIV_KF938901.1_00016
OG0000290	Irido_IIV31_HF920637.1_00063	Chlor_AMIV_KF938901.1_00122
OG0000333	Irido_IIV31_HF920637.1_00078	Chlor_AMIV_KF938901.1_00157
