Orthogroup	MT926123.1	MG570132.1
OG0000076	MT926123.1_00039	MG570132.1_00038
OG0000077	MT926123.1_00042	MG570132.1_00041
OG0000078	MT926123.1_00043	MG570132.1_00042
OG0000079	MT926123.1_00047	MG570132.1_00046
OG0000080	MT926123.1_00052	MG570132.1_00051
OG0000081	MT926123.1_00053	MG570132.1_00052
OG0000082	MT926123.1_00054	MG570132.1_00053
OG0000083	MT926123.1_00064	MG570132.1_00062
OG0000084	MT926123.1_00067	MG570132.1_00065
OG0000085	MT926123.1_00070	MG570132.1_00067
OG0000086	MT926123.1_00071	MG570132.1_00068
OG0000087	MT926123.1_00076	MG570132.1_00071
OG0000088	MT926123.1_00077	MG570132.1_00072
OG0000089	MT926123.1_00087	MG570132.1_00081
OG0000090	MT926123.1_00088	MG570132.1_00082
OG0000091	MT926123.1_00098	MG570132.1_00094
OG0000092	MT926123.1_00102	MG570132.1_00098
OG0000093	MT926123.1_00105	MG570132.1_00101
OG0000094	MT926123.1_00108	MG570132.1_00104
OG0000095	MT926123.1_00109	MG570132.1_00105
OG0000096	MT926123.1_00118	MG570132.1_00116
OG0000097	MT926123.1_00003	MG570132.1_00003
OG0000098	MT926123.1_00004	MG570132.1_00004
OG0000099	MT926123.1_00041	MG570132.1_00040
OG0000100	MT926123.1_00045	MG570132.1_00044
OG0000101	MT926123.1_00072	MG570132.1_00069
OG0000102	MT926123.1_00082	MG570132.1_00076
OG0000103	MT926123.1_00103	MG570132.1_00099
OG0000104	MT926123.1_00106	MG570132.1_00102
OG0000105	MT926123.1_00116	MG570132.1_00113
OG0000106	MT926123.1_00030	MG570132.1_00029
OG0000107	MT926123.1_00104	MG570132.1_00100
OG0000108	MT926123.1_00119	MG570132.1_00117
OG0000114	MT926123.1_00011	MG570132.1_00012
OG0000115	MT926123.1_00055	MG570132.1_00054
OG0000117	MT926123.1_00094	MG570132.1_00089
OG0000123	MT926123.1_00027	MG570132.1_00027
