Orthogroup	OQ475017	MK637631
OG0000035	OQ475017.1_00019 OQ475017.1 - hypothetical protein translation	MK637631_00021 hypothetical protein
OG0000036	OQ475017.1_00020 OQ475017.1 - hypothetical protein translation	MK637631_00020 hypothetical protein
OG0000037	OQ475017.1_00023 OQ475017.1 - hypothetical protein translation	MK637631_00016 hypothetical protein
OG0000038	OQ475017.1_00036 OQ475017.1 - hypothetical protein translation	MK637631_00042 hypothetical protein
OG0000039	OQ475017.1_00048 OQ475017.1 - hypothetical protein translation	MK637631_00079 hypothetical protein
OG0000040	OQ475017.1_00049 OQ475017.1 - hypothetical protein translation	MK637631_00080 hypothetical protein
OG0000041	OQ475017.1_00059 OQ475017.1 - hypothetical protein translation	MK637631_00088 hypothetical protein
OG0000042	OQ475017.1_00075 OQ475017.1 - hypothetical protein translation	MK637631_00095 hypothetical protein
OG0000043	OQ475017.1_00078 OQ475017.1 - hypothetical protein translation	MK637631_00096 hypothetical protein
OG0000044	OQ475017.1_00079 OQ475017.1 - hypothetical protein translation	MK637631_00097 hypothetical protein
OG0000045	OQ475017.1_00080 OQ475017.1 - hypothetical protein translation	MK637631_00022 hypothetical protein
OG0000046	OQ475017.1_00086 OQ475017.1 - hypothetical protein translation	MK637631_00039 hypothetical protein
OG0000047	OQ475017.1_00092 OQ475017.1 - hypothetical protein translation	MK637631_00111 hypothetical protein
OG0000048	OQ475017.1_00094 OQ475017.1 - hypothetical protein translation	MK637631_00118 hypothetical protein
OG0000049	OQ475017.1_00097 OQ475017.1 - hypothetical protein translation	MK637631_00117 hypothetical protein
OG0000050	OQ475017.1_00109 OQ475017.1 - hypothetical protein translation	MK637631_00103 hypothetical protein
OG0000051	OQ475017.1_00114 OQ475017.1 - hypothetical protein translation	MK637631_00108 hypothetical protein
OG0000052	OQ475017.1_00118 OQ475017.1 - hypothetical protein translation	MK637631_00012 hypothetical protein
OG0000053	OQ475017.1_00013 OQ475017.1 - hypothetical protein translation	MK637631_00029 hypothetical protein
OG0000054	OQ475017.1_00024 OQ475017.1 - hypothetical protein translation	MK637631_00032 hypothetical protein
OG0000057	OQ475017.1_00116 OQ475017.1 - hypothetical protein translation	MK637631_00048 hypothetical protein
OG0000058	OQ475017.1_00122 OQ475017.1 - hypothetical protein translation	MK637631_00004 hypothetical protein
OG0000059	OQ475017.1_00032 OQ475017.1 - hypothetical protein translation	MK637631_00049 hypothetical protein
OG0000063	OQ475017.1_00074 OQ475017.1 - hypothetical protein translation	MK637631_00102 hypothetical protein
OG0000066	OQ475017.1_00021 OQ475017.1 - hypothetical protein translation	MK637631_00018 hypothetical protein
OG0000107	OQ475017.1_00060 OQ475017.1 - hypothetical protein translation	MK637631_00089 hypothetical protein
OG0000114	OQ475017.1_00058 OQ475017.1 - hypothetical protein translation	MK637631_00057 hypothetical protein
OG0000116	OQ475017.1_00011 OQ475017.1 - hypothetical protein translation	MK637631_00027 hypothetical protein
OG0000117	OQ475017.1_00053 OQ475017.1 - hypothetical protein translation	MK637631_00083 hypothetical protein
OG0000120	OQ475017.1_00077 OQ475017.1 - hypothetical protein translation	MK637631_00107 hypothetical protein
