Orthogroup	MN432490.1	AY894343.1
OG0000054	MN432490.1_00098	AY894343.1_00097
OG0000055	MN432490.1_00101	AY894343.1_00100
OG0000056	MN432490.1_00112	AY894343.1_00112
OG0000057	MN432490.1_00116	AY894343.1_00117
OG0000058	MN432490.1_00118	AY894343.1_00119
OG0000059	MN432490.1_00002	AY894343.1_00002
OG0000060	MN432490.1_00010	AY894343.1_00010
OG0000061	MN432490.1_00018	AY894343.1_00018
OG0000062	MN432490.1_00093	AY894343.1_00091
OG0000063	MN432490.1_00073	AY894343.1_00072
OG0000064	MN432490.1_00017	AY894343.1_00017
OG0000065	MN432490.1_00040	AY894343.1_00037
OG0000066	MN432490.1_00044	AY894343.1_00041
OG0000067	MN432490.1_00048	AY894343.1_00045
OG0000068	MN432490.1_00067	AY894343.1_00067
OG0000069	MN432490.1_00100	AY894343.1_00099
OG0000070	MN432490.1_00102	AY894343.1_00101
OG0000071	MN432490.1_00115	AY894343.1_00116
OG0000072	MN432490.1_00009	AY894343.1_00009
OG0000073	MN432490.1_00012	AY894343.1_00011
OG0000074	MN432490.1_00016	AY894343.1_00016
OG0000075	MN432490.1_00036	AY894343.1_00033
OG0000076	MN432490.1_00039	AY894343.1_00036
OG0000077	MN432490.1_00042	AY894343.1_00039
OG0000078	MN432490.1_00043	AY894343.1_00040
OG0000079	MN432490.1_00047	AY894343.1_00044
OG0000080	MN432490.1_00052	AY894343.1_00050
OG0000081	MN432490.1_00053	AY894343.1_00051
OG0000082	MN432490.1_00054	AY894343.1_00052
OG0000083	MN432490.1_00063	AY894343.1_00062
OG0000084	MN432490.1_00066	AY894343.1_00065
OG0000085	MN432490.1_00069	AY894343.1_00068
OG0000086	MN432490.1_00070	AY894343.1_00069
OG0000087	MN432490.1_00075	AY894343.1_00073
OG0000088	MN432490.1_00076	AY894343.1_00074
OG0000089	MN432490.1_00086	AY894343.1_00084
OG0000090	MN432490.1_00087	AY894343.1_00085
OG0000091	MN432490.1_00099	AY894343.1_00098
OG0000092	MN432490.1_00103	AY894343.1_00102
OG0000093	MN432490.1_00106	AY894343.1_00106
OG0000094	MN432490.1_00109	AY894343.1_00109
OG0000095	MN432490.1_00110	AY894343.1_00110
OG0000096	MN432490.1_00120	AY894343.1_00121
OG0000097	MN432490.1_00003	AY894343.1_00003
OG0000098	MN432490.1_00004	AY894343.1_00004
OG0000099	MN432490.1_00041	AY894343.1_00038
OG0000100	MN432490.1_00045	AY894343.1_00042
OG0000101	MN432490.1_00071	AY894343.1_00070
OG0000102	MN432490.1_00081	AY894343.1_00079
OG0000103	MN432490.1_00104	AY894343.1_00103
OG0000104	MN432490.1_00107	AY894343.1_00107
OG0000105	MN432490.1_00117	AY894343.1_00118
OG0000106	MN432490.1_00030	AY894343.1_00027
OG0000107	MN432490.1_00105	AY894343.1_00104
OG0000108	MN432490.1_00121	AY894343.1_00122
OG0000109	MN432490.1_00072	AY894343.1_00071
OG0000110	MN432490.1_00119	AY894343.1_00120
OG0000111	MN432490.1_00095	AY894343.1_00094
OG0000112	MN432490.1_00082	AY894343.1_00080
OG0000116	MN432490.1_00055	AY894343.1_00053
OG0000140	MN432490.1_00077	AY894343.1_00075
