Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Rana nigromaculata ranavirus strain MWH421017, complete genome",Rana nigromaculata ranavirus,45.8,45.8,90%,0.007,35.21,104286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG791866.1?report=genbank&log$=nucltop&blast_rank=51&RID=69FYWKXH014"",""MG791866.1"")"
"Frog virus 3 strain Z939, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,104416,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959619.1?report=genbank&log$=nucltop&blast_rank=52&RID=69FYWKXH014"",""MK959619.1"")"
"Frog virus 3 strain Z938, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,104549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959618.1?report=genbank&log$=nucltop&blast_rank=53&RID=69FYWKXH014"",""MK959618.1"")"
"Frog virus 3 strain Z929, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,104566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959614.1?report=genbank&log$=nucltop&blast_rank=54&RID=69FYWKXH014"",""MK959614.1"")"
"Frog virus 3 strain Z920, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,104603,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959613.1?report=genbank&log$=nucltop&blast_rank=55&RID=69FYWKXH014"",""MK959613.1"")"
"Frog virus 3 strain Z897, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,104643,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959611.1?report=genbank&log$=nucltop&blast_rank=56&RID=69FYWKXH014"",""MK959611.1"")"
"Frog virus 3 strain Z377, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,104680,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959608.1?report=genbank&log$=nucltop&blast_rank=57&RID=69FYWKXH014"",""MK959608.1"")"
"Frog virus 3 strain Rana-Bra-17, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,104744,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT578298.1?report=genbank&log$=nucltop&blast_rank=58&RID=69FYWKXH014"",""MT578298.1"")"
"Frog virus 3 strain Z994, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,104788,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959621.1?report=genbank&log$=nucltop&blast_rank=59&RID=69FYWKXH014"",""MK959621.1"")"
"Trioceros melleri ranavirus isolate C16001, complete genome",Trioceros melleri ranavirus,45.8,45.8,90%,0.007,35.21,104803,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG953519.1?report=genbank&log$=nucltop&blast_rank=60&RID=69FYWKXH014"",""MG953519.1"")"
"Terrapene carolina carolina ranavirus isolate TCA16001, complete genome",Terrapene carolina carolina ranavirus,45.8,45.8,90%,0.007,35.21,104894,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG953518.1?report=genbank&log$=nucltop&blast_rank=61&RID=69FYWKXH014"",""MG953518.1"")"
"Frog virus 3 isolate TCCRV, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,105008,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PQ844486.1?report=genbank&log$=nucltop&blast_rank=62&RID=69FYWKXH014"",""PQ844486.1"")"
"Trioceros melleri ranavirus isolate C16002, complete genome",Trioceros melleri ranavirus,45.8,45.8,90%,0.007,35.21,105030,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG953520.1?report=genbank&log$=nucltop&blast_rank=63&RID=69FYWKXH014"",""MG953520.1"")"
"Frog virus 3 strain Z933, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,105037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959616.1?report=genbank&log$=nucltop&blast_rank=64&RID=69FYWKXH014"",""MK959616.1"")"
"Frog virus 3 isolate SSME, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,105070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ175144.1?report=genbank&log$=nucltop&blast_rank=65&RID=69FYWKXH014"",""KJ175144.1"")"
"Frog virus 3 strain Rana-Bra-01, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,105080,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH351268.1?report=genbank&log$=nucltop&blast_rank=66&RID=69FYWKXH014"",""MH351268.1"")"
"Tadpole virus 2 isolate WVL21036, complete genome",Tadpole virus 2,45.8,45.8,90%,0.007,35.21,105671,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ514904.1?report=genbank&log$=nucltop&blast_rank=67&RID=69FYWKXH014"",""MZ514904.1"")"
"Terrapene mexicana triunguis ranavirus 1 isolate TMTRV1, complete genome",Terrapene mexicana triunguis ranavirus 1,45.8,45.8,90%,0.007,35.21,105670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM963013.1?report=genbank&log$=nucltop&blast_rank=68&RID=69FYWKXH014"",""OM963013.1"")"
"Stickleback virus isolate WVL21035, complete genome",Stickleback virus,45.8,45.8,90%,0.007,35.21,105673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ514903.1?report=genbank&log$=nucltop&blast_rank=69&RID=69FYWKXH014"",""MZ514903.1"")"
"Rana grylio iridovirus, complete genome",Rana grylio virus,45.8,45.8,90%,0.007,35.21,105791,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ654586.1?report=genbank&log$=nucltop&blast_rank=70&RID=69FYWKXH014"",""JQ654586.1"")"
"Soft-shelled turtle iridovirus, complete genome",Soft-shelled turtle iridovirus,45.8,45.8,90%,0.007,35.21,105890,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU627010.1?report=genbank&log$=nucltop&blast_rank=71&RID=69FYWKXH014"",""EU627010.1"")"
"Frog virus 3 isolate Rana, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,105895,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PQ109930.1?report=genbank&log$=nucltop&blast_rank=72&RID=69FYWKXH014"",""PQ109930.1"")"
"Frog virus 3, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,105903,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_005946.1?report=genbank&log$=nucltop&blast_rank=73&RID=69FYWKXH014"",""NC_005946.1"")"
"Frog virus 3 isolate WVL20057-5, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,105988,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM927979.1?report=genbank&log$=nucltop&blast_rank=74&RID=69FYWKXH014"",""OM927979.1"")"
"Frog virus 3 isolate WVL20057-3, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,106024,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM927978.1?report=genbank&log$=nucltop&blast_rank=75&RID=69FYWKXH014"",""OM927978.1"")"
"Frog virus 3 FV3-FUB DNA, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,106146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC830689.1?report=genbank&log$=nucltop&blast_rank=76&RID=69FYWKXH014"",""LC830689.1"")"
"Frog virus 3 strain Z582, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,106549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959609.1?report=genbank&log$=nucltop&blast_rank=77&RID=69FYWKXH014"",""MK959609.1"")"
"Frog virus 3 strain KTW1, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,106586,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959607.1?report=genbank&log$=nucltop&blast_rank=78&RID=69FYWKXH014"",""MK959607.1"")"
"Frog virus 3 isolate NP2C, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,106988,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP179900.1?report=genbank&log$=nucltop&blast_rank=79&RID=69FYWKXH014"",""PP179900.1"")"
"Frog virus 3 isolate LC3C, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,106988,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP179901.1?report=genbank&log$=nucltop&blast_rank=80&RID=69FYWKXH014"",""PP179901.1"")"
"Frog virus 3 isolate Op/2015/Netherlands/UU3150324001, complete genome",Frog virus 3,45.8,45.8,90%,0.007,35.21,107035,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF360246.1?report=genbank&log$=nucltop&blast_rank=81&RID=69FYWKXH014"",""MF360246.1"")"
"Yeast/bacterial shuttle vector pBAC-FrogVirus3 DNA, complete sequence",Yeast/bacterial shuttle vector pBAC-FrogVirus3,45.8,45.8,90%,0.007,35.21,113893,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC830690.1?report=genbank&log$=nucltop&blast_rank=82&RID=69FYWKXH014"",""LC830690.1"")"
"Common midwife toad virus isolate Pe/2016/Netherlands/UU3160714042, complete genome",Common midwife toad virus,45.8,45.8,90%,0.008,35.21,106710,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF125270.1?report=genbank&log$=nucltop&blast_rank=83&RID=69FYWKXH014"",""MF125270.1"")"
"Invertebrate iridescent virus 3, complete genome",Invertebrate iridescent virus 3,45.8,45.8,94%,0.008,27.03,191100,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_008187.1?report=genbank&log$=nucltop&blast_rank=84&RID=69FYWKXH014"",""NC_008187.1"")"
"Pike-perch iridovirus isolate SLU14001, complete genome",Pike-perch iridovirus,45.4,45.4,90%,0.009,35.21,108041,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX574341.1?report=genbank&log$=nucltop&blast_rank=85&RID=69FYWKXH014"",""KX574341.1"")"
"Lumpfish ranavirus isolate F140-16, complete genome",Lumpfish ranavirus,45.4,45.4,90%,0.009,35.21,115947,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH665359.1?report=genbank&log$=nucltop&blast_rank=86&RID=69FYWKXH014"",""MH665359.1"")"
"Tortoise ranavirus 1 isolate 1 (882/96), complete genome",tortoise ranavirus 1,45.4,45.4,90%,0.010,35.21,103876,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP266743.1?report=genbank&log$=nucltop&blast_rank=87&RID=69FYWKXH014"",""KP266743.1"")"
"Chinese giant salamander iridovirus isolate CGSIV-HN1104, complete genome",Chinese giant salamander iridovirus,45.4,45.4,90%,0.010,35.21,105375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF512820.1?report=genbank&log$=nucltop&blast_rank=88&RID=69FYWKXH014"",""KF512820.1"")"
"Testudo hermanni ranavirus isolate CH8/96, complete genome",Testudo hermanni ranavirus,45.4,45.4,90%,0.010,35.21,105811,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP266741.1?report=genbank&log$=nucltop&blast_rank=89&RID=69FYWKXH014"",""KP266741.1"")"
"Ranavirus sp. isolate TSL210813, complete genome",Ranavirus sp.,45.4,45.4,90%,0.010,35.21,106074,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP491958.1?report=genbank&log$=nucltop&blast_rank=90&RID=69FYWKXH014"",""PP491958.1"")"
"Andrias davidianus ranavirus isolate 2010SX, complete genome",Andrias davidianus ranavirus,45.4,45.4,90%,0.010,35.21,106719,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF033124.1?report=genbank&log$=nucltop&blast_rank=91&RID=69FYWKXH014"",""KF033124.1"")"
"Percocypris pingi ranavirus isolate 2021GY, complete genome",Percocypris pingi ranavirus,45.4,45.4,90%,0.010,35.21,106721,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON080858.1?report=genbank&log$=nucltop&blast_rank=92&RID=69FYWKXH014"",""ON080858.1"")"
