HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK637631	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N58.HOG0000031	OG0000135	n0							AY521625.1_00056 AY521625.1 - Ribonucleoside-diphosphate reductase large subunit translation																																														NC_005946.1_00039 Ribonucleoside-diphosphate reductase large subunit																				
N58.HOG0000032	OG0000142	n0							AY521625.1_00133 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00054 hypothetical protein																				
N58.HOG0000033	OG0000148	n0							AY521625.1_00044 AY521625.1 - Deoxyuridine																																														NC_005946.1_00063 Deoxyuridine																				
N58.HOG0000034	OG0000149	n0							AY521625.1_00002 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00052 hypothetical protein																				
N58.HOG0000035	OG0000150	n0							AY521625.1_00003 AY521625.1 - hypothetical protein translation, AY521625.1_00082 AY521625.1 - hypothetical protein translation, AY521625.1_00080 AY521625.1 - hypothetical protein translation, AY521625.1_00081 AY521625.1 - hypothetical protein translation, AY521625.1_00127 AY521625.1 - hypothetical protein translation, AY521625.1_00078 AY521625.1 - hypothetical protein translation, AY521625.1_00079 AY521625.1 - hypothetical protein translation																																																																		
N58.HOG0000036	OG0000151	n0							AY521625.1_00018 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00044 hypothetical protein																				
N58.HOG0000037	OG0000152	n0							AY521625.1_00029 AY521625.1 - hypothetical protein translation, AY521625.1_00033 AY521625.1 - hypothetical protein translation, AY521625.1_00030 AY521625.1 - hypothetical protein translation, AY521625.1_00025 AY521625.1 - hypothetical protein translation, AY521625.1_00032 AY521625.1 - hypothetical protein translation, AY521625.1_00026 AY521625.1 - hypothetical protein translation, AY521625.1_00027 AY521625.1 - hypothetical protein translation																																																																		
N58.HOG0000038	OG0000153	n0							AY521625.1_00046 AY521625.1 - hypothetical protein translation																																																																		
N58.HOG0000039	OG0000154	n0							AY521625.1_00126 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00075 hypothetical protein																				
N58.HOG0000040	OG0000167	n0							AY521625.1_00014 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00004 hypothetical protein																				
N58.HOG0000041	OG0000173	n0							AY521625.1_00005 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00026 hypothetical protein																				
N58.HOG0000042	OG0000174	n0							AY521625.1_00011 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00033 hypothetical protein																				
N58.HOG0000043	OG0000175	n0							AY521625.1_00140 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00029 hypothetical protein																				
N58.HOG0000044	OG0000199	n0							AY521625.1_00066 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00062 hypothetical protein																				
N58.HOG0000045	OG0000200	n0							AY521625.1_00108 AY521625.1 - hypothetical protein translation, AY521625.1_00106 AY521625.1 - hypothetical protein translation, AY521625.1_00107 AY521625.1 - hypothetical protein translation, AY521625.1_00076 AY521625.1 - hypothetical protein translation, AY521625.1_00109 AY521625.1 - hypothetical protein translation																																																																		
N58.HOG0000046	OG0000201	n0							AY521625.1_00097 AY521625.1 - hypothetical protein translation																																																																		
N58.HOG0000047	OG0000205	n0																																																					NC_005946.1_00007 hypothetical protein																				
N58.HOG0000048	OG0000224	n0							AY521625.1_00023 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00051 hypothetical protein																				
N58.HOG0000049	OG0000225	n0							AY521625.1_00057 AY521625.1 - hypothetical protein translation																																																																		
N58.HOG0000050	OG0000226	n0							AY521625.1_00061 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00088 hypothetical protein																				
N58.HOG0000051	OG0000227	n0							AY521625.1_00094 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00096 hypothetical protein																				
N58.HOG0000052	OG0000228	n0							AY521625.1_00116 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00015 hypothetical protein																				
N58.HOG0000053	OG0000229	n0							AY521625.1_00128 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00073 hypothetical protein																				
N58.HOG0000054	OG0000340	-							AY521625.1_00008 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00035 hypothetical protein																				
N58.HOG0000055	OG0000341	-							AY521625.1_00013 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00005 hypothetical protein																				
N58.HOG0000056	OG0000342	-							AY521625.1_00015 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00003 hypothetical protein																				
N58.HOG0000057	OG0000343	-							AY521625.1_00020 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00047 hypothetical protein																				
N58.HOG0000058	OG0000344	-							AY521625.1_00039 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00018 hypothetical protein																				
N58.HOG0000059	OG0000345	-							AY521625.1_00052 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00012 hypothetical protein																				
N58.HOG0000060	OG0000346	-							AY521625.1_00063 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00090 hypothetical protein																				
N58.HOG0000061	OG0000347	-							AY521625.1_00068 AY521625.1 - hypothetical protein translation, AY521625.1_00088 AY521625.1 - hypothetical protein translation																																																																		
N58.HOG0000062	OG0000348	-							AY521625.1_00072 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00081 hypothetical protein																				
N58.HOG0000063	OG0000349	-							AY521625.1_00075 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00084 hypothetical protein																				
N58.HOG0000064	OG0000350	-							AY521625.1_00090 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00013 hypothetical protein																				
N58.HOG0000065	OG0000351	-							AY521625.1_00102 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00079 hypothetical protein																				
N58.HOG0000066	OG0000352	-							AY521625.1_00104 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00080 hypothetical protein																				
N58.HOG0000067	OG0000353	-							AY521625.1_00105 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00059 hypothetical protein																				
N58.HOG0000068	OG0000354	-							AY521625.1_00113 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00017 hypothetical protein																				
N58.HOG0000069	OG0000355	-							AY521625.1_00117 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00077 hypothetical protein																				
N58.HOG0000070	OG0000356	-							AY521625.1_00118 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00076 hypothetical protein																				
N58.HOG0000071	OG0000357	-							AY521625.1_00119 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00072 hypothetical protein																				
N58.HOG0000072	OG0000358	-							AY521625.1_00123 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00069 hypothetical protein																				
N58.HOG0000073	OG0000359	-							AY521625.1_00124 AY521625.1 - hypothetical protein translation, AY521625.1_00125 AY521625.1 - hypothetical protein translation																																																																		
N58.HOG0000074	OG0000360	-							AY521625.1_00131 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00056 hypothetical protein																				
N58.HOG0000075	OG0000361	-							AY521625.1_00137 AY521625.1 - hypothetical protein translation																																														NC_005946.1_00058 hypothetical protein																				
N58.HOG0000076	OG0000468	-																																																					NC_005946.1_00025 hypothetical protein, NC_005946.1_00024 hypothetical protein																				
