HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK637631	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N59.HOG0000077	OG0000399	-																	Lymph_LDV3_KX643370_00011 hypothetical protein													MN803438.1_00014 hypothetical protein																																											
N59.HOG0000078	OG0000400	-																	Lymph_LDV3_KX643370_00013 hypothetical protein													MN803438.1_00036 hypothetical protein																																											
N59.HOG0000079	OG0000401	-																	Lymph_LDV3_KX643370_00016 hypothetical protein													MN803438.1_00038 hypothetical protein																																											
N59.HOG0000080	OG0000402	-																	Lymph_LDV3_KX643370_00018 hypothetical protein													MN803438.1_00015 hypothetical protein																																											
N59.HOG0000081	OG0000403	-																	Lymph_LDV3_KX643370_00022 hypothetical protein													MN803438.1_00042 hypothetical protein																																											
N59.HOG0000082	OG0000404	-																	Lymph_LDV3_KX643370_00023 hypothetical protein													MN803438.1_00043 hypothetical protein																																											
N59.HOG0000083	OG0000405	-																	Lymph_LDV3_KX643370_00026 hypothetical protein													MN803438.1_00040 hypothetical protein																																											
N59.HOG0000084	OG0000406	-																	Lymph_LDV3_KX643370_00027 hypothetical protein													MN803438.1_00041 hypothetical protein																																											
N59.HOG0000085	OG0000407	-																	Lymph_LDV3_KX643370_00029 hypothetical protein													MN803438.1_00080 hypothetical protein																																											
N59.HOG0000086	OG0000408	-																	Lymph_LDV3_KX643370_00030 hypothetical protein													MN803438.1_00079 hypothetical protein																																											
N59.HOG0000087	OG0000409	-																	Lymph_LDV3_KX643370_00031 hypothetical protein													MN803438.1_00083 hypothetical protein																																											
N59.HOG0000088	OG0000410	-																	Lymph_LDV3_KX643370_00032 hypothetical protein													MN803438.1_00085 hypothetical protein																																											
N59.HOG0000089	OG0000411	-																	Lymph_LDV3_KX643370_00034 hypothetical protein													MN803438.1_00031 hypothetical protein																																											
N59.HOG0000090	OG0000412	-																	Lymph_LDV3_KX643370_00036 hypothetical protein													MN803438.1_00032 hypothetical protein																																											
N59.HOG0000091	OG0000413	-																	Lymph_LDV3_KX643370_00038 hypothetical protein													MN803438.1_00033 hypothetical protein																																											
N59.HOG0000092	OG0000414	-																	Lymph_LDV3_KX643370_00039 hypothetical protein													MN803438.1_00034 hypothetical protein																																											
N59.HOG0000093	OG0000415	-																	Lymph_LDV3_KX643370_00050 hypothetical protein													MN803438.1_00016 hypothetical protein																																											
N59.HOG0000094	OG0000416	-																	Lymph_LDV3_KX643370_00053 hypothetical protein													MN803438.1_00025 hypothetical protein																																											
N59.HOG0000095	OG0000417	-																	Lymph_LDV3_KX643370_00058 hypothetical protein													MN803438.1_00069 hypothetical protein																																											
N59.HOG0000096	OG0000418	-																	Lymph_LDV3_KX643370_00063 hypothetical protein													MN803438.1_00073 hypothetical protein																																											
N59.HOG0000097	OG0000419	-																	Lymph_LDV3_KX643370_00065 hypothetical protein													MN803438.1_00067 hypothetical protein																																											
N59.HOG0000098	OG0000420	-																	Lymph_LDV3_KX643370_00066 hypothetical protein													MN803438.1_00065 hypothetical protein																																											
N59.HOG0000099	OG0000421	-																	Lymph_LDV3_KX643370_00067 hypothetical protein													MN803438.1_00064 hypothetical protein																																											
N59.HOG0000100	OG0000422	-																	Lymph_LDV3_KX643370_00068 hypothetical protein													MN803438.1_00063 hypothetical protein																																											
N59.HOG0000101	OG0000423	-																	Lymph_LDV3_KX643370_00069 hypothetical protein													MN803438.1_00062 hypothetical protein																																											
N59.HOG0000102	OG0000424	-																	Lymph_LDV3_KX643370_00072 hypothetical protein													MN803438.1_00060 hypothetical protein																																											
N59.HOG0000103	OG0000425	-																	Lymph_LDV3_KX643370_00073 hypothetical protein													MN803438.1_00059 hypothetical protein																																											
N59.HOG0000104	OG0000426	-																	Lymph_LDV3_KX643370_00078 hypothetical protein													MN803438.1_00088 hypothetical protein																																											
N59.HOG0000105	OG0000427	-																	Lymph_LDV3_KX643370_00081 hypothetical protein													MN803438.1_00091 hypothetical protein																																											
N59.HOG0000106	OG0000428	-																	Lymph_LDV3_KX643370_00082 hypothetical protein													MN803438.1_00090 hypothetical protein																																											
N59.HOG0000107	OG0000429	-																	Lymph_LDV3_KX643370_00083 hypothetical protein													MN803438.1_00093 hypothetical protein																																											
N59.HOG0000108	OG0000430	-																	Lymph_LDV3_KX643370_00086 hypothetical protein													MN803438.1_00086 hypothetical protein																																											
N59.HOG0000109	OG0000431	-																	Lymph_LDV3_KX643370_00088 hypothetical protein													MN803438.1_00076 hypothetical protein																																											
N59.HOG0000110	OG0000432	-																	Lymph_LDV3_KX643370_00092 hypothetical protein													MN803438.1_00047 hypothetical protein																																											
N59.HOG0000111	OG0000433	-																	Lymph_LDV3_KX643370_00093 hypothetical protein													MN803438.1_00048 hypothetical protein																																											
N59.HOG0000112	OG0000434	-																	Lymph_LDV3_KX643370_00097 hypothetical protein													MN803438.1_00057 hypothetical protein																																											
N59.HOG0000113	OG0000435	-																	Lymph_LDV3_KX643370_00099 hypothetical protein													MN803438.1_00095 hypothetical protein																																											
N59.HOG0000114	OG0000436	-																	Lymph_LDV3_KX643370_00101 hypothetical protein													MN803438.1_00098 hypothetical protein																																											
N59.HOG0000115	OG0000437	-																	Lymph_LDV3_KX643370_00104 hypothetical protein													MN803438.1_00102 hypothetical protein																																											
N59.HOG0000116	OG0000438	-																	Lymph_LDV3_KX643370_00112 hypothetical protein													MN803438.1_00132 hypothetical protein																																											
N59.HOG0000117	OG0000439	-																	Lymph_LDV3_KX643370_00113 hypothetical protein													MN803438.1_00131 hypothetical protein																																											
N59.HOG0000118	OG0000440	-																	Lymph_LDV3_KX643370_00116 hypothetical protein													MN803438.1_00129 hypothetical protein																																											
N59.HOG0000119	OG0000441	-																	Lymph_LDV3_KX643370_00118 hypothetical protein													MN803438.1_00127 hypothetical protein																																											
N59.HOG0000120	OG0000442	-																	Lymph_LDV3_KX643370_00122 hypothetical protein													MN803438.1_00114 hypothetical protein																																											
N59.HOG0000121	OG0000443	-																	Lymph_LDV3_KX643370_00123 hypothetical protein													MN803438.1_00116 hypothetical protein																																											
N59.HOG0000122	OG0000444	-																	Lymph_LDV3_KX643370_00124 hypothetical protein													MN803438.1_00119 hypothetical protein																																											
N59.HOG0000123	OG0000445	-																	Lymph_LDV3_KX643370_00127 hypothetical protein													MN803438.1_00118 hypothetical protein																																											
N59.HOG0000124	OG0000446	-																	Lymph_LDV3_KX643370_00129 hypothetical protein													MN803438.1_00123 hypothetical protein																																											
N59.HOG0000125	OG0000447	-																	Lymph_LDV3_KX643370_00134 hypothetical protein													MN803438.1_00111 hypothetical protein																																											
N59.HOG0000126	OG0000448	-																	Lymph_LDV3_KX643370_00141 hypothetical protein													MN803438.1_00134 hypothetical protein																																											
N59.HOG0000127	OG0000449	-																	Lymph_LDV3_KX643370_00147 hypothetical protein													MN803438.1_00141 hypothetical protein																																											
N59.HOG0000128	OG0000450	-																	Lymph_LDV3_KX643370_00150 hypothetical protein													MN803438.1_00002 hypothetical protein																																											
N59.HOG0000129	OG0000451	-																	Lymph_LDV3_KX643370_00152 hypothetical protein													MN803438.1_00001 hypothetical protein																																											
