Orthogroup	KX643370	AY521625
OG0000027	Lymph_LDV3_KX643370_00015 hypothetical protein	AY521625.1_00022 AY521625.1 - hypothetical protein translation
OG0000028	Lymph_LDV3_KX643370_00119 hypothetical protein	AY521625.1_00060 AY521625.1 - hypothetical protein translation
OG0000114	Lymph_LDV3_KX643370_00133 hypothetical protein, Lymph_LDV3_KX643370_00079 hypothetical protein, Lymph_LDV3_KX643370_00125 hypothetical protein, Lymph_LDV3_KX643370_00048 hypothetical protein	AY521625.1_00036 AY521625.1 - hypothetical protein translation
OG0000130	Lymph_LDV3_KX643370_00121 hypothetical protein	AY521625.1_00098 AY521625.1 - hypothetical protein translation
OG0000133	Lymph_LDV3_KX643370_00139 Ribonucleoside-diphosphate reductase large subunit	AY521625.1_00056 AY521625.1 - Ribonucleoside-diphosphate reductase large subunit translation
OG0000148	Lymph_LDV3_KX643370_00047 hypothetical protein	AY521625.1_00002 AY521625.1 - hypothetical protein translation
OG0000150	Lymph_LDV3_KX643370_00149 hypothetical protein	AY521625.1_00018 AY521625.1 - hypothetical protein translation
OG0000153	Lymph_LDV3_KX643370_00090 hypothetical protein	AY521625.1_00126 AY521625.1 - hypothetical protein translation
OG0000167	Lymph_LDV3_KX643370_00060 hypothetical protein	AY521625.1_00005 AY521625.1 - hypothetical protein translation
OG0000168	Lymph_LDV3_KX643370_00059 hypothetical protein	AY521625.1_00011 AY521625.1 - hypothetical protein translation
OG0000169	Lymph_LDV3_KX643370_00080 hypothetical protein	AY521625.1_00140 AY521625.1 - hypothetical protein translation
OG0000195	Lymph_LDV3_KX643370_00021 hypothetical protein	AY521625.1_00066 AY521625.1 - hypothetical protein translation
OG0000197	Lymph_LDV3_KX643370_00064 hypothetical protein, Lymph_LDV3_KX643370_00014 hypothetical protein, Lymph_LDV3_KX643370_00128 hypothetical protein	AY521625.1_00097 AY521625.1 - hypothetical protein translation
OG0000218	Lymph_LDV3_KX643370_00106 hypothetical protein	AY521625.1_00023 AY521625.1 - hypothetical protein translation
OG0000219	Lymph_LDV3_KX643370_00005 hypothetical protein	AY521625.1_00057 AY521625.1 - hypothetical protein translation
OG0000220	Lymph_LDV3_KX643370_00046 hypothetical protein	AY521625.1_00061 AY521625.1 - hypothetical protein translation
OG0000221	Lymph_LDV3_KX643370_00054 hypothetical protein	AY521625.1_00094 AY521625.1 - hypothetical protein translation
OG0000222	Lymph_LDV3_KX643370_00146 hypothetical protein	AY521625.1_00116 AY521625.1 - hypothetical protein translation
OG0000223	Lymph_LDV3_KX643370_00102 hypothetical protein	AY521625.1_00128 AY521625.1 - hypothetical protein translation
OG0000241	Lymph_LDV3_KX643370_00037 hypothetical protein	AY521625.1_00010 AY521625.1 - hypothetical protein translation
OG0000242	Lymph_LDV3_KX643370_00151 hypothetical protein	AY521625.1_00043 AY521625.1 - hypothetical protein translation
OG0000243	Lymph_LDV3_KX643370_00148 hypothetical protein	AY521625.1_00055 AY521625.1 - hypothetical protein translation
