Orthogroup	BD143114.1	AY779031.1
OG0000040	BD143114.1_00043	AY779031.1_00036
OG0000041	BD143114.1_00039	AY779031.1_00040
OG0000042	BD143114.1_00027	AY779031.1_00053
OG0000043	BD143114.1_00026	AY779031.1_00054
OG0000044	BD143114.1_00021	AY779031.1_00059
OG0000045	BD143114.1_00020	AY779031.1_00060
OG0000046	BD143114.1_00018	AY779031.1_00062
OG0000047	BD143114.1_00017	AY779031.1_00063
OG0000048	BD143114.1_00016	AY779031.1_00065
OG0000049	BD143114.1_00122	AY779031.1_00086
OG0000050	BD143114.1_00118	AY779031.1_00090
OG0000051	BD143114.1_00117	AY779031.1_00091
OG0000052	BD143114.1_00105	AY779031.1_00102
OG0000053	BD143114.1_00103	AY779031.1_00104
OG0000054	BD143114.1_00100	AY779031.1_00107
OG0000055	BD143114.1_00088	AY779031.1_00120
OG0000056	BD143114.1_00083	AY779031.1_00125
OG0000057	BD143114.1_00081	AY779031.1_00127
OG0000058	BD143114.1_00072	AY779031.1_00002
OG0000059	BD143114.1_00065	AY779031.1_00010
OG0000061	BD143114.1_00108	AY779031.1_00099
OG0000063	BD143114.1_00004	AY779031.1_00074, AY779031.1_00075
OG0000064	BD143114.1_00058	AY779031.1_00123, AY779031.1_00018
OG0000065	BD143114.1_00037	AY779031.1_00042
OG0000066	BD143114.1_00033	AY779031.1_00047, AY779031.1_00046
OG0000067	BD143114.1_00029	AY779031.1_00051
OG0000068	BD143114.1_00009	AY779031.1_00072
OG0000069	BD143114.1_00101	AY779031.1_00106
OG0000070	BD143114.1_00099	AY779031.1_00110, AY779031.1_00111
OG0000071	BD143114.1_00084	AY779031.1_00124
OG0000072	BD143114.1_00066	AY779031.1_00009
OG0000073	BD143114.1_00063	AY779031.1_00012
OG0000074	BD143114.1_00059	AY779031.1_00017
OG0000075	BD143114.1_00041	AY779031.1_00038
OG0000076	BD143114.1_00038	AY779031.1_00041
OG0000077	BD143114.1_00035	AY779031.1_00044
OG0000078	BD143114.1_00034	AY779031.1_00045
OG0000079	BD143114.1_00030	AY779031.1_00050
OG0000080	BD143114.1_00025	AY779031.1_00055
OG0000081	BD143114.1_00024	AY779031.1_00056
OG0000082	BD143114.1_00023	AY779031.1_00057
OG0000083	BD143114.1_00014	AY779031.1_00067
OG0000084	BD143114.1_00011	AY779031.1_00070
OG0000085	BD143114.1_00008	AY779031.1_00073
OG0000086	BD143114.1_00007	AY779031.1_00076
OG0000087	BD143114.1_00003	AY779031.1_00081
OG0000088	BD143114.1_00002	AY779031.1_00082
OG0000089	BD143114.1_00116	AY779031.1_00092
OG0000090	BD143114.1_00115	AY779031.1_00093
OG0000091	BD143114.1_00102	AY779031.1_00105
OG0000092	BD143114.1_00098	AY779031.1_00112
OG0000093	BD143114.1_00094	AY779031.1_00114
OG0000094	BD143114.1_00091	AY779031.1_00117
OG0000095	BD143114.1_00090	AY779031.1_00118
OG0000098	BD143114.1_00071	AY779031.1_00004
OG0000099	BD143114.1_00036	AY779031.1_00043
OG0000100	BD143114.1_00032	AY779031.1_00048
OG0000101	BD143114.1_00006	AY779031.1_00077
OG0000102	BD143114.1_00121	AY779031.1_00087
OG0000104	BD143114.1_00093	AY779031.1_00115
OG0000105	BD143114.1_00082	AY779031.1_00126
OG0000106	BD143114.1_00047	AY779031.1_00032
OG0000109	BD143114.1_00005	AY779031.1_00079
OG0000110	BD143114.1_00080	AY779031.1_00128
OG0000111	BD143114.1_00106	AY779031.1_00101
OG0000112	BD143114.1_00120	AY779031.1_00088
OG0000113	BD143114.1_00054	AY779031.1_00022
OG0000114	BD143114.1_00064	AY779031.1_00011
OG0000116	BD143114.1_00010	AY779031.1_00071
OG0000117	BD143114.1_00107	AY779031.1_00100
OG0000118	BD143114.1_00095	AY779031.1_00113
