Orthogroup	OQ475017.1	MG570131.1
OG0000056	OQ475017.1_00109	MG570131.1_00107
OG0000057	OQ475017.1_00114	MG570131.1_00112
OG0000058	OQ475017.1_00116	MG570131.1_00114
OG0000059	OQ475017.1_00002	MG570131.1_00002
OG0000060	OQ475017.1_00010	MG570131.1_00011
OG0000061	OQ475017.1_00018	MG570131.1_00019
OG0000062	OQ475017.1_00088	MG570131.1_00088
OG0000063	OQ475017.1_00070	MG570131.1_00070
OG0000064	OQ475017.1_00017	MG570131.1_00018
OG0000065	OQ475017.1_00038	MG570131.1_00039
OG0000066	OQ475017.1_00042	MG570131.1_00043
OG0000067	OQ475017.1_00046	MG570131.1_00047
OG0000068	OQ475017.1_00065	MG570131.1_00066
OG0000069	OQ475017.1_00096	MG570131.1_00095
OG0000070	OQ475017.1_00098	MG570131.1_00097
OG0000071	OQ475017.1_00113	MG570131.1_00111
OG0000072	OQ475017.1_00009	MG570131.1_00010
OG0000073	OQ475017.1_00012	MG570131.1_00013
OG0000074	OQ475017.1_00016	MG570131.1_00017
OG0000075	OQ475017.1_00034	MG570131.1_00035
OG0000076	OQ475017.1_00037	MG570131.1_00038
OG0000077	OQ475017.1_00040	MG570131.1_00041
OG0000078	OQ475017.1_00041	MG570131.1_00042
OG0000079	OQ475017.1_00045	MG570131.1_00046
OG0000080	OQ475017.1_00050	MG570131.1_00051
OG0000081	OQ475017.1_00051	MG570131.1_00052
OG0000082	OQ475017.1_00052	MG570131.1_00053
OG0000083	OQ475017.1_00061	MG570131.1_00062
OG0000084	OQ475017.1_00064	MG570131.1_00065
OG0000085	OQ475017.1_00066	MG570131.1_00067
OG0000086	OQ475017.1_00067	MG570131.1_00068
OG0000087	OQ475017.1_00071	MG570131.1_00071
OG0000088	OQ475017.1_00072	MG570131.1_00072
OG0000089	OQ475017.1_00081	MG570131.1_00081
OG0000090	OQ475017.1_00082	MG570131.1_00082
OG0000091	OQ475017.1_00095	MG570131.1_00094
OG0000092	OQ475017.1_00099	MG570131.1_00098
OG0000093	OQ475017.1_00103	MG570131.1_00101
OG0000094	OQ475017.1_00106	MG570131.1_00104
OG0000095	OQ475017.1_00107	MG570131.1_00105
OG0000096	OQ475017.1_00118	MG570131.1_00116
OG0000097	OQ475017.1_00003	MG570131.1_00003
OG0000098	OQ475017.1_00004	MG570131.1_00004
OG0000099	OQ475017.1_00039	MG570131.1_00040
OG0000100	OQ475017.1_00043	MG570131.1_00044
OG0000101	OQ475017.1_00068	MG570131.1_00069
OG0000102	OQ475017.1_00076	MG570131.1_00076
OG0000103	OQ475017.1_00100	MG570131.1_00099
OG0000104	OQ475017.1_00104	MG570131.1_00102
OG0000105	OQ475017.1_00115	MG570131.1_00113
OG0000107	OQ475017.1_00101	MG570131.1_00100
OG0000108	OQ475017.1_00119	MG570131.1_00117
OG0000110	OQ475017.1_00117	MG570131.1_00115
OG0000111	OQ475017.1_00091	MG570131.1_00090
OG0000112	OQ475017.1_00077	MG570131.1_00077
OG0000115	OQ475017.1_00011	MG570131.1_00012
OG0000116	OQ475017.1_00053	MG570131.1_00054
OG0000121	OQ475017.1_00111	MG570131.1_00109
