Orthogroup	AY532606.1	KC244182.1
OG0000057	AY532606.1_00122	KC244182.1_00116
OG0000058	AY532606.1_00124	KC244182.1_00118
OG0000060	AY532606.1_00009	KC244182.1_00010
OG0000061	AY532606.1_00017	KC244182.1_00017
OG0000062	AY532606.1_00094	KC244182.1_00091
OG0000063	AY532606.1_00075	KC244182.1_00072
OG0000064	AY532606.1_00016	KC244182.1_00016
OG0000065	AY532606.1_00038	KC244182.1_00037
OG0000066	AY532606.1_00043	KC244182.1_00041
OG0000067	AY532606.1_00046	KC244182.1_00045
OG0000068	AY532606.1_00069	KC244182.1_00066
OG0000069	AY532606.1_00102	KC244182.1_00098
OG0000070	AY532606.1_00104	KC244182.1_00100
OG0000071	AY532606.1_00121	KC244182.1_00115
OG0000072	AY532606.1_00008	KC244182.1_00009
OG0000073	AY532606.1_00011	KC244182.1_00011
OG0000074	AY532606.1_00015	KC244182.1_00015
OG0000075	AY532606.1_00034	KC244182.1_00033
OG0000076	AY532606.1_00037	KC244182.1_00036
OG0000077	AY532606.1_00040	KC244182.1_00039
OG0000078	AY532606.1_00042	KC244182.1_00040
OG0000079	AY532606.1_00045	KC244182.1_00044
OG0000080	AY532606.1_00051	KC244182.1_00050
OG0000081	AY532606.1_00052	KC244182.1_00051
OG0000082	AY532606.1_00053	KC244182.1_00052
OG0000083	AY532606.1_00063	KC244182.1_00062
OG0000084	AY532606.1_00067	KC244182.1_00065
OG0000085	AY532606.1_00070	KC244182.1_00067
OG0000086	AY532606.1_00071	KC244182.1_00068
OG0000087	AY532606.1_00076	KC244182.1_00073
OG0000088	AY532606.1_00077	KC244182.1_00074
OG0000089	AY532606.1_00086	KC244182.1_00084
OG0000090	AY532606.1_00087	KC244182.1_00085
OG0000091	AY532606.1_00101	KC244182.1_00097
OG0000092	AY532606.1_00105	KC244182.1_00101
OG0000093	AY532606.1_00109	KC244182.1_00105
OG0000094	AY532606.1_00112	KC244182.1_00108
OG0000095	AY532606.1_00113	KC244182.1_00109
OG0000097	AY532606.1_00002	KC244182.1_00003
OG0000098	AY532606.1_00003	KC244182.1_00004
OG0000099	AY532606.1_00039	KC244182.1_00038
OG0000101	AY532606.1_00073	KC244182.1_00070
OG0000102	AY532606.1_00081	KC244182.1_00079
OG0000103	AY532606.1_00106	KC244182.1_00102
OG0000104	AY532606.1_00110	KC244182.1_00106
OG0000105	AY532606.1_00123	KC244182.1_00117
OG0000106	AY532606.1_00028	KC244182.1_00027
OG0000107	AY532606.1_00107	KC244182.1_00103
OG0000109	AY532606.1_00074	KC244182.1_00071
OG0000111	AY532606.1_00096	KC244182.1_00093
OG0000112	AY532606.1_00082	KC244182.1_00080
OG0000116	AY532606.1_00054	KC244182.1_00053
OG0000118	AY532606.1_00095	KC244182.1_00092
OG0000120	AY532606.1_00108	KC244182.1_00104
OG0000121	AY532606.1_00118	KC244182.1_00113
OG0000130	AY532606.1_00048	KC244182.1_00047
OG0000179	AY532606.1_00027	KC244182.1_00026
OG0000238	AY532606.1_00060	KC244182.1_00059
OG0000378	AY532606.1_00072	KC244182.1_00069
