Orthogroup	MN432490.1	MT926123.1
OG0000069	MN432490.1_00100	MT926123.1_00099
OG0000070	MN432490.1_00102	MT926123.1_00101
OG0000071	MN432490.1_00115	MT926123.1_00114
OG0000072	MN432490.1_00009	MT926123.1_00009
OG0000073	MN432490.1_00012	MT926123.1_00012
OG0000074	MN432490.1_00016	MT926123.1_00016
OG0000075	MN432490.1_00036	MT926123.1_00036
OG0000076	MN432490.1_00039	MT926123.1_00039
OG0000077	MN432490.1_00042	MT926123.1_00042
OG0000078	MN432490.1_00043	MT926123.1_00043
OG0000079	MN432490.1_00047	MT926123.1_00047
OG0000080	MN432490.1_00052	MT926123.1_00052
OG0000081	MN432490.1_00053	MT926123.1_00053
OG0000082	MN432490.1_00054	MT926123.1_00054
OG0000083	MN432490.1_00063	MT926123.1_00064
OG0000084	MN432490.1_00066	MT926123.1_00067
OG0000085	MN432490.1_00069	MT926123.1_00070
OG0000086	MN432490.1_00070	MT926123.1_00071
OG0000087	MN432490.1_00075	MT926123.1_00076
OG0000088	MN432490.1_00076	MT926123.1_00077
OG0000089	MN432490.1_00086	MT926123.1_00087
OG0000090	MN432490.1_00087	MT926123.1_00088
OG0000091	MN432490.1_00099	MT926123.1_00098
OG0000092	MN432490.1_00103	MT926123.1_00102
OG0000093	MN432490.1_00106	MT926123.1_00105
OG0000094	MN432490.1_00109	MT926123.1_00108
OG0000095	MN432490.1_00110	MT926123.1_00109
OG0000096	MN432490.1_00120	MT926123.1_00118
OG0000097	MN432490.1_00003	MT926123.1_00003
OG0000098	MN432490.1_00004	MT926123.1_00004
OG0000099	MN432490.1_00041	MT926123.1_00041
OG0000100	MN432490.1_00045	MT926123.1_00045
OG0000101	MN432490.1_00071	MT926123.1_00072
OG0000102	MN432490.1_00081	MT926123.1_00082
OG0000103	MN432490.1_00104	MT926123.1_00103
OG0000104	MN432490.1_00107	MT926123.1_00106
OG0000105	MN432490.1_00117	MT926123.1_00116
OG0000106	MN432490.1_00030	MT926123.1_00030
OG0000107	MN432490.1_00105	MT926123.1_00104
OG0000108	MN432490.1_00121	MT926123.1_00119
OG0000109	MN432490.1_00072	MT926123.1_00073
OG0000113	MN432490.1_00022	MT926123.1_00021
OG0000114	MN432490.1_00011	MT926123.1_00011
OG0000115	MN432490.1_00055	MT926123.1_00055
OG0000117	MN432490.1_00094	MT926123.1_00094
OG0000123	MN432490.1_00027	MT926123.1_00027
OG0000129	MN432490.1_00074	MT926123.1_00075
OG0000135	MN432490.1_00077	MT926123.1_00078
OG0000192	MN432490.1_00026	MT926123.1_00025
