Orthogroup	OP009387.1	KT804738.1
OG0000077	OP009387.1_00040	KT804738.1_00039
OG0000078	OP009387.1_00041	KT804738.1_00040
OG0000079	OP009387.1_00045	KT804738.1_00044
OG0000080	OP009387.1_00051	KT804738.1_00049
OG0000081	OP009387.1_00052	KT804738.1_00050
OG0000082	OP009387.1_00053	KT804738.1_00051
OG0000083	OP009387.1_00063	KT804738.1_00059
OG0000084	OP009387.1_00066	KT804738.1_00062
OG0000085	OP009387.1_00068	KT804738.1_00065
OG0000086	OP009387.1_00069	KT804738.1_00066
OG0000087	OP009387.1_00074	KT804738.1_00070
OG0000088	OP009387.1_00075	KT804738.1_00071
OG0000089	OP009387.1_00085	KT804738.1_00080
OG0000090	OP009387.1_00086	KT804738.1_00081
OG0000091	OP009387.1_00097	KT804738.1_00094
OG0000092	OP009387.1_00101	KT804738.1_00098
OG0000093	OP009387.1_00105	KT804738.1_00102
OG0000094	OP009387.1_00108	KT804738.1_00105
OG0000095	OP009387.1_00109	KT804738.1_00106
OG0000096	OP009387.1_00119	KT804738.1_00117
OG0000097	OP009387.1_00003	KT804738.1_00003
OG0000098	OP009387.1_00004	KT804738.1_00004
OG0000099	OP009387.1_00039	KT804738.1_00038
OG0000100	OP009387.1_00043	KT804738.1_00042
OG0000101	OP009387.1_00070	KT804738.1_00067
OG0000102	OP009387.1_00080	KT804738.1_00075
OG0000103	OP009387.1_00102	KT804738.1_00099
OG0000104	OP009387.1_00106	KT804738.1_00103
OG0000105	OP009387.1_00116	KT804738.1_00114
OG0000106	OP009387.1_00028	KT804738.1_00027
OG0000107	OP009387.1_00103	KT804738.1_00100
OG0000108	OP009387.1_00120	KT804738.1_00118
OG0000109	OP009387.1_00071	KT804738.1_00068
OG0000110	OP009387.1_00118	KT804738.1_00116
OG0000112	OP009387.1_00081	KT804738.1_00076
OG0000115	OP009387.1_00054	KT804738.1_00052
OG0000118	OP009387.1_00104	KT804738.1_00101
