Orthogroup	MT986830.1	KT804738.1
OG0000061	MT986830.1_00018	KT804738.1_00018
OG0000062	MT986830.1_00095	KT804738.1_00087
OG0000063	MT986830.1_00075	KT804738.1_00069
OG0000064	MT986830.1_00017	KT804738.1_00017
OG0000065	MT986830.1_00041	KT804738.1_00037
OG0000066	MT986830.1_00044	KT804738.1_00041
OG0000067	MT986830.1_00048	KT804738.1_00045
OG0000068	MT986830.1_00069	KT804738.1_00064
OG0000069	MT986830.1_00103	KT804738.1_00095
OG0000070	MT986830.1_00105	KT804738.1_00097
OG0000071	MT986830.1_00118	KT804738.1_00112
OG0000072	MT986830.1_00009	KT804738.1_00009
OG0000073	MT986830.1_00012	KT804738.1_00011
OG0000074	MT986830.1_00016	KT804738.1_00016
OG0000075	MT986830.1_00037	KT804738.1_00033
OG0000076	MT986830.1_00040	KT804738.1_00036
OG0000077	MT986830.1_00042	KT804738.1_00039
OG0000078	MT986830.1_00043	KT804738.1_00040
OG0000079	MT986830.1_00047	KT804738.1_00044
OG0000080	MT986830.1_00053	KT804738.1_00049
OG0000081	MT986830.1_00054	KT804738.1_00050
OG0000082	MT986830.1_00055	KT804738.1_00051
OG0000083	MT986830.1_00064	KT804738.1_00059
OG0000084	MT986830.1_00067	KT804738.1_00062
OG0000085	MT986830.1_00071	KT804738.1_00065
OG0000086	MT986830.1_00072	KT804738.1_00066
OG0000087	MT986830.1_00077	KT804738.1_00070
OG0000088	MT986830.1_00078	KT804738.1_00071
OG0000089	MT986830.1_00088	KT804738.1_00080
OG0000090	MT986830.1_00089	KT804738.1_00081
OG0000091	MT986830.1_00102	KT804738.1_00094
OG0000092	MT986830.1_00106	KT804738.1_00098
OG0000093	MT986830.1_00109	KT804738.1_00102
OG0000094	MT986830.1_00112	KT804738.1_00105
OG0000095	MT986830.1_00113	KT804738.1_00106
OG0000096	MT986830.1_00123	KT804738.1_00117
OG0000097	MT986830.1_00003	KT804738.1_00003
OG0000098	MT986830.1_00004	KT804738.1_00004
OG0000100	MT986830.1_00045	KT804738.1_00042
OG0000101	MT986830.1_00073	KT804738.1_00067
OG0000102	MT986830.1_00083	KT804738.1_00075
OG0000103	MT986830.1_00107	KT804738.1_00099
OG0000104	MT986830.1_00110	KT804738.1_00103
OG0000105	MT986830.1_00120	KT804738.1_00114
OG0000106	MT986830.1_00031	KT804738.1_00027
OG0000107	MT986830.1_00108	KT804738.1_00100
OG0000108	MT986830.1_00124	KT804738.1_00118
OG0000109	MT986830.1_00074	KT804738.1_00068
OG0000110	MT986830.1_00122	KT804738.1_00116
OG0000111	MT986830.1_00098	KT804738.1_00090
OG0000112	MT986830.1_00084	KT804738.1_00076
OG0000116	MT986830.1_00056	KT804738.1_00052
OG0000117	MT986830.1_00068	KT804738.1_00063
OG0000131	MT986830.1_00096	KT804738.1_00088
OG0000180	MT986830.1_00097	KT804738.1_00089
