Orthogroup	KT804738.1	OK042109.1
OG0000059	KT804738.1_00002	OK042109.1_00074
OG0000060	KT804738.1_00010	OK042109.1_00066
OG0000061	KT804738.1_00018	OK042109.1_00058
OG0000062	KT804738.1_00087	OK042109.1_00109
OG0000063	KT804738.1_00069	OK042109.1_00005
OG0000064	KT804738.1_00017	OK042109.1_00059
OG0000065	KT804738.1_00037	OK042109.1_00039
OG0000066	KT804738.1_00041	OK042109.1_00035
OG0000067	KT804738.1_00045	OK042109.1_00031
OG0000068	KT804738.1_00064	OK042109.1_00010
OG0000069	KT804738.1_00095	OK042109.1_00102
OG0000070	KT804738.1_00097	OK042109.1_00100
OG0000071	KT804738.1_00112	OK042109.1_00085
OG0000072	KT804738.1_00009	OK042109.1_00067
OG0000073	KT804738.1_00011	OK042109.1_00064
OG0000074	KT804738.1_00016	OK042109.1_00060
OG0000075	KT804738.1_00033	OK042109.1_00043
OG0000076	KT804738.1_00036	OK042109.1_00040
OG0000077	KT804738.1_00039	OK042109.1_00037
OG0000078	KT804738.1_00040	OK042109.1_00036
OG0000079	KT804738.1_00044	OK042109.1_00032
OG0000080	KT804738.1_00049	OK042109.1_00026
OG0000081	KT804738.1_00050	OK042109.1_00025
OG0000082	KT804738.1_00051	OK042109.1_00024
OG0000083	KT804738.1_00059	OK042109.1_00014
OG0000084	KT804738.1_00062	OK042109.1_00012
OG0000085	KT804738.1_00065	OK042109.1_00009
OG0000086	KT804738.1_00066	OK042109.1_00008
OG0000087	KT804738.1_00070	OK042109.1_00004
OG0000088	KT804738.1_00071	OK042109.1_00003
OG0000089	KT804738.1_00080	OK042109.1_00116
OG0000090	KT804738.1_00081	OK042109.1_00115
OG0000091	KT804738.1_00094	OK042109.1_00103
OG0000092	KT804738.1_00098	OK042109.1_00099
OG0000093	KT804738.1_00102	OK042109.1_00095
OG0000094	KT804738.1_00105	OK042109.1_00092
OG0000095	KT804738.1_00106	OK042109.1_00091
OG0000096	KT804738.1_00117	OK042109.1_00080
OG0000097	KT804738.1_00003	OK042109.1_00073
OG0000098	KT804738.1_00004	OK042109.1_00072
OG0000099	KT804738.1_00038	OK042109.1_00038
OG0000100	KT804738.1_00042	OK042109.1_00034
OG0000101	KT804738.1_00067	OK042109.1_00007
OG0000102	KT804738.1_00075	OK042109.1_00121
OG0000103	KT804738.1_00099	OK042109.1_00098
OG0000104	KT804738.1_00103	OK042109.1_00094
OG0000105	KT804738.1_00114	OK042109.1_00083
OG0000106	KT804738.1_00027	OK042109.1_00049
OG0000107	KT804738.1_00100	OK042109.1_00097
OG0000108	KT804738.1_00118	OK042109.1_00079
OG0000109	KT804738.1_00068	OK042109.1_00006
OG0000110	KT804738.1_00116	OK042109.1_00081
OG0000111	KT804738.1_00090	OK042109.1_00107
OG0000112	KT804738.1_00076	OK042109.1_00120
OG0000116	KT804738.1_00052	OK042109.1_00023
OG0000117	KT804738.1_00063	OK042109.1_00011
OG0000120	KT804738.1_00101	OK042109.1_00096
OG0000121	KT804738.1_00110	OK042109.1_00087
