Orthogroup	PQ335173_PQ335174	MN562489
OG0000034	PQ335173_PQ335174_00006 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00046 hypothetical protein
OG0000035	PQ335173_PQ335174_00005 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00045 hypothetical protein
OG0000036	PQ335173_PQ335174_00002 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00040 hypothetical protein
OG0000037	PQ335173_PQ335174_00091 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00106 hypothetical protein
OG0000038	PQ335173_PQ335174_00090 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00105 hypothetical protein
OG0000039	PQ335173_PQ335174_00086 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00100 hypothetical protein
OG0000040	PQ335173_PQ335174_00085 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00099 hypothetical protein
OG0000041	PQ335173_PQ335174_00081 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00096 hypothetical protein
OG0000042	PQ335173_PQ335174_00066 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00020 hypothetical protein
OG0000043	PQ335173_PQ335174_00065 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00019 hypothetical protein
OG0000044	PQ335173_PQ335174_00064 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00018 hypothetical protein
OG0000045	PQ335173_PQ335174_00063 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00130 hypothetical protein
OG0000046	PQ335173_PQ335174_00057 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00086 hypothetical protein
OG0000047	PQ335173_PQ335174_00051 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00081 hypothetical protein
OG0000048	PQ335173_PQ335174_00049 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00032 hypothetical protein
OG0000049	PQ335173_PQ335174_00035 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00033 hypothetical protein
OG0000050	PQ335173_PQ335174_00042 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00075 hypothetical protein
OG0000051	PQ335173_PQ335174_00046 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00079 hypothetical protein
OG0000052	PQ335173_PQ335174_00031 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00091 hypothetical protein
OG0000054	PQ335173_PQ335174_00001 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00048 hypothetical protein
OG0000055	PQ335173_PQ335174_00111 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00122 hypothetical protein
OG0000056	PQ335173_PQ335174_00055 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00083 hypothetical protein
OG0000057	PQ335173_PQ335174_00054 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00082 hypothetical protein
OG0000060	PQ335173_PQ335174_00026 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00028 hypothetical protein
OG0000061	PQ335173_PQ335174_00015 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00054 hypothetical protein
OG0000109	PQ335173_PQ335174_00080 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00095 hypothetical protein
OG0000114	PQ335173_PQ335174_00082 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00085 hypothetical protein
OG0000116	PQ335173_PQ335174_00014 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00053 hypothetical protein
OG0000117	PQ335173_PQ335174_00087 PQ335173_PQ335174 - hypothetical protein translation	OM037668.1_00101 hypothetical protein
