Orthogroup	AF303741.1	HF920637.1
OG0000134	AF303741.1_00126	HF920637.1_00219
OG0000135	AF303741.1_00157	HF920637.1_00014
OG0000137	AF303741.1_00031	HF920637.1_00105
OG0000138	AF303741.1_00100, AF303741.1_00162	HF920637.1_00181
OG0000139	AF303741.1_00101	HF920637.1_00123
OG0000148	AF303741.1_00072	HF920637.1_00060
OG0000149	AF303741.1_00185	HF920637.1_00169
OG0000152	AF303741.1_00099, AF303741.1_00070	HF920637.1_00151
OG0000153	AF303741.1_00145	HF920637.1_00011
OG0000153	AF303741.1_00090	HF920637.1_00180
OG0000154	AF303741.1_00182	HF920637.1_00071
OG0000155	AF303741.1_00183	HF920637.1_00168
OG0000156	AF303741.1_00192	HF920637.1_00150
OG0000164	AF303741.1_00009	HF920637.1_00013
OG0000165	AF303741.1_00147, AF303741.1_00049, AF303741.1_00078, AF303741.1_00083	HF920637.1_00116
OG0000166	AF303741.1_00056	HF920637.1_00056
OG0000167	AF303741.1_00068, AF303741.1_00067	HF920637.1_00140
OG0000168	AF303741.1_00076	HF920637.1_00095
OG0000169	AF303741.1_00087	HF920637.1_00049
OG0000170	AF303741.1_00091	HF920637.1_00120
OG0000171	AF303741.1_00096	HF920637.1_00045
OG0000174	AF303741.1_00179	HF920637.1_00067
OG0000175	AF303741.1_00181	HF920637.1_00069
OG0000184	AF303741.1_00141, AF303741.1_00142	HF920637.1_00122
OG0000184	AF303741.1_00001	HF920637.1_00062
OG0000185	AF303741.1_00003	HF920637.1_00020
OG0000186	AF303741.1_00004	HF920637.1_00139
OG0000187	AF303741.1_00015	HF920637.1_00100
OG0000188	AF303741.1_00017	HF920637.1_00212
OG0000189	AF303741.1_00085	HF920637.1_00047
OG0000190	AF303741.1_00086	HF920637.1_00048
OG0000192	AF303741.1_00112	HF920637.1_00085
OG0000193	AF303741.1_00122	HF920637.1_00019
OG0000194	AF303741.1_00136	HF920637.1_00193
OG0000195	AF303741.1_00146	HF920637.1_00043
OG0000196	AF303741.1_00148	HF920637.1_00160
OG0000197	AF303741.1_00150	HF920637.1_00192
OG0000198	AF303741.1_00151	HF920637.1_00070
OG0000199	AF303741.1_00161	HF920637.1_00194
OG0000200	AF303741.1_00174	HF920637.1_00133, HF920637.1_00142, HF920637.1_00136
OG0000201	AF303741.1_00177	HF920637.1_00035
OG0000202	AF303741.1_00184	HF920637.1_00009
OG0000203	AF303741.1_00193	HF920637.1_00149
OG0000204	AF303741.1_00197	HF920637.1_00005
OG0000214	AF303741.1_00008	HF920637.1_00215
OG0000215	AF303741.1_00012	HF920637.1_00065, HF920637.1_00115, HF920637.1_00177
OG0000216	AF303741.1_00018	HF920637.1_00211
OG0000217	AF303741.1_00024	HF920637.1_00008, HF920637.1_00200, HF920637.1_00083
OG0000218	AF303741.1_00042	HF920637.1_00188
OG0000219	AF303741.1_00044	HF920637.1_00187
OG0000220	AF303741.1_00064	HF920637.1_00074
OG0000222	AF303741.1_00107	HF920637.1_00204
OG0000223	AF303741.1_00120	HF920637.1_00124
OG0000224	AF303741.1_00124	HF920637.1_00144
OG0000225	AF303741.1_00135	HF920637.1_00167
OG0000226	AF303741.1_00159	HF920637.1_00040
OG0000227	AF303741.1_00160	HF920637.1_00195
OG0000228	AF303741.1_00175	HF920637.1_00012
OG0000229	AF303741.1_00203	HF920637.1_00022
OG0000230	AF303741.1_00204	HF920637.1_00021
OG0000282	AF303741.1_00053	HF920637.1_00053
OG0000283	AF303741.1_00077	HF920637.1_00090
OG0000284	AF303741.1_00093	HF920637.1_00174
OG0000287	AF303741.1_00201	HF920637.1_00063
OG0000288	AF303741.1_00202	HF920637.1_00064
OG0000311	AF303741.1_00010	HF920637.1_00214
OG0000312	AF303741.1_00014	HF920637.1_00154
OG0000314	AF303741.1_00020	HF920637.1_00155
OG0000315	AF303741.1_00025	HF920637.1_00131
OG0000316	AF303741.1_00027	HF920637.1_00107
OG0000317	AF303741.1_00034	HF920637.1_00103
OG0000318	AF303741.1_00040	HF920637.1_00191
OG0000320	AF303741.1_00045	HF920637.1_00186
OG0000322	AF303741.1_00050	HF920637.1_00179
OG0000323	AF303741.1_00052	HF920637.1_00055
OG0000324	AF303741.1_00055	HF920637.1_00050
OG0000325	AF303741.1_00060	HF920637.1_00082
OG0000326	AF303741.1_00061	HF920637.1_00081
OG0000328	AF303741.1_00092	HF920637.1_00104
OG0000329	AF303741.1_00097	HF920637.1_00046
OG0000330	AF303741.1_00098	HF920637.1_00171
OG0000331	AF303741.1_00102	HF920637.1_00088
OG0000332	AF303741.1_00106	HF920637.1_00018
OG0000334	AF303741.1_00113	HF920637.1_00006
OG0000335	AF303741.1_00118	HF920637.1_00126
OG0000336	AF303741.1_00119	HF920637.1_00125
OG0000337	AF303741.1_00131	HF920637.1_00135
OG0000338	AF303741.1_00139	HF920637.1_00207
OG0000339	AF303741.1_00140	HF920637.1_00202
OG0000340	AF303741.1_00143	HF920637.1_00209
OG0000341	AF303741.1_00155	HF920637.1_00032
OG0000342	AF303741.1_00163	HF920637.1_00023
OG0000343	AF303741.1_00166	HF920637.1_00002
OG0000344	AF303741.1_00167	HF920637.1_00185
OG0000345	AF303741.1_00172	HF920637.1_00134
OG0000348	AF303741.1_00187	HF920637.1_00173
OG0000349	AF303741.1_00190	HF920637.1_00203
OG0000350	AF303741.1_00196	HF920637.1_00030
OG0000351	AF303741.1_00198	HF920637.1_00007
OG0000352	AF303741.1_00199	HF920637.1_00076
