Orthogroup	ON075463.1	KT804738.1
OG0000109	ON075463.1_00069	KT804738.1_00068
OG0000110	ON075463.1_00116	KT804738.1_00116
OG0000111	ON075463.1_00090	KT804738.1_00090
OG0000112	ON075463.1_00077	KT804738.1_00076
OG0000115	ON075463.1_00052	KT804738.1_00052
OG0000116	ON075463.1_00064	KT804738.1_00063
OG0000118	ON075463.1_00101	KT804738.1_00101
OG0000119	ON075463.1_00110	KT804738.1_00110
OG0000131	ON075463.1_00089	KT804738.1_00088
OG0000163	ON075463.1_00026	KT804738.1_00026
OG0000174	ON075463.1_00024	KT804738.1_00024
