Orthogroup	ON075463.1	GQ273492.1
OG0000048	ON075463.1_00058	GQ273492.1_00060
OG0000049	ON075463.1_00075	GQ273492.1_00075
OG0000050	ON075463.1_00079	GQ273492.1_00079
OG0000051	ON075463.1_00080	GQ273492.1_00080
OG0000052	ON075463.1_00091	GQ273492.1_00091
OG0000053	ON075463.1_00093	GQ273492.1_00093
OG0000054	ON075463.1_00096	GQ273492.1_00096
OG0000055	ON075463.1_00108	GQ273492.1_00107
OG0000056	ON075463.1_00113	GQ273492.1_00112
OG0000057	ON075463.1_00115	GQ273492.1_00114
OG0000058	ON075463.1_00002	GQ273492.1_00002
OG0000060	ON075463.1_00017	GQ273492.1_00018
OG0000061	ON075463.1_00088	GQ273492.1_00088
OG0000062	ON075463.1_00025	GQ273492.1_00027
OG0000063	ON075463.1_00070	GQ273492.1_00070
OG0000064	ON075463.1_00016	GQ273492.1_00017
OG0000065	ON075463.1_00037	GQ273492.1_00038
OG0000066	ON075463.1_00041	GQ273492.1_00042
OG0000067	ON075463.1_00045	GQ273492.1_00046
OG0000068	ON075463.1_00065	GQ273492.1_00066
OG0000069	ON075463.1_00095	GQ273492.1_00095
OG0000070	ON075463.1_00097	GQ273492.1_00097
OG0000071	ON075463.1_00112	GQ273492.1_00111
OG0000072	ON075463.1_00009	GQ273492.1_00009
OG0000073	ON075463.1_00011	GQ273492.1_00012
OG0000074	ON075463.1_00015	GQ273492.1_00016
OG0000075	ON075463.1_00033	GQ273492.1_00034
OG0000076	ON075463.1_00036	GQ273492.1_00037
OG0000077	ON075463.1_00039	GQ273492.1_00040
OG0000078	ON075463.1_00040	GQ273492.1_00041
OG0000079	ON075463.1_00044	GQ273492.1_00045
OG0000080	ON075463.1_00049	GQ273492.1_00050
OG0000081	ON075463.1_00050	GQ273492.1_00051
OG0000082	ON075463.1_00051	GQ273492.1_00052
OG0000083	ON075463.1_00060	GQ273492.1_00062
OG0000084	ON075463.1_00063	GQ273492.1_00065
OG0000085	ON075463.1_00066	GQ273492.1_00067
OG0000086	ON075463.1_00067	GQ273492.1_00068
OG0000087	ON075463.1_00071	GQ273492.1_00071
OG0000088	ON075463.1_00072	GQ273492.1_00072
OG0000089	ON075463.1_00081	GQ273492.1_00081
OG0000090	ON075463.1_00082	GQ273492.1_00082
OG0000091	ON075463.1_00094	GQ273492.1_00094
OG0000092	ON075463.1_00098	GQ273492.1_00098
OG0000093	ON075463.1_00102	GQ273492.1_00101
OG0000094	ON075463.1_00105	GQ273492.1_00104
OG0000095	ON075463.1_00106	GQ273492.1_00105
OG0000097	ON075463.1_00003	GQ273492.1_00003
OG0000098	ON075463.1_00004	GQ273492.1_00004
OG0000099	ON075463.1_00038	GQ273492.1_00039
OG0000100	ON075463.1_00042	GQ273492.1_00043
OG0000102	ON075463.1_00076	GQ273492.1_00076
OG0000103	ON075463.1_00099	GQ273492.1_00099
OG0000104	ON075463.1_00103	GQ273492.1_00102
OG0000105	ON075463.1_00114	GQ273492.1_00113
OG0000106	ON075463.1_00027	GQ273492.1_00028
OG0000107	ON075463.1_00100	GQ273492.1_00100
OG0000108	ON075463.1_00117	GQ273492.1_00117
OG0000110	ON075463.1_00116	GQ273492.1_00115
OG0000111	ON075463.1_00090	GQ273492.1_00090
OG0000112	ON075463.1_00077	GQ273492.1_00077
OG0000115	ON075463.1_00052	GQ273492.1_00053
OG0000119	ON075463.1_00110	GQ273492.1_00109
