Orthogroup	HF920637	KF938901
OG0000159	HF920637.1_00056 HF920637.1 - hypothetical protein translation	KF938901.1_00102 hypothetical protein
OG0000160	HF920637.1_00140 HF920637.1 - hypothetical protein translation	KF938901.1_00075 hypothetical protein
OG0000161	HF920637.1_00095 HF920637.1 - hypothetical protein translation	KF938901.1_00117 hypothetical protein
OG0000162	HF920637.1_00049 HF920637.1 - hypothetical protein translation	KF938901.1_00103 hypothetical protein
OG0000163	HF920637.1_00120 HF920637.1 - DNA ligase translation	KF938901.1_00128 DNA ligase
OG0000164	HF920637.1_00045 HF920637.1 - hypothetical protein translation	KF938901.1_00121 hypothetical protein
OG0000166	HF920637.1_00148 HF920637.1 - hypothetical protein translation, HF920637.1_00077 HF920637.1 - hypothetical protein translation	KF938901.1_00104 hypothetical protein
OG0000167	HF920637.1_00067 HF920637.1 - hypothetical protein translation	KF938901.1_00150 hypothetical protein
OG0000168	HF920637.1_00069 HF920637.1 - hypothetical protein translation	KF938901.1_00006 hypothetical protein, KF938901.1_00105 hypothetical protein
OG0000169	HF920637.1_00071 HF920637.1 - hypothetical protein translation	KF938901.1_00153 hypothetical protein
OG0000169	HF920637.1_00162 HF920637.1 - hypothetical protein translation	KF938901.1_00066 hypothetical protein
OG0000175	HF920637.1_00020 HF920637.1 - hypothetical protein translation	KF938901.1_00116 hypothetical protein
OG0000176	HF920637.1_00139 HF920637.1 - hypothetical protein translation	KF938901.1_00133 hypothetical protein
OG0000178	HF920637.1_00100 HF920637.1 - DNA topoisomerase 2 translation	KF938901.1_00141 DNA topoisomerase 2
OG0000179	HF920637.1_00212 HF920637.1 - hypothetical protein translation	KF938901.1_00014 hypothetical protein
OG0000180	HF920637.1_00047 HF920637.1 - hypothetical protein translation	KF938901.1_00100 hypothetical protein
OG0000181	HF920637.1_00048 HF920637.1 - hypothetical protein translation	KF938901.1_00099 hypothetical protein
OG0000183	HF920637.1_00085 HF920637.1 - hypothetical protein translation	KF938901.1_00152 hypothetical protein
OG0000185	HF920637.1_00019 HF920637.1 - hypothetical protein translation	KF938901.1_00063 hypothetical protein
OG0000186	HF920637.1_00193 HF920637.1 - hypothetical protein translation	KF938901.1_00134 hypothetical protein
OG0000187	HF920637.1_00043 HF920637.1 - hypothetical protein translation	KF938901.1_00139 hypothetical protein
OG0000188	HF920637.1_00160 HF920637.1 - hypothetical protein translation	KF938901.1_00070 hypothetical protein
OG0000189	HF920637.1_00192 HF920637.1 - hypothetical protein translation	KF938901.1_00146 hypothetical protein
OG0000190	HF920637.1_00070 HF920637.1 - hypothetical protein translation	KF938901.1_00077 hypothetical protein
OG0000191	HF920637.1_00194 HF920637.1 - hypothetical protein translation	KF938901.1_00079 hypothetical protein
OG0000193	HF920637.1_00035 HF920637.1 - hypothetical protein translation	KF938901.1_00010 hypothetical protein
OG0000194	HF920637.1_00009 HF920637.1 - hypothetical protein translation	KF938901.1_00008 hypothetical protein
OG0000195	HF920637.1_00149 HF920637.1 - hypothetical protein translation	KF938901.1_00113 hypothetical protein
OG0000196	HF920637.1_00005 HF920637.1 - hypothetical protein translation	KF938901.1_00148 hypothetical protein
OG0000200	HF920637.1_00024 HF920637.1 - hypothetical protein translation	KF938901.1_00137 hypothetical protein
OG0000204	HF920637.1_00211 HF920637.1 - hypothetical protein translation	KF938901.1_00130 hypothetical protein
OG0000206	HF920637.1_00188 HF920637.1 - hypothetical protein translation	KF938901.1_00057 hypothetical protein
OG0000207	HF920637.1_00187 HF920637.1 - hypothetical protein translation	KF938901.1_00082 hypothetical protein
OG0000208	HF920637.1_00074 HF920637.1 - hypothetical protein translation	KF938901.1_00109 hypothetical protein
OG0000210	HF920637.1_00204 HF920637.1 - hypothetical protein translation	KF938901.1_00098 hypothetical protein
OG0000211	HF920637.1_00124 HF920637.1 - hypothetical protein translation	KF938901.1_00136 hypothetical protein
OG0000212	HF920637.1_00144 HF920637.1 - hypothetical protein translation	KF938901.1_00045 hypothetical protein
OG0000213	HF920637.1_00167 HF920637.1 - hypothetical protein translation	KF938901.1_00090 hypothetical protein
OG0000214	HF920637.1_00040 HF920637.1 - hypothetical protein translation	KF938901.1_00155 hypothetical protein
OG0000215	HF920637.1_00195 HF920637.1 - hypothetical protein translation	KF938901.1_00035 hypothetical protein
OG0000216	HF920637.1_00012 HF920637.1 - hypothetical protein translation	KF938901.1_00062 hypothetical protein
OG0000217	HF920637.1_00022 HF920637.1 - hypothetical protein translation	KF938901.1_00107 hypothetical protein
OG0000218	HF920637.1_00021 HF920637.1 - hypothetical protein translation	KF938901.1_00154 hypothetical protein
OG0000235	HF920637.1_00053 HF920637.1 - hypothetical protein translation	KF938901.1_00015 hypothetical protein
OG0000237	HF920637.1_00174 HF920637.1 - hypothetical protein translation	KF938901.1_00016 hypothetical protein
OG0000241	HF920637.1_00063 HF920637.1 - hypothetical protein translation	KF938901.1_00122 hypothetical protein
OG0000392	HF920637.1_00078 HF920637.1 - hypothetical protein translation	KF938901.1_00157 hypothetical protein
