Orthogroup	AY521625	NC_005946
OG0000020	AY521625.1_00073 AY521625.1 - hypothetical protein translation	NC_005946.1_00082 hypothetical protein
OG0000021	AY521625.1_00100 AY521625.1 - hypothetical protein translation	NC_005946.1_00014 hypothetical protein
OG0000022	AY521625.1_00069 AY521625.1 - hypothetical protein translation	NC_005946.1_00028 hypothetical protein
OG0000023	AY521625.1_00062 AY521625.1 - hypothetical protein translation	NC_005946.1_00089 hypothetical protein
OG0000026	AY521625.1_00022 AY521625.1 - hypothetical protein translation	NC_005946.1_00049 hypothetical protein
OG0000027	AY521625.1_00060 AY521625.1 - hypothetical protein translation	NC_005946.1_00086 hypothetical protein
OG0000126	AY521625.1_00036 AY521625.1 - hypothetical protein translation	NC_005946.1_00020 hypothetical protein
OG0000132	AY521625.1_00098 AY521625.1 - hypothetical protein translation	NC_005946.1_00001 hypothetical protein
OG0000134	AY521625.1_00056 AY521625.1 - Ribonucleoside-diphosphate reductase large subunit translation	NC_005946.1_00039 Ribonucleoside-diphosphate reductase large subunit
OG0000140	AY521625.1_00133 AY521625.1 - hypothetical protein translation	NC_005946.1_00054 hypothetical protein
OG0000149	AY521625.1_00044 AY521625.1 - Deoxyuridine	NC_005946.1_00063 Deoxyuridine
OG0000150	AY521625.1_00002 AY521625.1 - hypothetical protein translation	NC_005946.1_00052 hypothetical protein
OG0000152	AY521625.1_00018 AY521625.1 - hypothetical protein translation	NC_005946.1_00044 hypothetical protein
OG0000155	AY521625.1_00126 AY521625.1 - hypothetical protein translation	NC_005946.1_00075 hypothetical protein
OG0000165	AY521625.1_00014 AY521625.1 - hypothetical protein translation	NC_005946.1_00004 hypothetical protein
OG0000170	AY521625.1_00005 AY521625.1 - hypothetical protein translation	NC_005946.1_00026 hypothetical protein
OG0000171	AY521625.1_00011 AY521625.1 - hypothetical protein translation	NC_005946.1_00033 hypothetical protein
OG0000172	AY521625.1_00140 AY521625.1 - hypothetical protein translation	NC_005946.1_00029 hypothetical protein
OG0000197	AY521625.1_00066 AY521625.1 - hypothetical protein translation	NC_005946.1_00062 hypothetical protein
OG0000220	AY521625.1_00023 AY521625.1 - hypothetical protein translation	NC_005946.1_00051 hypothetical protein
OG0000222	AY521625.1_00061 AY521625.1 - hypothetical protein translation	NC_005946.1_00088 hypothetical protein
OG0000223	AY521625.1_00094 AY521625.1 - hypothetical protein translation	NC_005946.1_00096 hypothetical protein
OG0000224	AY521625.1_00116 AY521625.1 - hypothetical protein translation	NC_005946.1_00015 hypothetical protein
OG0000225	AY521625.1_00128 AY521625.1 - hypothetical protein translation	NC_005946.1_00073 hypothetical protein
OG0000243	AY521625.1_00010 AY521625.1 - hypothetical protein translation	NC_005946.1_00034 hypothetical protein
OG0000244	AY521625.1_00043 AY521625.1 - hypothetical protein translation	NC_005946.1_00064 hypothetical protein
OG0000340	AY521625.1_00008 AY521625.1 - hypothetical protein translation	NC_005946.1_00035 hypothetical protein
OG0000341	AY521625.1_00013 AY521625.1 - hypothetical protein translation	NC_005946.1_00005 hypothetical protein
OG0000342	AY521625.1_00015 AY521625.1 - hypothetical protein translation	NC_005946.1_00003 hypothetical protein
OG0000343	AY521625.1_00020 AY521625.1 - hypothetical protein translation	NC_005946.1_00047 hypothetical protein
OG0000344	AY521625.1_00039 AY521625.1 - hypothetical protein translation	NC_005946.1_00018 hypothetical protein
OG0000345	AY521625.1_00052 AY521625.1 - hypothetical protein translation	NC_005946.1_00012 hypothetical protein
OG0000346	AY521625.1_00063 AY521625.1 - hypothetical protein translation	NC_005946.1_00090 hypothetical protein
OG0000348	AY521625.1_00072 AY521625.1 - hypothetical protein translation	NC_005946.1_00081 hypothetical protein
OG0000349	AY521625.1_00075 AY521625.1 - hypothetical protein translation	NC_005946.1_00084 hypothetical protein
OG0000351	AY521625.1_00090 AY521625.1 - hypothetical protein translation	NC_005946.1_00013 hypothetical protein
OG0000352	AY521625.1_00102 AY521625.1 - hypothetical protein translation	NC_005946.1_00079 hypothetical protein
OG0000353	AY521625.1_00104 AY521625.1 - hypothetical protein translation	NC_005946.1_00080 hypothetical protein
OG0000354	AY521625.1_00105 AY521625.1 - hypothetical protein translation	NC_005946.1_00059 hypothetical protein
OG0000355	AY521625.1_00113 AY521625.1 - hypothetical protein translation	NC_005946.1_00017 hypothetical protein
OG0000356	AY521625.1_00117 AY521625.1 - hypothetical protein translation	NC_005946.1_00077 hypothetical protein
OG0000357	AY521625.1_00118 AY521625.1 - hypothetical protein translation	NC_005946.1_00076 hypothetical protein
OG0000358	AY521625.1_00119 AY521625.1 - hypothetical protein translation	NC_005946.1_00072 hypothetical protein
OG0000359	AY521625.1_00123 AY521625.1 - hypothetical protein translation	NC_005946.1_00069 hypothetical protein
OG0000361	AY521625.1_00131 AY521625.1 - hypothetical protein translation	NC_005946.1_00056 hypothetical protein
OG0000362	AY521625.1_00137 AY521625.1 - hypothetical protein translation	NC_005946.1_00058 hypothetical protein
