Orthogroup	KF938901.1	HF920633.1
OG0000211	KF938901.1_00134	HF920633.1_00120
OG0000212	KF938901.1_00113	HF920633.1_00121
OG0000213	KF938901.1_00146	HF920633.1_00123
OG0000214	KF938901.1_00148	HF920633.1_00125
OG0000215	KF938901.1_00116	HF920633.1_00128
OG0000216	KF938901.1_00063	HF920633.1_00131
OG0000217	KF938901.1_00139	HF920633.1_00146
OG0000218	KF938901.1_00141	HF920633.1_00149
OG0000219	KF938901.1_00014	HF920633.1_00165
OG0000266	KF938901.1_00130	HF920633.1_00008
OG0000267	KF938901.1_00034, KF938901.1_00032	HF920633.1_00012
OG0000268	KF938901.1_00035	HF920633.1_00013
OG0000269	KF938901.1_00098	HF920633.1_00023
OG0000271	KF938901.1_00050	HF920633.1_00060
OG0000272	KF938901.1_00045	HF920633.1_00074
OG0000273	KF938901.1_00125	HF920633.1_00085
OG0000274	KF938901.1_00090	HF920633.1_00087
OG0000276	KF938901.1_00136	HF920633.1_00102
OG0000277	KF938901.1_00062	HF920633.1_00113
OG0000278	KF938901.1_00101	HF920633.1_00144
OG0000279	KF938901.1_00154	HF920633.1_00155
OG0000280	KF938901.1_00083	HF920633.1_00159
OG0000281	KF938901.1_00082	HF920633.1_00160
OG0000282	KF938901.1_00013	HF920633.1_00164
OG0000327	KF938901.1_00026	HF920633.1_00005
OG0000328	KF938901.1_00028	HF920633.1_00006
OG0000329	KF938901.1_00037	HF920633.1_00015
OG0000330	KF938901.1_00038	HF920633.1_00016
OG0000331	KF938901.1_00029	HF920633.1_00018
OG0000332	KF938901.1_00149	HF920633.1_00033
OG0000333	KF938901.1_00107	HF920633.1_00037
OG0000334	KF938901.1_00110	HF920633.1_00042
OG0000335	KF938901.1_00041	HF920633.1_00045
OG0000336	KF938901.1_00068	HF920633.1_00048
OG0000337	KF938901.1_00004	HF920633.1_00049
OG0000338	KF938901.1_00078	HF920633.1_00051
OG0000339	KF938901.1_00011	HF920633.1_00052
OG0000340	KF938901.1_00109	HF920633.1_00061
OG0000341	KF938901.1_00057	HF920633.1_00063
OG0000342	KF938901.1_00059	HF920633.1_00066
OG0000343	KF938901.1_00018	HF920633.1_00070
OG0000345	KF938901.1_00042	HF920633.1_00078
OG0000346	KF938901.1_00096	HF920633.1_00089
OG0000347	KF938901.1_00051	HF920633.1_00090
OG0000348	KF938901.1_00002	HF920633.1_00095
OG0000349	KF938901.1_00079	HF920633.1_00098
OG0000350	KF938901.1_00132	HF920633.1_00111
OG0000352	KF938901.1_00144	HF920633.1_00115
OG0000353	KF938901.1_00087	HF920633.1_00136
OG0000355	KF938901.1_00061	HF920633.1_00141
OG0000356	KF938901.1_00071	HF920633.1_00142
OG0000357	KF938901.1_00003	HF920633.1_00151
OG0000358	KF938901.1_00129	HF920633.1_00157
OG0000359	KF938901.1_00088	HF920633.1_00162
OG0000360	KF938901.1_00040	HF920633.1_00167
