Orthogroup	Irido_IIV6_AF303741.1	Chlor_IIV22_HF920633.1
OG0000227	Irido_IIV6_AF303741.1_00159	Chlor_IIV22_HF920633.1_00041
OG0000228	Irido_IIV6_AF303741.1_00008	Chlor_IIV22_HF920633.1_00101
OG0000284	Irido_IIV6_AF303741.1_00115	Chlor_IIV22_HF920633.1_00070
OG0000286	Irido_IIV6_AF303741.1_00028	Chlor_IIV22_HF920633.1_00016
OG0000287	Irido_IIV6_AF303741.1_00116	Chlor_IIV22_HF920633.1_00167
OG0000334	Irido_IIV6_AF303741.1_00016	Chlor_IIV22_HF920633.1_00002
OG0000335	Irido_IIV6_AF303741.1_00186	Chlor_IIV22_HF920633.1_00055
OG0000336	Irido_IIV6_AF303741.1_00069	Chlor_IIV22_HF920633.1_00065
OG0000337	Irido_IIV6_AF303741.1_00002	Chlor_IIV22_HF920633.1_00075
OG0000340	Irido_IIV6_AF303741.1_00111	Chlor_IIV22_HF920633.1_00140
OG0000341	Irido_IIV6_AF303741.1_00048	Chlor_IIV22_HF920633.1_00166
OG0000342	Irido_IIV6_AF303741.1_00180	Chlor_IIV22_HF920633.1_00176
OG0000343	Irido_IIV6_AF303741.1_00043	Chlor_IIV22_HF920633.1_00178
