Orthogroup	Irido_IIV6_AF303741.1	Irido_IIV31_HF920637.1
OG0000296	Irido_IIV6_AF303741.1_00202	Irido_IIV31_HF920637.1_00064
OG0000358	Irido_IIV6_AF303741.1_00166	Irido_IIV31_HF920637.1_00002
OG0000359	Irido_IIV6_AF303741.1_00113	Irido_IIV31_HF920637.1_00006
OG0000360	Irido_IIV6_AF303741.1_00198	Irido_IIV31_HF920637.1_00007
OG0000361	Irido_IIV6_AF303741.1_00106	Irido_IIV31_HF920637.1_00018
OG0000362	Irido_IIV6_AF303741.1_00163	Irido_IIV31_HF920637.1_00023
OG0000363	Irido_IIV6_AF303741.1_00196	Irido_IIV31_HF920637.1_00030
OG0000364	Irido_IIV6_AF303741.1_00155	Irido_IIV31_HF920637.1_00032
OG0000367	Irido_IIV6_AF303741.1_00097	Irido_IIV31_HF920637.1_00046
OG0000368	Irido_IIV6_AF303741.1_00055	Irido_IIV31_HF920637.1_00050
OG0000370	Irido_IIV6_AF303741.1_00052	Irido_IIV31_HF920637.1_00055
OG0000372	Irido_IIV6_AF303741.1_00199	Irido_IIV31_HF920637.1_00076
OG0000373	Irido_IIV6_AF303741.1_00061	Irido_IIV31_HF920637.1_00081
OG0000374	Irido_IIV6_AF303741.1_00060	Irido_IIV31_HF920637.1_00082
OG0000375	Irido_IIV6_AF303741.1_00102	Irido_IIV31_HF920637.1_00088
OG0000376	Irido_IIV6_AF303741.1_00034	Irido_IIV31_HF920637.1_00103
OG0000377	Irido_IIV6_AF303741.1_00092	Irido_IIV31_HF920637.1_00104
OG0000378	Irido_IIV6_AF303741.1_00027	Irido_IIV31_HF920637.1_00107
OG0000379	Irido_IIV6_AF303741.1_00119	Irido_IIV31_HF920637.1_00125
OG0000380	Irido_IIV6_AF303741.1_00118	Irido_IIV31_HF920637.1_00126
OG0000381	Irido_IIV6_AF303741.1_00025	Irido_IIV31_HF920637.1_00131
OG0000382	Irido_IIV6_AF303741.1_00172	Irido_IIV31_HF920637.1_00134
OG0000383	Irido_IIV6_AF303741.1_00131	Irido_IIV31_HF920637.1_00135
OG0000384	Irido_IIV6_AF303741.1_00014	Irido_IIV31_HF920637.1_00154
OG0000385	Irido_IIV6_AF303741.1_00020	Irido_IIV31_HF920637.1_00155
OG0000386	Irido_IIV6_AF303741.1_00098	Irido_IIV31_HF920637.1_00171
OG0000387	Irido_IIV6_AF303741.1_00187	Irido_IIV31_HF920637.1_00173
OG0000388	Irido_IIV6_AF303741.1_00050	Irido_IIV31_HF920637.1_00179
OG0000389	Irido_IIV6_AF303741.1_00167	Irido_IIV31_HF920637.1_00185
OG0000390	Irido_IIV6_AF303741.1_00045	Irido_IIV31_HF920637.1_00186
OG0000391	Irido_IIV6_AF303741.1_00040	Irido_IIV31_HF920637.1_00191
OG0000392	Irido_IIV6_AF303741.1_00140	Irido_IIV31_HF920637.1_00202
OG0000393	Irido_IIV6_AF303741.1_00190	Irido_IIV31_HF920637.1_00203
OG0000394	Irido_IIV6_AF303741.1_00139	Irido_IIV31_HF920637.1_00207
OG0000395	Irido_IIV6_AF303741.1_00143	Irido_IIV31_HF920637.1_00209
OG0000396	Irido_IIV6_AF303741.1_00010	Irido_IIV31_HF920637.1_00214
