Orthogroup	MW139932.1	OL774654.1
OG0000066	MW139932.1_00045	OL774654.1_00043
OG0000067	MW139932.1_00049	OL774654.1_00047
OG0000068	MW139932.1_00069	OL774654.1_00067
OG0000069	MW139932.1_00099	OL774654.1_00097
OG0000070	MW139932.1_00101	OL774654.1_00099
OG0000071	MW139932.1_00116	OL774654.1_00114
OG0000072	MW139932.1_00009	OL774654.1_00009
OG0000073	MW139932.1_00012	OL774654.1_00012
OG0000074	MW139932.1_00016	OL774654.1_00016
OG0000075	MW139932.1_00037	OL774654.1_00035
OG0000076	MW139932.1_00040	OL774654.1_00038
OG0000077	MW139932.1_00043	OL774654.1_00041
OG0000078	MW139932.1_00044	OL774654.1_00042
OG0000079	MW139932.1_00048	OL774654.1_00046
OG0000080	MW139932.1_00053	OL774654.1_00051
OG0000081	MW139932.1_00054	OL774654.1_00052
OG0000082	MW139932.1_00055	OL774654.1_00053
OG0000083	MW139932.1_00064	OL774654.1_00062
OG0000084	MW139932.1_00067	OL774654.1_00065
OG0000085	MW139932.1_00070	OL774654.1_00068
OG0000086	MW139932.1_00071	OL774654.1_00069
OG0000087	MW139932.1_00075	OL774654.1_00073
OG0000088	MW139932.1_00076	OL774654.1_00074
OG0000089	MW139932.1_00085	OL774654.1_00083
OG0000090	MW139932.1_00086	OL774654.1_00084
OG0000091	MW139932.1_00098	OL774654.1_00096
OG0000092	MW139932.1_00102	OL774654.1_00100
OG0000093	MW139932.1_00106	OL774654.1_00104
OG0000094	MW139932.1_00109	OL774654.1_00107
OG0000095	MW139932.1_00110	OL774654.1_00108
OG0000096	MW139932.1_00121	OL774654.1_00119
OG0000097	MW139932.1_00003	OL774654.1_00003
OG0000098	MW139932.1_00004	OL774654.1_00004
OG0000099	MW139932.1_00042	OL774654.1_00040
OG0000100	MW139932.1_00046	OL774654.1_00044
OG0000101	MW139932.1_00072	OL774654.1_00070
OG0000102	MW139932.1_00080	OL774654.1_00078
OG0000103	MW139932.1_00103	OL774654.1_00101
OG0000104	MW139932.1_00107	OL774654.1_00105
OG0000105	MW139932.1_00118	OL774654.1_00116
OG0000106	MW139932.1_00031	OL774654.1_00029
OG0000107	MW139932.1_00104	OL774654.1_00102
OG0000108	MW139932.1_00122	OL774654.1_00120
OG0000109	MW139932.1_00073	OL774654.1_00071
OG0000110	MW139932.1_00120	OL774654.1_00118
OG0000111	MW139932.1_00094	OL774654.1_00092
OG0000112	MW139932.1_00081	OL774654.1_00079
OG0000114	MW139932.1_00022	OL774654.1_00021
OG0000115	MW139932.1_00011	OL774654.1_00011
OG0000117	MW139932.1_00068	OL774654.1_00066
OG0000120	MW139932.1_00105	OL774654.1_00103
OG0000121	MW139932.1_00114	OL774654.1_00112
OG0000125	MW139932.1_00030	OL774654.1_00028
OG0000127	MW139932.1_00027	OL774654.1_00025
OG0000142	MW139932.1_00028	OL774654.1_00026
OG0000208	MW139932.1_00056	OL774654.1_00054
