Orthogroup	MW139932.1	AF371960.1
OG0000104	MW139932.1_00107	AF371960.1_00106
OG0000105	MW139932.1_00118	AF371960.1_00116
OG0000106	MW139932.1_00031	AF371960.1_00029
OG0000107	MW139932.1_00104	AF371960.1_00104
OG0000108	MW139932.1_00122	AF371960.1_00120
OG0000109	MW139932.1_00073	AF371960.1_00072
OG0000110	MW139932.1_00120	AF371960.1_00118
OG0000115	MW139932.1_00011	AF371960.1_00011
OG0000117	MW139932.1_00068	AF371960.1_00067
OG0000118	MW139932.1_00093	AF371960.1_00094
