Orthogroup	KF938901	HF920637
OG0000023	KF938901.1_00072 hypothetical protein	HF920637.1_00121 HF920637.1 - hypothetical protein translation
OG0000026	KF938901.1_00093 hypothetical protein	HF920637.1_00156 HF920637.1 - hypothetical protein translation
OG0000064	KF938901.1_00085 hypothetical protein, KF938901.1_00140 hypothetical protein	HF920637.1_00096 HF920637.1 - hypothetical protein translation
OG0000121	KF938901.1_00020 hypothetical protein, KF938901.1_00049 hypothetical protein, KF938901.1_00115 hypothetical protein, KF938901.1_00091 hypothetical protein	HF920637.1_00147 HF920637.1 - hypothetical protein translation, HF920637.1_00218 HF920637.1 - hypothetical protein translation, HF920637.1_00029 HF920637.1 - hypothetical protein translation
OG0000130	KF938901.1_00086 hypothetical protein	HF920637.1_00219 HF920637.1 - hypothetical protein translation
OG0000133	KF938901.1_00048 Ribonucleoside-diphosphate reductase large subunit	HF920637.1_00105 HF920637.1 - Ribonucleoside-diphosphate reductase large subunit translation
OG0000134	KF938901.1_00065 hypothetical protein	HF920637.1_00181 HF920637.1 - hypothetical protein translation
OG0000135	KF938901.1_00108 Thymidylate synthase	HF920637.1_00123 HF920637.1 - Thymidylate synthase translation
OG0000138	KF938901.1_00069 hypothetical protein	HF920637.1_00060 HF920637.1 - putative helicase D10 translation
OG0000139	KF938901.1_00007 hypothetical protein	HF920637.1_00014 HF920637.1 - hypothetical protein translation
OG0000145	KF938901.1_00112 hypothetical protein	HF920637.1_00011 HF920637.1 - hypothetical protein translation, HF920637.1_00180 HF920637.1 - hypothetical protein translation
OG0000146	KF938901.1_00106 hypothetical protein	HF920637.1_00168 HF920637.1 - hypothetical protein translation
OG0000147	KF938901.1_00118 Deoxyuridine	HF920637.1_00150 HF920637.1 - hypothetical protein translation
OG0000156	KF938901.1_00102 hypothetical protein	HF920637.1_00056 HF920637.1 - hypothetical protein translation
OG0000157	KF938901.1_00075 hypothetical protein	HF920637.1_00140 HF920637.1 - hypothetical protein translation
OG0000158	KF938901.1_00117 hypothetical protein	HF920637.1_00095 HF920637.1 - hypothetical protein translation
OG0000159	KF938901.1_00103 hypothetical protein	HF920637.1_00049 HF920637.1 - hypothetical protein translation
OG0000160	KF938901.1_00128 DNA ligase	HF920637.1_00120 HF920637.1 - DNA ligase translation
OG0000161	KF938901.1_00121 hypothetical protein	HF920637.1_00045 HF920637.1 - hypothetical protein translation
OG0000163	KF938901.1_00104 hypothetical protein	HF920637.1_00148 HF920637.1 - hypothetical protein translation, HF920637.1_00077 HF920637.1 - hypothetical protein translation
OG0000164	KF938901.1_00150 hypothetical protein	HF920637.1_00067 HF920637.1 - hypothetical protein translation
OG0000165	KF938901.1_00006 hypothetical protein, KF938901.1_00105 hypothetical protein	HF920637.1_00069 HF920637.1 - hypothetical protein translation
OG0000166	KF938901.1_00153 hypothetical protein	HF920637.1_00071 HF920637.1 - hypothetical protein translation
OG0000166	KF938901.1_00066 hypothetical protein	HF920637.1_00162 HF920637.1 - hypothetical protein translation
OG0000173	KF938901.1_00116 hypothetical protein	HF920637.1_00020 HF920637.1 - hypothetical protein translation
OG0000174	KF938901.1_00133 hypothetical protein	HF920637.1_00139 HF920637.1 - hypothetical protein translation
OG0000176	KF938901.1_00141 DNA topoisomerase 2	HF920637.1_00100 HF920637.1 - DNA topoisomerase 2 translation
OG0000177	KF938901.1_00014 hypothetical protein	HF920637.1_00212 HF920637.1 - hypothetical protein translation
OG0000178	KF938901.1_00100 hypothetical protein	HF920637.1_00047 HF920637.1 - hypothetical protein translation
OG0000179	KF938901.1_00099 hypothetical protein	HF920637.1_00048 HF920637.1 - hypothetical protein translation
OG0000181	KF938901.1_00152 hypothetical protein	HF920637.1_00085 HF920637.1 - hypothetical protein translation
OG0000183	KF938901.1_00063 hypothetical protein	HF920637.1_00019 HF920637.1 - hypothetical protein translation
OG0000184	KF938901.1_00134 hypothetical protein	HF920637.1_00193 HF920637.1 - hypothetical protein translation
OG0000185	KF938901.1_00139 hypothetical protein	HF920637.1_00043 HF920637.1 - hypothetical protein translation
OG0000186	KF938901.1_00070 hypothetical protein	HF920637.1_00160 HF920637.1 - hypothetical protein translation
OG0000187	KF938901.1_00146 hypothetical protein	HF920637.1_00192 HF920637.1 - hypothetical protein translation
OG0000188	KF938901.1_00077 hypothetical protein	HF920637.1_00070 HF920637.1 - hypothetical protein translation
OG0000189	KF938901.1_00079 hypothetical protein	HF920637.1_00194 HF920637.1 - hypothetical protein translation
OG0000191	KF938901.1_00010 hypothetical protein	HF920637.1_00035 HF920637.1 - hypothetical protein translation
OG0000192	KF938901.1_00008 hypothetical protein	HF920637.1_00009 HF920637.1 - hypothetical protein translation
OG0000193	KF938901.1_00113 hypothetical protein	HF920637.1_00149 HF920637.1 - hypothetical protein translation
OG0000194	KF938901.1_00148 hypothetical protein	HF920637.1_00005 HF920637.1 - hypothetical protein translation
OG0000198	KF938901.1_00137 hypothetical protein	HF920637.1_00024 HF920637.1 - hypothetical protein translation
OG0000202	KF938901.1_00130 hypothetical protein	HF920637.1_00211 HF920637.1 - hypothetical protein translation
OG0000204	KF938901.1_00057 hypothetical protein	HF920637.1_00188 HF920637.1 - hypothetical protein translation
OG0000205	KF938901.1_00082 hypothetical protein	HF920637.1_00187 HF920637.1 - hypothetical protein translation
OG0000206	KF938901.1_00109 hypothetical protein	HF920637.1_00074 HF920637.1 - hypothetical protein translation
OG0000208	KF938901.1_00098 hypothetical protein	HF920637.1_00204 HF920637.1 - hypothetical protein translation
OG0000209	KF938901.1_00136 hypothetical protein	HF920637.1_00124 HF920637.1 - hypothetical protein translation
OG0000210	KF938901.1_00045 hypothetical protein	HF920637.1_00144 HF920637.1 - hypothetical protein translation
OG0000211	KF938901.1_00090 hypothetical protein	HF920637.1_00167 HF920637.1 - hypothetical protein translation
OG0000212	KF938901.1_00155 hypothetical protein	HF920637.1_00040 HF920637.1 - hypothetical protein translation
OG0000213	KF938901.1_00035 hypothetical protein	HF920637.1_00195 HF920637.1 - hypothetical protein translation
OG0000214	KF938901.1_00062 hypothetical protein	HF920637.1_00012 HF920637.1 - hypothetical protein translation
OG0000215	KF938901.1_00107 hypothetical protein	HF920637.1_00022 HF920637.1 - hypothetical protein translation
OG0000216	KF938901.1_00154 hypothetical protein	HF920637.1_00021 HF920637.1 - hypothetical protein translation
OG0000233	KF938901.1_00015 hypothetical protein	HF920637.1_00053 HF920637.1 - hypothetical protein translation
OG0000235	KF938901.1_00016 hypothetical protein	HF920637.1_00174 HF920637.1 - hypothetical protein translation
OG0000239	KF938901.1_00122 hypothetical protein	HF920637.1_00063 HF920637.1 - hypothetical protein translation
OG0000388	KF938901.1_00157 hypothetical protein	HF920637.1_00078 HF920637.1 - hypothetical protein translation
