Orthogroup	KF938901	HF920633
OG0000064	KF938901.1_00085 hypothetical protein, KF938901.1_00140 hypothetical protein	HF920633.1_00040 hypothetical protein, HF920633.1_00117 hypothetical protein, HF920633.1_00143 hypothetical protein, HF920633.1_00057 hypothetical protein, HF920633.1_00107 hypothetical protein, HF920633.1_00172 hypothetical protein, HF920633.1_00170 hypothetical protein
OG0000121	KF938901.1_00020 hypothetical protein	HF920633.1_00130 hypothetical protein, HF920633.1_00174 hypothetical protein
OG0000121	KF938901.1_00049 hypothetical protein, KF938901.1_00115 hypothetical protein	HF920633.1_00007 hypothetical protein
OG0000123	KF938901.1_00135 hypothetical protein, KF938901.1_00151 hypothetical protein, KF938901.1_00001 hypothetical protein, KF938901.1_00158 hypothetical protein, KF938901.1_00084 hypothetical protein, KF938901.1_00030 hypothetical protein, KF938901.1_00119 hypothetical protein, KF938901.1_00127 hypothetical protein	HF920633.1_00081 hypothetical protein, HF920633.1_00059 hypothetical protein, HF920633.1_00119 hypothetical protein
OG0000130	KF938901.1_00086 hypothetical protein	HF920633.1_00135 hypothetical protein
OG0000133	KF938901.1_00048 Ribonucleoside-diphosphate reductase large subunit	HF920633.1_00132 hypothetical protein
OG0000134	KF938901.1_00065 hypothetical protein	HF920633.1_00053 hypothetical protein
OG0000135	KF938901.1_00108 Thymidylate synthase	HF920633.1_00156 Thymidylate synthase
OG0000138	KF938901.1_00069 hypothetical protein	HF920633.1_00026 hypothetical protein
OG0000139	KF938901.1_00007 hypothetical protein	HF920633.1_00064 hypothetical protein
OG0000145	KF938901.1_00112 hypothetical protein	HF920633.1_00088 hypothetical protein
OG0000146	KF938901.1_00106 hypothetical protein	HF920633.1_00036 hypothetical protein
OG0000147	KF938901.1_00118 Deoxyuridine	HF920633.1_00106 hypothetical protein
OG0000150	KF938901.1_00027 hypothetical protein	HF920633.1_00024 hypothetical protein
OG0000156	KF938901.1_00102 hypothetical protein	HF920633.1_00134 hypothetical protein
OG0000157	KF938901.1_00075 hypothetical protein	HF920633.1_00039 hypothetical protein
OG0000158	KF938901.1_00117 hypothetical protein	HF920633.1_00105 hypothetical protein
OG0000159	KF938901.1_00103 hypothetical protein	HF920633.1_00082 hypothetical protein
OG0000160	KF938901.1_00128 DNA ligase	HF920633.1_00169 DNA ligase
OG0000161	KF938901.1_00121 hypothetical protein	HF920633.1_00177 hypothetical protein
OG0000162	KF938901.1_00101 hypothetical protein	HF920633.1_00144 hypothetical protein
OG0000163	KF938901.1_00104 hypothetical protein	HF920633.1_00145 hypothetical protein
OG0000164	KF938901.1_00150 hypothetical protein	HF920633.1_00046 hypothetical protein
OG0000165	KF938901.1_00006 hypothetical protein	HF920633.1_00161 hypothetical protein
OG0000165	KF938901.1_00105 hypothetical protein	HF920633.1_00031 hypothetical protein
OG0000166	KF938901.1_00153 hypothetical protein	HF920633.1_00096 hypothetical protein
OG0000167	KF938901.1_00017 hypothetical protein	HF920633.1_00171 hypothetical protein
OG0000169	KF938901.1_00009 hypothetical protein	HF920633.1_00034 hypothetical protein
OG0000173	KF938901.1_00116 hypothetical protein	HF920633.1_00128 hypothetical protein
OG0000174	KF938901.1_00133 hypothetical protein	HF920633.1_00110 hypothetical protein
OG0000176	KF938901.1_00141 DNA topoisomerase 2	HF920633.1_00149 DNA topoisomerase 2
OG0000177	KF938901.1_00014 hypothetical protein	HF920633.1_00165 hypothetical protein
OG0000178	KF938901.1_00100 hypothetical protein	HF920633.1_00103 hypothetical protein
OG0000179	KF938901.1_00099 hypothetical protein	HF920633.1_00020 hypothetical protein, HF920633.1_00021 hypothetical protein
OG0000180	KF938901.1_00073 hypothetical protein	HF920633.1_00032 hypothetical protein
OG0000181	KF938901.1_00152 hypothetical protein	HF920633.1_00022 hypothetical protein
OG0000183	KF938901.1_00063 hypothetical protein	HF920633.1_00131 hypothetical protein
OG0000184	KF938901.1_00134 hypothetical protein	HF920633.1_00120 hypothetical protein
OG0000185	KF938901.1_00139 hypothetical protein	HF920633.1_00146 hypothetical protein
OG0000186	KF938901.1_00070 hypothetical protein	HF920633.1_00056 hypothetical protein
OG0000187	KF938901.1_00146 hypothetical protein	HF920633.1_00123 hypothetical protein
OG0000188	KF938901.1_00077 hypothetical protein	HF920633.1_00050 hypothetical protein
OG0000189	KF938901.1_00079 hypothetical protein	HF920633.1_00098 hypothetical protein
OG0000191	KF938901.1_00010 hypothetical protein	HF920633.1_00035 hypothetical protein
OG0000192	KF938901.1_00008 hypothetical protein	HF920633.1_00029 hypothetical protein
OG0000193	KF938901.1_00113 hypothetical protein	HF920633.1_00121 hypothetical protein
OG0000194	KF938901.1_00148 hypothetical protein	HF920633.1_00125 hypothetical protein
OG0000198	KF938901.1_00137 hypothetical protein	HF920633.1_00139 hypothetical protein
OG0000202	KF938901.1_00130 hypothetical protein	HF920633.1_00008 hypothetical protein
OG0000204	KF938901.1_00057 hypothetical protein	HF920633.1_00063 hypothetical protein
OG0000205	KF938901.1_00082 hypothetical protein	HF920633.1_00160 hypothetical protein
OG0000206	KF938901.1_00109 hypothetical protein	HF920633.1_00061 hypothetical protein
OG0000207	KF938901.1_00029 hypothetical protein	HF920633.1_00018 hypothetical protein
OG0000208	KF938901.1_00098 hypothetical protein	HF920633.1_00023 hypothetical protein
OG0000209	KF938901.1_00136 hypothetical protein	HF920633.1_00102 hypothetical protein
OG0000210	KF938901.1_00045 hypothetical protein	HF920633.1_00074 hypothetical protein
OG0000211	KF938901.1_00090 hypothetical protein	HF920633.1_00087 hypothetical protein
OG0000212	KF938901.1_00155 hypothetical protein	HF920633.1_00041 hypothetical protein
OG0000213	KF938901.1_00035 hypothetical protein	HF920633.1_00013 hypothetical protein
OG0000214	KF938901.1_00062 hypothetical protein	HF920633.1_00113 hypothetical protein
OG0000215	KF938901.1_00107 hypothetical protein	HF920633.1_00037 hypothetical protein
OG0000216	KF938901.1_00154 hypothetical protein	HF920633.1_00155 hypothetical protein
OG0000232	KF938901.1_00038 hypothetical protein	HF920633.1_00016 hypothetical protein
OG0000236	KF938901.1_00018 hypothetical protein	HF920633.1_00070 hypothetical protein
OG0000237	KF938901.1_00040 hypothetical protein	HF920633.1_00167 hypothetical protein
OG0000244	KF938901.1_00034 hypothetical protein, KF938901.1_00032 hypothetical protein	HF920633.1_00012 hypothetical protein
OG0000245	KF938901.1_00050 hypothetical protein	HF920633.1_00060 hypothetical protein
OG0000246	KF938901.1_00083 hypothetical protein	HF920633.1_00159 hypothetical protein
OG0000247	KF938901.1_00013 hypothetical protein	HF920633.1_00164 hypothetical protein
OG0000359	KF938901.1_00026 hypothetical protein	HF920633.1_00005 hypothetical protein
OG0000360	KF938901.1_00028 hypothetical protein	HF920633.1_00006 hypothetical protein
OG0000361	KF938901.1_00037 hypothetical protein	HF920633.1_00015 hypothetical protein
OG0000362	KF938901.1_00149 hypothetical protein	HF920633.1_00033 hypothetical protein
OG0000363	KF938901.1_00110 hypothetical protein	HF920633.1_00042 hypothetical protein
OG0000364	KF938901.1_00041 hypothetical protein	HF920633.1_00045 hypothetical protein
OG0000365	KF938901.1_00068 hypothetical protein	HF920633.1_00048 hypothetical protein
OG0000366	KF938901.1_00004 hypothetical protein	HF920633.1_00049 hypothetical protein
OG0000367	KF938901.1_00078 hypothetical protein	HF920633.1_00051 hypothetical protein
OG0000368	KF938901.1_00011 hypothetical protein	HF920633.1_00052 hypothetical protein
OG0000369	KF938901.1_00059 hypothetical protein	HF920633.1_00066 hypothetical protein
OG0000370	KF938901.1_00042 hypothetical protein	HF920633.1_00078 hypothetical protein
OG0000371	KF938901.1_00096 hypothetical protein	HF920633.1_00089 hypothetical protein
OG0000372	KF938901.1_00051 hypothetical protein	HF920633.1_00090 hypothetical protein
OG0000373	KF938901.1_00002 hypothetical protein	HF920633.1_00095 hypothetical protein
OG0000374	KF938901.1_00132 hypothetical protein	HF920633.1_00111 hypothetical protein
OG0000376	KF938901.1_00144 hypothetical protein	HF920633.1_00115 hypothetical protein
OG0000377	KF938901.1_00087 hypothetical protein	HF920633.1_00136 mRNA-decapping protein D10
OG0000379	KF938901.1_00061 hypothetical protein	HF920633.1_00141 hypothetical protein
OG0000380	KF938901.1_00071 hypothetical protein	HF920633.1_00142 hypothetical protein
OG0000381	KF938901.1_00003 hypothetical protein	HF920633.1_00151 hypothetical protein
OG0000382	KF938901.1_00129 hypothetical protein	HF920633.1_00157 hypothetical protein
OG0000383	KF938901.1_00088 hypothetical protein	HF920633.1_00162 hypothetical protein
