Orthogroup	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MT128666	MT128667	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	occupancy	complete_level	num_values_present	missing_values
OG0000021	MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	GQ273492.1_00030 hypothetical protein	MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein	MG570131.1_00031 hypothetical protein	MG570132.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000022	MK689686.1_00030 hypothetical protein	AF371960.1_00032 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	GQ273492.1_00031 hypothetical protein	MK689686.1_00030 hypothetical protein	AF371960.1_00032 hypothetical protein	MK689686.1_00030 hypothetical protein	MG570131.1_00032 hypothetical protein	MG570132.1_00032 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	AF371960.1_00032 hypothetical protein	MK689686.1_00030 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	MK689686.1_00030 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	MK689686.1_00030 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	MK689686.1_00030 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	AF371960.1_00032 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000023	MK689686.1_00032 hypothetical protein	AF371960.1_00034 hypothetical protein	MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase	MK689686.1_00032 hypothetical protein	AF371960.1_00034 hypothetical protein	MK689686.1_00032 hypothetical protein	MG570131.1_00034 hypothetical protein	MG570132.1_00034 hypothetical protein	MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein	AF371960.1_00034 hypothetical protein	MK689686.1_00032 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	MK689686.1_00032 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	MK689686.1_00032 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	MK689686.1_00032 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein	AF371960.1_00034 hypothetical protein	MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000024	MK689686.1_00035 hypothetical protein	AF371960.1_00037 hypothetical protein	MK689686.1_00035 hypothetical protein	MK689686.1_00035 hypothetical protein	MK689686.1_00035 hypothetical protein	GQ273492.1_00036 hypothetical protein	MK689686.1_00035 hypothetical protein	AF371960.1_00037 hypothetical protein	MK689686.1_00035 hypothetical protein	MG570131.1_00037 hypothetical protein	MG570132.1_00037 hypothetical protein	MK689686.1_00035 hypothetical protein	MK689686.1_00035 hypothetical protein	MK689686.1_00035 hypothetical protein	AF371960.1_00037 hypothetical protein	MK689686.1_00035 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	MK689686.1_00035 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	MK689686.1_00035 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	MK689686.1_00035 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	MK689686.1_00035 hypothetical protein	MK689686.1_00035 hypothetical protein	MK689686.1_00035 hypothetical protein	MK689686.1_00035 hypothetical protein	MK689686.1_00035 hypothetical protein	MK689686.1_00035 hypothetical protein	AF371960.1_00037 hypothetical protein	MK689686.1_00035 hypothetical protein	MK689686.1_00035 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	OQ475017.1_00036 OQ475017.1 - hypothetical protein translation	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	AF371960.1_00037 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000025	MK689686.1_00039 hypothetical protein	AF371960.1_00041 hypothetical protein	MK689686.1_00039 hypothetical protein	MK689686.1_00039 hypothetical protein	MK689686.1_00039 hypothetical protein	GQ273492.1_00040 hypothetical protein	MK689686.1_00039 hypothetical protein	AF371960.1_00041 hypothetical protein	MK689686.1_00039 hypothetical protein	MG570131.1_00041 hypothetical protein	MG570132.1_00041 hypothetical protein	MK689686.1_00039 hypothetical protein	MK689686.1_00039 hypothetical protein	MK689686.1_00039 hypothetical protein	AF371960.1_00041 hypothetical protein	MK689686.1_00039 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	MK689686.1_00039 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	MK689686.1_00039 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	MK689686.1_00039 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	MK689686.1_00039 hypothetical protein	MK689686.1_00039 hypothetical protein	MK689686.1_00039 hypothetical protein	MK689686.1_00039 hypothetical protein	MK689686.1_00039 hypothetical protein	MK689686.1_00039 hypothetical protein	AF371960.1_00041 hypothetical protein	MK689686.1_00039 hypothetical protein	MK689686.1_00039 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	OQ475017.1_00040 OQ475017.1 - hypothetical protein translation	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	AF371960.1_00041 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000026	MK689686.1_00040 hypothetical protein	AF371960.1_00042 hypothetical protein	MK689686.1_00040 hypothetical protein	MK689686.1_00040 hypothetical protein	MK689686.1_00040 hypothetical protein	GQ273492.1_00041 hypothetical protein	MK689686.1_00040 hypothetical protein	AF371960.1_00042 hypothetical protein	MK689686.1_00040 hypothetical protein	MG570131.1_00042 hypothetical protein	MG570132.1_00042 hypothetical protein	MK689686.1_00040 hypothetical protein	MK689686.1_00040 hypothetical protein	MK689686.1_00040 hypothetical protein	AF371960.1_00042 hypothetical protein	MK689686.1_00040 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	MK689686.1_00040 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	MK689686.1_00040 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	MK689686.1_00040 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	MK689686.1_00040 hypothetical protein	MK689686.1_00040 hypothetical protein	MK689686.1_00040 hypothetical protein	MK689686.1_00040 hypothetical protein	MK689686.1_00040 hypothetical protein	MK689686.1_00040 hypothetical protein	AF371960.1_00042 hypothetical protein	MK689686.1_00040 hypothetical protein	MK689686.1_00040 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	OQ475017.1_00041 OQ475017.1 - hypothetical protein translation	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	AF371960.1_00042 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000027	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	GQ273492.1_00043 hypothetical protein	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	MG570131.1_00044 hypothetical protein	MG570132.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein	MK689686.1_00042 hypothetical protein	MK689686.1_00042 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	OQ475017.1_00043 OQ475017.1 - hypothetical protein translation	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	AF371960.1_00044 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000028	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	GQ273492.1_00044 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	MG570131.1_00045 hypothetical protein	MG570132.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000029	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	GQ273492.1_00045 hypothetical protein	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	MG570131.1_00046 hypothetical protein	MG570132.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein	MK689686.1_00044 hypothetical protein	MK689686.1_00044 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	OQ475017.1_00045 OQ475017.1 - hypothetical protein translation	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	AF371960.1_00046 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000030	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	GQ273492.1_00046 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	MG570131.1_00047 hypothetical protein	MG570132.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	MK689686.1_00045 hypothetical protein	MK689686.1_00045 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	OQ475017.1_00046 OQ475017.1 - hypothetical protein translation	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	AF371960.1_00047 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000031	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	GQ273492.1_00047 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	MG570131.1_00048 hypothetical protein	MG570132.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	OQ475017.1_00047 OQ475017.1 - hypothetical protein translation	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000032	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	GQ273492.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	MG570131.1_00050 hypothetical protein	MG570132.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	OQ475017.1_00049 OQ475017.1 - hypothetical protein translation	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000033	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	GQ273492.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	MG570131.1_00051 hypothetical protein	MG570132.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	MK689686.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	OQ475017.1_00050 OQ475017.1 - hypothetical protein translation	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	AF371960.1_00051 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
