Orthogroup	GQ273492.1	AY894343.1
OG0000047	GQ273492.1_00057	AY894343.1_00057
OG0000048	GQ273492.1_00059	AY894343.1_00058
OG0000049	GQ273492.1_00060	AY894343.1_00059
OG0000050	GQ273492.1_00075	AY894343.1_00078
OG0000051	GQ273492.1_00079	AY894343.1_00082
OG0000052	GQ273492.1_00080	AY894343.1_00083
OG0000053	GQ273492.1_00091	AY894343.1_00095
OG0000054	GQ273492.1_00093	AY894343.1_00097
OG0000055	GQ273492.1_00096	AY894343.1_00100
OG0000056	GQ273492.1_00107	AY894343.1_00112
OG0000057	GQ273492.1_00112	AY894343.1_00117
OG0000058	GQ273492.1_00114	AY894343.1_00119
OG0000059	GQ273492.1_00002	AY894343.1_00002
OG0000061	GQ273492.1_00018	AY894343.1_00018
OG0000062	GQ273492.1_00088	AY894343.1_00091
OG0000063	GQ273492.1_00070	AY894343.1_00072
OG0000064	GQ273492.1_00017	AY894343.1_00017
OG0000065	GQ273492.1_00038	AY894343.1_00037
OG0000066	GQ273492.1_00042	AY894343.1_00041
OG0000067	GQ273492.1_00046	AY894343.1_00045
OG0000068	GQ273492.1_00066	AY894343.1_00067
OG0000069	GQ273492.1_00095	AY894343.1_00099
OG0000070	GQ273492.1_00097	AY894343.1_00101
OG0000071	GQ273492.1_00111	AY894343.1_00116
OG0000072	GQ273492.1_00009	AY894343.1_00009
OG0000073	GQ273492.1_00012	AY894343.1_00011
OG0000074	GQ273492.1_00016	AY894343.1_00016
OG0000075	GQ273492.1_00034	AY894343.1_00033
OG0000076	GQ273492.1_00037	AY894343.1_00036
OG0000077	GQ273492.1_00040	AY894343.1_00039
OG0000078	GQ273492.1_00041	AY894343.1_00040
OG0000079	GQ273492.1_00045	AY894343.1_00044
OG0000080	GQ273492.1_00050	AY894343.1_00050
OG0000081	GQ273492.1_00051	AY894343.1_00051
OG0000082	GQ273492.1_00052	AY894343.1_00052
OG0000083	GQ273492.1_00062	AY894343.1_00062
OG0000084	GQ273492.1_00065	AY894343.1_00065
OG0000085	GQ273492.1_00067	AY894343.1_00068
OG0000086	GQ273492.1_00068	AY894343.1_00069
OG0000087	GQ273492.1_00071	AY894343.1_00073
OG0000088	GQ273492.1_00072	AY894343.1_00074
OG0000089	GQ273492.1_00081	AY894343.1_00084
OG0000090	GQ273492.1_00082	AY894343.1_00085
OG0000091	GQ273492.1_00094	AY894343.1_00098
OG0000092	GQ273492.1_00098	AY894343.1_00102
OG0000093	GQ273492.1_00101	AY894343.1_00106
OG0000094	GQ273492.1_00104	AY894343.1_00109
OG0000095	GQ273492.1_00105	AY894343.1_00110
OG0000096	GQ273492.1_00116	AY894343.1_00121
OG0000097	GQ273492.1_00003	AY894343.1_00003
OG0000098	GQ273492.1_00004	AY894343.1_00004
OG0000099	GQ273492.1_00039	AY894343.1_00038
OG0000100	GQ273492.1_00043	AY894343.1_00042
OG0000102	GQ273492.1_00076	AY894343.1_00079
OG0000103	GQ273492.1_00099	AY894343.1_00103
OG0000104	GQ273492.1_00102	AY894343.1_00107
OG0000105	GQ273492.1_00113	AY894343.1_00118
OG0000106	GQ273492.1_00028	AY894343.1_00027
OG0000107	GQ273492.1_00100	AY894343.1_00104
OG0000108	GQ273492.1_00117	AY894343.1_00122
OG0000110	GQ273492.1_00115	AY894343.1_00120
OG0000111	GQ273492.1_00090	AY894343.1_00094
OG0000112	GQ273492.1_00077	AY894343.1_00080
OG0000116	GQ273492.1_00053	AY894343.1_00053
OG0000121	GQ273492.1_00109	AY894343.1_00114
