Orthogroup	OQ475017	MG570132
OG0000045	OQ475017.1_00071 OQ475017.1 - hypothetical protein translation	MG570132.1_00071 hypothetical protein
OG0000046	OQ475017.1_00072 OQ475017.1 - hypothetical protein translation	MG570132.1_00072 hypothetical protein
OG0000047	OQ475017.1_00074 OQ475017.1 - hypothetical protein translation	MG570132.1_00074 hypothetical protein
OG0000048	OQ475017.1_00075 OQ475017.1 - hypothetical protein translation	MG570132.1_00075 hypothetical protein
OG0000049	OQ475017.1_00078 OQ475017.1 - hypothetical protein translation	MG570132.1_00078 hypothetical protein
OG0000050	OQ475017.1_00079 OQ475017.1 - hypothetical protein translation	MG570132.1_00079 hypothetical protein
OG0000051	OQ475017.1_00080 OQ475017.1 - hypothetical protein translation	MG570132.1_00080 hypothetical protein
OG0000052	OQ475017.1_00081 OQ475017.1 - hypothetical protein translation	MG570132.1_00081 hypothetical protein
OG0000053	OQ475017.1_00082 OQ475017.1 - hypothetical protein translation	MG570132.1_00082 hypothetical protein
OG0000054	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation	MG570132.1_00083 hypothetical protein
OG0000055	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation	MG570132.1_00084 hypothetical protein
OG0000056	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation	MG570132.1_00085 hypothetical protein
OG0000057	OQ475017.1_00086 OQ475017.1 - hypothetical protein translation	MG570132.1_00086 hypothetical protein
OG0000058	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation	MG570132.1_00087 hypothetical protein
OG0000059	OQ475017.1_00091 OQ475017.1 - hypothetical protein translation	MG570132.1_00090 hypothetical protein
OG0000060	OQ475017.1_00092 OQ475017.1 - hypothetical protein translation	MG570132.1_00091 hypothetical protein
OG0000061	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation	MG570132.1_00092 hypothetical protein
OG0000062	OQ475017.1_00094 OQ475017.1 - hypothetical protein translation	MG570132.1_00093 hypothetical protein
OG0000063	OQ475017.1_00095 OQ475017.1 - hypothetical protein translation	MG570132.1_00094 hypothetical protein
OG0000064	OQ475017.1_00096 OQ475017.1 - hypothetical protein translation	MG570132.1_00095 hypothetical protein
OG0000065	OQ475017.1_00097 OQ475017.1 - hypothetical protein translation	MG570132.1_00096 hypothetical protein
OG0000066	OQ475017.1_00098 OQ475017.1 - hypothetical protein translation	MG570132.1_00097 hypothetical protein
OG0000067	OQ475017.1_00099 OQ475017.1 - hypothetical protein translation	MG570132.1_00098 hypothetical protein
OG0000068	OQ475017.1_00100 OQ475017.1 - hypothetical protein translation	MG570132.1_00099 hypothetical protein
OG0000069	OQ475017.1_00101 OQ475017.1 - hypothetical protein translation	MG570132.1_00100 hypothetical protein
OG0000070	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation	MG570132.1_00103 hypothetical protein
OG0000071	OQ475017.1_00106 OQ475017.1 - hypothetical protein translation	MG570132.1_00104 hypothetical protein
OG0000072	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation	MG570132.1_00106 hypothetical protein
OG0000073	OQ475017.1_00109 OQ475017.1 - hypothetical protein translation	MG570132.1_00107 hypothetical protein
OG0000074	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation	MG570132.1_00108 hypothetical protein
OG0000075	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation	MG570132.1_00110 hypothetical protein
OG0000076	OQ475017.1_00114 OQ475017.1 - hypothetical protein translation	MG570132.1_00112 hypothetical protein
OG0000077	OQ475017.1_00115 OQ475017.1 - hypothetical protein translation	MG570132.1_00113 hypothetical protein
OG0000078	OQ475017.1_00116 OQ475017.1 - hypothetical protein translation	MG570132.1_00114 hypothetical protein
OG0000079	OQ475017.1_00118 OQ475017.1 - hypothetical protein translation	MG570132.1_00116 hypothetical protein
OG0000080	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation	MG570132.1_00118 hypothetical protein
OG0000081	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation	MG570132.1_00119 hypothetical protein
OG0000083	OQ475017.1_00107 OQ475017.1 - hypothetical protein translation	MG570132.1_00105 hypothetical protein
OG0000085	OQ475017.1 - 00001 translation OQ475017.1 - 00001 translation	MG570132.1_00001 hypothetical protein
OG0000086	OQ475017.1_00042 OQ475017.1 - hypothetical protein translation	MG570132.1_00043 hypothetical protein
OG0000087	OQ475017.1_00065 OQ475017.1 - hypothetical protein translation	MG570132.1_00066 hypothetical protein
OG0000088	OQ475017.1_00004 OQ475017.1 - hypothetical protein translation	MG570132.1_00004 hypothetical protein
OG0000089	OQ475017.1_00006 OQ475017.1 - hypothetical protein translation	MG570132.1_00006 hypothetical protein
OG0000090	OQ475017.1_00010 OQ475017.1 - hypothetical protein translation	MG570132.1_00011 hypothetical protein
OG0000091	OQ475017.1_00024 OQ475017.1 - hypothetical protein translation	MG570132.1_00025 hypothetical protein
OG0000092	OQ475017.1_00032 OQ475017.1 - hypothetical protein translation	MG570132.1_00033 hypothetical protein
OG0000093	OQ475017.1_00034 OQ475017.1 - hypothetical protein translation	MG570132.1_00035 hypothetical protein
OG0000094	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation	MG570132.1_00036 DNA-directed RNA polymerase subunit 2
OG0000095	OQ475017.1_00037 OQ475017.1 - hypothetical protein translation	MG570132.1_00038 hypothetical protein
OG0000096	OQ475017.1_00039 OQ475017.1 - hypothetical protein translation	MG570132.1_00040 hypothetical protein
OG0000097	OQ475017.1_00067 OQ475017.1 - hypothetical protein translation	MG570132.1_00068 hypothetical protein
OG0000098	OQ475017.1_00070 OQ475017.1 - hypothetical protein translation	MG570132.1_00070 hypothetical protein
OG0000099	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation	MG570132.1_00073 hypothetical protein
OG0000101	OQ475017.1_00103 OQ475017.1 - hypothetical protein translation	MG570132.1_00101 hypothetical protein
OG0000102	OQ475017.1_00104 OQ475017.1 - hypothetical protein translation	MG570132.1_00102 hypothetical protein
OG0000103	OQ475017.1_00117 OQ475017.1 - hypothetical protein translation	MG570132.1_00115 hypothetical protein
OG0000104	OQ475017.1_00122 OQ475017.1 - hypothetical protein translation	MG570132.1_00120 hypothetical protein
OG0000106	OQ475017.1_00068 OQ475017.1 - hypothetical protein translation	MG570132.1_00069 hypothetical protein
OG0000107	OQ475017.1_00038 OQ475017.1 - hypothetical protein translation	MG570132.1_00039 hypothetical protein
OG0000109	OQ475017.1_00119 OQ475017.1 - hypothetical protein translation	MG570132.1_00117 hypothetical protein
OG0000111	OQ475017.1_00113 OQ475017.1 - hypothetical protein translation	MG570132.1_00111 hypothetical protein
OG0000113	OQ475017.1_00060 OQ475017.1 - hypothetical protein translation	MG570132.1_00061 hypothetical protein
OG0000114	OQ475017.1_00058 OQ475017.1 - hypothetical protein translation	MG570132.1_00059 hypothetical protein
OG0000115	OQ475017.1_00016 OQ475017.1 - hypothetical protein translation	MG570132.1_00017 hypothetical protein
OG0000117	OQ475017.1_00011 OQ475017.1 - hypothetical protein translation	MG570132.1_00012 hypothetical protein
OG0000118	OQ475017.1_00053 OQ475017.1 - hypothetical protein translation	MG570132.1_00054 hypothetical protein
OG0000119	OQ475017.1_00077 OQ475017.1 - hypothetical protein translation	MG570132.1_00077 hypothetical protein
OG0000123	OQ475017.1_00111 OQ475017.1 - hypothetical protein translation	MG570132.1_00109 hypothetical protein
OG0000126	OQ475017.1_00026 OQ475017.1 - hypothetical protein translation	MG570132.1_00027 hypothetical protein
