Orthogroup	MG570131.1	AY532606.1
OG0000104	MG570131.1_00102	AY532606.1_00110
OG0000105	MG570131.1_00113	AY532606.1_00123
OG0000106	MG570131.1_00029	AY532606.1_00028
OG0000107	MG570131.1_00100	AY532606.1_00107
OG0000111	MG570131.1_00090	AY532606.1_00096
OG0000112	MG570131.1_00077	AY532606.1_00082
OG0000114	MG570131.1_00012	AY532606.1_00010
OG0000115	MG570131.1_00054	AY532606.1_00054
OG0000117	MG570131.1_00089	AY532606.1_00095
OG0000119	MG570131.1_00109	AY532606.1_00118
OG0000126	MG570131.1_00026	AY532606.1_00023
