Orthogroup	MG570131.1	MK098185.1
OG0000065	MG570131.1_00039	MK098185.1_00041
OG0000066	MG570131.1_00043	MK098185.1_00045
OG0000067	MG570131.1_00047	MK098185.1_00049
OG0000068	MG570131.1_00066	MK098185.1_00068
OG0000069	MG570131.1_00095	MK098185.1_00098
OG0000070	MG570131.1_00097	MK098185.1_00100
OG0000071	MG570131.1_00111	MK098185.1_00115
OG0000072	MG570131.1_00010	MK098185.1_00009
OG0000073	MG570131.1_00013	MK098185.1_00012
OG0000074	MG570131.1_00017	MK098185.1_00016
OG0000075	MG570131.1_00035	MK098185.1_00037
OG0000076	MG570131.1_00038	MK098185.1_00040
OG0000077	MG570131.1_00041	MK098185.1_00043
OG0000078	MG570131.1_00042	MK098185.1_00044
OG0000079	MG570131.1_00046	MK098185.1_00048
OG0000080	MG570131.1_00051	MK098185.1_00053
OG0000081	MG570131.1_00052	MK098185.1_00054
OG0000082	MG570131.1_00053	MK098185.1_00055
OG0000083	MG570131.1_00062	MK098185.1_00063
OG0000084	MG570131.1_00065	MK098185.1_00066
OG0000085	MG570131.1_00067	MK098185.1_00069
OG0000086	MG570131.1_00068	MK098185.1_00070
OG0000087	MG570131.1_00071	MK098185.1_00074
OG0000088	MG570131.1_00072	MK098185.1_00075
OG0000089	MG570131.1_00081	MK098185.1_00084
OG0000090	MG570131.1_00082	MK098185.1_00085
OG0000091	MG570131.1_00094	MK098185.1_00097
OG0000092	MG570131.1_00098	MK098185.1_00101
OG0000093	MG570131.1_00101	MK098185.1_00105
OG0000094	MG570131.1_00104	MK098185.1_00108
OG0000095	MG570131.1_00105	MK098185.1_00109
OG0000096	MG570131.1_00116	MK098185.1_00120
OG0000097	MG570131.1_00003	MK098185.1_00003
OG0000098	MG570131.1_00004	MK098185.1_00004
OG0000099	MG570131.1_00040	MK098185.1_00042
OG0000100	MG570131.1_00044	MK098185.1_00046
OG0000101	MG570131.1_00069	MK098185.1_00071
OG0000102	MG570131.1_00076	MK098185.1_00079
OG0000103	MG570131.1_00099	MK098185.1_00102
OG0000104	MG570131.1_00102	MK098185.1_00106
OG0000105	MG570131.1_00113	MK098185.1_00117
OG0000106	MG570131.1_00029	MK098185.1_00031
OG0000107	MG570131.1_00100	MK098185.1_00103
OG0000108	MG570131.1_00117	MK098185.1_00121
OG0000110	MG570131.1_00115	MK098185.1_00119
OG0000111	MG570131.1_00090	MK098185.1_00093
OG0000112	MG570131.1_00077	MK098185.1_00080
OG0000114	MG570131.1_00012	MK098185.1_00011
OG0000117	MG570131.1_00089	MK098185.1_00092
OG0000119	MG570131.1_00109	MK098185.1_00113
